Time,Open,High,Low,Close,Volume
2023-08-31,228.0000,228.7900,221.2000,221.4600,19268398
2023-08-30,211.7700,215.5900,209.4300,215.0400,9946011
2023-08-29,206.7500,212.4600,206.5200,211.9600,5850364
2023-08-28,210.4500,213.4767,209.6400,211.7200,4086852
2023-08-25,205.5100,210.7900,205.4800,209.4700,3068820
2023-08-24,211.0100,211.9900,205.4400,205.5100,3960326
2023-08-23,208.0000,210.9900,207.1400,209.1300,3833154
2023-08-22,209.8500,210.1050,206.0018,206.7600,3153623
2023-08-21,206.0000,209.4200,204.2200,209.0300,4023325
2023-08-18,200.9700,205.4970,200.2000,204.8300,4267165
2023-08-17,206.5700,206.9300,203.3900,203.8400,4062741
2023-08-16,208.0000,209.6900,206.9500,206.9900,2759603
2023-08-15,210.3300,212.3700,207.8400,208.7800,4076371
2023-08-14,207.9000,212.1000,207.1200,212.0600,3304673
2023-08-11,206.1300,209.5000,205.5000,208.7000,2930776
2023-08-10,208.1800,210.3400,206.4400,208.2500,4004728
2023-08-09,211.6500,211.6600,204.9100,205.8600,7847512
2023-08-08,213.5500,214.1900,211.1400,211.5800,4843817
2023-08-07,215.3100,216.8909,214.3700,216.0600,3615192
2023-08-04,216.4100,217.2500,213.0700,214.5900,4800357
2023-08-03,216.2000,218.2100,214.6000,215.5600,5517079
2023-08-02,221.9800,222.8500,218.7950,220.5000,5129661
2023-08-01,223.8900,224.8100,221.6300,224.2700,4214465
2023-07-31,222.3500,225.3800,221.7500,225.0100,5573114
2023-07-28,226.0000,227.3100,223.9800,225.6000,4239278
2023-07-27,228.0400,230.1399,224.0100,225.1500,4299574
2023-07-26,224.4600,227.5100,223.1200,225.5800,4856673
2023-07-25,225.8800,227.5200,225.1900,226.0300,3203658
2023-07-24,227.2600,227.5900,223.5401,225.6600,5363244
2023-07-21,230.0000,230.8100,227.2900,228.0600,3529741
2023-07-20,231.1000,233.5000,227.3200,228.1600,5302994
2023-07-19,233.9800,238.2200,231.2301,234.3700,8516287
2023-07-18,227.0500,229.6208,225.4650,227.6300,5094240
2023-07-17,229.2400,230.2800,227.8100,228.0000,3558250
2023-07-14,229.7000,232.2000,228.1500,229.3300,4278735
2023-07-13,228.2600,230.9600,227.6000,230.3700,5800286
2023-07-12,221.9000,228.0900,221.6132,227.2800,8923503
2023-07-11,222.0600,222.3500,217.2400,221.1700,10030524
2023-07-10,209.0000,212.8700,208.3150,212.8100,3820076
2023-07-07,209.7700,212.1100,209.2800,209.5900,3022151
2023-07-06,211.2000,212.5000,207.8310,210.1400,4254061
2023-07-05,210.4900,214.6200,210.0900,213.8200,5071608
2023-07-03,210.5700,211.9600,209.9200,211.6500,2399966
2023-06-30,211.8600,213.8500,210.9619,211.2600,5984203
2023-06-29,211.9000,212.6500,209.7200,210.4300,3838304
2023-06-28,208.4100,212.2000,207.6000,212.1700,4775913
2023-06-27,208.1400,210.4800,207.5200,208.8200,4014756
2023-06-26,209.0200,211.7500,207.3500,207.3600,4771543
2023-06-23,210.5000,211.0000,208.0700,210.0900,14037587
2023-06-22,209.6300,213.9564,209.0900,213.2900,5694224
2023-06-21,216.5200,217.7950,208.0701,209.5900,7971632
2023-06-20,208.6500,217.0500,208.6100,216.9700,9527235
2023-06-16,213.5400,213.6500,210.6000,211.7600,13672662
2023-06-15,207.9500,213.3250,207.3700,211.9200,7905381
2023-06-14,207.7000,211.7100,205.0200,209.4000,8963393
2023-06-13,215.5000,216.2326,207.9200,208.9800,11698916
2023-06-12,216.1500,220.3900,212.1400,213.6900,11585179
2023-06-09,210.6900,218.6600,210.6900,215.3100,7679636
2023-06-08,205.3800,210.3800,204.8500,209.5300,5551699
2023-06-07,214.8800,216.6600,204.7800,205.7300,9323896
2023-06-06,208.5500,213.4000,208.3700,212.8500,6795996
2023-06-05,210.4700,212.3200,207.0550,209.8600,7804410
2023-06-02,212.9000,216.1400,210.4300,213.0300,11026890
2023-06-01,208.2200,215.3600,206.0600,212.9000,20907358
2023-05-31,219.5500,225.0000,217.0600,223.3800,17664122
2023-05-30,219.2700,222.1400,215.7300,218.8700,10421048
2023-05-26,212.8000,216.1500,212.5500,215.4400,6933320
2023-05-25,212.0200,212.3300,208.4400,209.9100,6496676
2023-05-24,206.0400,210.2100,205.4200,209.0600,4894012
2023-05-23,207.7400,209.6400,206.4700,206.6400,4256810
2023-05-22,209.1700,212.8200,209.0400,210.2600,3890834
2023-05-19,212.9600,213.2400,209.9300,210.3600,6091604
2023-05-18,209.5000,213.8800,209.3300,213.3200,5165465
2023-05-17,206.4950,209.4900,204.8000,209.3800,5772221
2023-05-16,201.9300,205.6700,201.7500,204.5600,4424764
2023-05-15,203.7500,205.3999,202.4750,203.3300,4518205
2023-05-12,203.4300,203.9640,200.1300,201.8100,4733643
2023-05-11,202.9100,203.8000,198.5543,203.4700,5366315
2023-05-10,204.9400,206.2800,203.0400,204.8500,6535555
2023-05-09,196.7800,203.8000,196.7800,201.1800,6996781
2023-05-08,198.7200,200.4999,196.0800,197.9000,4169404
2023-05-05,193.9500,198.1100,193.2500,197.5900,4284371
2023-05-04,191.9000,194.5600,190.7600,192.3800,4386506
2023-05-03,194.2100,195.7900,192.5600,192.6100,3779878
2023-05-02,198.0200,198.4100,192.9310,193.8400,6051017
2023-05-01,197.7600,199.0500,197.1200,197.7900,2882931
2023-04-28,196.1500,198.6450,195.2700,198.3700,4094567
2023-04-27,194.1700,197.5100,193.2700,195.9400,4794364
2023-04-26,192.6200,194.3700,190.5700,191.5200,3979384
2023-04-25,193.9700,194.1200,190.6300,190.6700,5009990
2023-04-24,198.4500,198.7700,194.0601,194.9200,4449683
2023-04-21,197.0300,199.1200,196.4650,199.0300,4860102
2023-04-20,197.1800,200.0828,196.8200,197.5100,3619971
2023-04-19,196.3000,199.0700,195.7300,198.9200,3665103
2023-04-18,199.0800,200.1200,197.0600,198.5000,4679040
2023-04-17,195.1600,197.5200,195.0300,197.0800,5271547
2023-04-14,191.8500,195.1700,191.1900,194.6500,5073782
2023-04-13,190.4500,194.3750,190.4500,194.0200,4716442
2023-04-12,190.3000,191.8850,189.5300,190.3200,5033376
2023-04-11,189.0600,190.4600,187.3100,188.8900,4907689
2023-04-10,190.5900,192.5500,189.2800,191.4900,5263845
2023-04-06,194.0000,194.0700,189.6000,192.5500,6304734
2023-04-05,198.0000,198.2900,193.7300,195.3100,3953707
2023-04-04,198.1500,198.7025,196.6200,197.2000,4659099
2023-04-03,198.2200,198.9300,195.5300,196.4900,5340770
2023-03-31,197.4900,200.0000,196.9900,199.7800,6634260
2023-03-30,197.7700,198.1700,195.4900,196.6000,6932465
2023-03-29,193.1400,197.4300,192.8800,196.6400,8085228
2023-03-28,191.1800,192.8300,191.1800,192.3000,4899041
2023-03-27,188.9200,192.1100,188.9050,191.2600,7776500
2023-03-24,186.5000,190.3200,186.0900,190.0600,6104529
2023-03-23,187.4000,190.5600,185.5800,187.4400,8685007
2023-03-22,190.0000,191.4400,186.4100,186.5100,6575610
2023-03-21,185.8700,189.2800,184.8900,188.6800,6982001
2023-03-20,184.2100,185.5200,182.6500,185.2500,5513205
2023-03-17,186.0400,187.6600,184.1750,184.8500,10493254
2023-03-16,183.3000,187.6500,182.9800,187.3000,8370712
2023-03-15,179.1600,183.8600,178.2100,182.9100,7716870
2023-03-14,180.0000,185.3100,179.1100,182.8900,10138054
2023-03-13,171.0000,177.1000,170.0000,175.5100,9154758
2023-03-10,178.5000,179.3600,171.7100,173.1800,14108961
2023-03-09,183.1000,183.8441,178.5400,178.7200,7102401
2023-03-08,183.3000,184.9000,181.8000,182.9500,6749072
2023-03-07,184.4550,186.1600,183.0300,183.3200,9024333
2023-03-06,185.0700,189.0000,183.6250,183.8000,10770253
2023-03-03,188.0700,189.7700,184.2900,186.4300,12087193
2023-03-02,193.1200,193.9100,185.2000,186.5900,37719871
2023-03-01,162.9900,167.9800,162.9800,167.3500,15841217
2023-02-28,162.5300,164.4500,161.5300,163.6100,6912624
2023-02-27,163.8400,164.7700,162.2200,163.1400,6891182
2023-02-24,160.5900,162.3900,159.6550,162.2000,6569915
2023-02-23,165.2900,165.4700,161.5700,164.1200,4679419
2023-02-22,163.1100,165.0000,162.1100,163.3600,4343685
2023-02-21,163.7400,164.5100,161.4500,161.6200,5210800
2023-02-17,165.0300,167.1100,162.7400,165.1700,8084490
2023-02-16,168.9900,170.3700,167.9573,168.1100,7483541
2023-02-15,168.8500,171.6050,168.2400,171.1000,4998274
2023-02-14,168.2200,172.7900,167.8500,169.9600,8393074
2023-02-13,168.2800,171.1600,166.9500,171.0800,8820334
2023-02-10,167.6550,169.7400,165.3300,167.0300,11273735
2023-02-09,173.3300,175.3800,172.0100,173.6600,11512319
2023-02-08,170.0000,172.4500,169.2317,169.6300,7694533
2023-02-07,167.5700,171.7300,166.6100,171.2800,6179220
2023-02-06,168.0000,171.1700,167.3500,169.0500,4310553
2023-02-03,170.0200,175.0800,169.8600,171.0400,6481708
2023-02-02,175.7100,178.8400,172.9000,174.6400,10667075
2023-02-01,167.7300,173.0800,167.0000,171.8200,8853905
2023-01-31,164.2800,168.0100,164.2800,167.9700,6421297
2023-01-30,164.0700,166.4400,163.4000,164.7500,8169797
2023-01-27,165.0500,167.2400,163.6000,164.5200,9872265
2023-01-26,158.1900,165.1700,158.1000,165.0900,13354588
2023-01-25,151.2100,156.4000,149.8200,156.1700,9390506
2023-01-24,154.6100,160.2100,154.5000,154.8600,6390216
2023-01-23,157.3500,157.8700,153.2300,155.8700,19922870
2023-01-20,144.3000,151.5250,144.3000,151.2500,10127053
2023-01-19,143.5200,146.6800,143.1600,146.4100,7070135
2023-01-18,148.8600,149.5400,145.2900,145.4500,7812580
2023-01-17,149.6000,150.4900,146.1001,148.4700,9407610
2023-01-13,146.2000,149.9600,146.0942,149.5100,8378111
2023-01-12,147.8400,149.8200,143.9400,149.6000,11678023
2023-01-11,145.2800,147.0400,143.5600,144.9000,13595042
2023-01-10,145.8100,149.2800,145.6039,147.4400,6527711
2023-01-09,142.5900,149.2000,142.5900,147.1000,13679737
2023-01-06,137.5800,141.6500,135.5500,140.5100,9145711
2023-01-05,137.6400,138.5900,134.2400,136.3400,8493489
