time/fps,time/total_timesteps,time/time_elapsed,time/episodes,train/reward,train/critic_loss,train/learning_rate,train/n_updates,train/actor_loss
178,9928,55,4,-14.773417,24539382.947018534,0.001,7446,41579.42986062147
164,19856,120,8,-14.773417,6854303.762641015,0.001,17374,33280.82979955681
159,29784,186,12,-14.773417,2929819.1037721597,0.001,27302,27168.227401352236
157,39712,251,16,-14.773417,1613818.566012792,0.001,37230,22277.32871833451
155,49640,319,20,-14.773417,1054905.7677905923,0.001,47158,18263.405523676724
