train/actor_loss,time/episodes,time/total_timesteps,train/reward,train/n_updates,train/critic_loss,time/fps,train/learning_rate,time/time_elapsed
25176.843735835515,4,9928,-12.621163,7446,12305327.156224819,174,0.001,57
18911.86113769138,8,19856,-12.621163,17374,2365944.6139705884,159,0.001,124
14949.550870171484,12,29784,-12.621163,27302,862557.6024816176,38,0.001,768
12062.34593683899,16,39712,-12.621163,37230,408568.453143886,47,0.001,837
9808.58892148469,20,49640,-12.621163,47158,229595.34115789938,54,0.001,905
