time/iterations,train/reward,time/total_timesteps,time/time_elapsed,time/fps,train/learning_rate,train/std,train/policy_gradient_loss,train/clip_fraction,train/value_loss,train/loss,train/entropy_loss,train/explained_variance,train/approx_kl,train/n_updates,train/clip_range
1,-4.49069,2048,5,373,,,,,,,,,,,
2,70.057495,4096,11,366,0.00025,1.0027920007705688,-0.06414619266288354,0.213037109375,188.70956592559816,86.6129379272461,-42.61905179023743,-0.00039076805114746094,0.01996345,10,0.2
3,27.30204,6144,16,361,0.00025,1.004095435142517,-0.06040073339245282,0.19228515625,325.7918924331665,147.45628356933594,-42.67333006858826,-0.00027930736541748047,0.017774314,20,0.2
4,-17.725904,8192,22,358,0.00025,1.0052913427352905,-0.048031875607557596,0.1255859375,829.0321258544922,466.09515380859375,-42.70956110954285,-0.010597705841064453,0.013156407,30,0.2
5,8.587072,10240,28,359,0.00025,1.0073282718658447,-0.04845871343713952,0.12470703125,1380.8412940979003,768.2969360351562,-42.758643698692325,-0.012908220291137695,0.013364738,40,0.2
6,-89.11093,12288,34,358,0.00025,1.0085114240646362,-0.056112197309266774,0.169580078125,1098.1985679626464,518.5691528320312,-42.80593583583832,5.4895877838134766e-05,0.016497271,50,0.2
7,110.45073,14336,40,357,0.00025,1.0088165998458862,-0.045700001099612565,0.1248046875,1929.8259574890137,1347.9918212890625,-42.82463009357453,0.001511693000793457,0.013391706,60,0.2
8,-65.5195,16384,46,354,0.00025,1.0091429948806763,-0.05321244310762267,0.15107421875,1798.5325340270997,702.9217529296875,-42.83734827041626,-0.0015683174133300781,0.015505072,70,0.2
9,-23.486471,18432,51,355,0.00025,1.0103931427001953,-0.049498507755924945,0.139404296875,2120.7635601043703,1143.0653076171875,-42.86229612827301,0.007436931133270264,0.014074866,80,0.2
10,19.75761,20480,57,354,0.00025,1.0113435983657837,-0.05591457528644241,0.176708984375,2157.5449226379396,1329.7396240234375,-42.892013454437254,0.002406895160675049,0.016441165,90,0.2
11,12.8931,22528,63,355,0.00025,1.0123406648635864,-0.04431870737462305,0.115625,3937.102268981934,2130.54052734375,-42.921100521087645,0.011798083782196045,0.012362732,100,0.2
12,-199.4465,24576,69,355,0.00025,1.0137676000595093,-0.05069071699108463,0.155810546875,4270.9977951049805,2650.533447265625,-42.95731391906738,-0.0047692060470581055,0.015749035,110,0.2
13,61.461468,26624,75,354,0.00025,1.0145256519317627,-0.048279054660815744,0.12607421875,3445.571726989746,2263.330078125,-42.98866412639618,0.00635296106338501,0.013282855,120,0.2
14,36.67236,28672,80,354,0.00025,1.01694917678833,-0.05097757804905996,0.148193359375,2331.4474143981934,1248.2044677734375,-43.035060024261476,0.010109305381774902,0.014495667,130,0.2
15,-142.9072,30720,86,354,0.00025,1.018721103668213,-0.05732482666207943,0.18486328125,1857.3174018859863,1174.2464599609375,-43.10343570709229,0.020438015460968018,0.016869545,140,0.2
16,48.72453,32768,92,355,0.00025,1.0217244625091553,-0.060098809783812615,0.22412109375,1745.5137451171875,667.5860595703125,-43.170668840408325,0.01502317190170288,0.018725578,150,0.2
17,18.244627,34816,97,355,0.00025,1.0227292776107788,-0.04302623591502197,0.131591796875,6378.649084472656,3269.235107421875,-43.22799823284149,0.011668145656585693,0.012797513,160,0.2
18,-63.936886,36864,104,354,0.00025,1.0230695009231567,-0.036260999494697896,0.054296875,9791.415536499024,4927.55615234375,-43.24424405097962,0.026965558528900146,0.008519632,170,0.2
19,-92.02256,38912,109,354,0.00025,1.0234631299972534,-0.05567393920209725,0.15166015625,2781.8068656921387,1239.1224365234375,-43.25588641166687,0.021789193153381348,0.0149038425,180,0.2
20,-18.904617,40960,115,354,0.00025,1.0267062187194824,-0.05072088903107215,0.163134765625,3811.4686180114745,1771.53466796875,-43.31436772346497,0.026446282863616943,0.015495552,190,0.2
21,-32.70961,43008,121,354,0.00025,1.027256727218628,-0.05036798055225518,0.133154296875,4237.669398498535,2593.49267578125,-43.36607437133789,0.03189229965209961,0.012967681,200,0.2
22,5.1315336,45056,126,355,0.00025,1.0289009809494019,-0.04304327772115357,0.083251953125,6346.1614044189455,3022.697265625,-43.396535754203796,0.03919541835784912,0.010779241,210,0.2
