time/fps,time/iterations,time/total_timesteps,train/reward,time/time_elapsed,train/policy_gradient_loss,train/std,train/approx_kl,train/value_loss,train/learning_rate,train/loss,train/clip_fraction,train/explained_variance,train/clip_range,train/n_updates,train/entropy_loss
367,1,2048,-17.7315,5,,,,,,,,,,,
360,2,4096,6.5707912,11,-0.06146552663412876,1.0015006065368652,0.019173682,251.69573917388917,0.00025,132.59280395507812,0.1974609375,-0.001078486442565918,0.2,10,-42.591399025917056
359,3,6144,119.23836,17,-0.06732568064180669,1.0038657188415527,0.019928502,239.01914205551148,0.00025,105.48258209228516,0.2232421875,-0.003994107246398926,0.2,20,-42.65332608222961
358,4,8192,47.093433,22,-0.05590161330474075,1.0063923597335815,0.016391313,512.6256433486939,0.00025,289.081298828125,0.16884765625,-0.006978273391723633,0.2,30,-42.72612888813019
357,5,10240,-10.310999,28,-0.03852883875370026,1.007609486579895,0.010250563,1757.6635093688965,0.00025,979.1232299804688,0.08681640625,0.003953218460083008,0.2,40,-42.778358697891235
356,6,12288,58.55286,34,-0.042797022932791154,1.0090166330337524,0.011691792,1220.2397994995117,0.00025,658.036865234375,0.092138671875,-0.04284942150115967,0.2,50,-42.81538302898407
356,7,14336,-66.038605,40,-0.062173975125188005,1.0089524984359741,0.01819878,1130.3091625213624,0.00025,473.0739440917969,0.204541015625,-0.0011142492294311523,0.2,60,-42.83725769519806
353,8,16384,-45.1338,46,-0.058052405720809476,1.0106627941131592,0.017903049,1392.4194793701172,0.00025,663.9684448242188,0.1939453125,0.0020926594734191895,0.2,70,-42.862644815444945
353,9,18432,-48.507984,52,-0.05920510233554523,1.0132930278778076,0.01942297,772.0740091323853,0.00025,307.3253173828125,0.226123046875,0.015743613243103027,0.2,80,-42.93314197063446
353,10,20480,-44.0005,57,-0.0592981846712064,1.014533281326294,0.01782495,996.3049922943115,0.00025,509.03509521484375,0.1888671875,-0.005140781402587891,0.2,90,-42.98482367992401
353,11,22528,5.742556,63,-0.04998972283792682,1.0160890817642212,0.015230917,1430.0540214538573,0.00025,464.28228759765625,0.149267578125,0.021878063678741455,0.2,100,-43.02631454467773
353,12,24576,60.29956,69,-0.049923531492822804,1.0165902376174927,0.013149852,2679.3269592285155,0.00025,1163.362060546875,0.12802734375,0.022718310356140137,0.2,110,-43.05543293952942
353,13,26624,-123.9561,75,-0.05350727077166084,1.0185943841934204,0.013745526,1750.1827976226807,0.00025,876.87060546875,0.14296875,0.026778817176818848,0.2,120,-43.0885547876358
353,14,28672,-72.95149,81,-0.04960799369146116,1.0205836296081543,0.016096063,2261.8745658874514,0.00025,975.4261474609375,0.172900390625,0.029218554496765137,0.2,130,-43.15289039611817
