train/reward,time/episodes,train/critic_loss,train/n_updates,time/fps,train/learning_rate,train/actor_loss,time/total_timesteps,time/time_elapsed
1.4608674,4,3557111.490028203,7446,186,0.001,6617.330378333375,9928,53
1.4608674,8,282384.08644269995,17374,169,0.001,5628.834024507705,19856,116
1.4608674,12,106691.01685180172,27302,164,0.001,4927.680551533542,29784,180
1.4608674,16,40582.394115168274,37230,162,0.001,4257.647209124446,39712,244
1.4608674,20,23941.040007684234,47158,159,0.001,3509.0593613863566,49640,310
