date,stocktwitsPosts,stocktwitsLikes,stocktwitsImpressions,stocktwitsSentiment
2021-11-24 14:00:00,34.0,18.0,86157.0,0.5000292104588567
2021-11-24 15:00:00,64.0,80.0,76542.0,0.5000292104588567
2021-11-25 09:00:00,0.0,0.0,0.0,0.5000292104588567
2021-11-25 10:00:00,0.0,0.0,0.0,0.5000292104588567
2021-11-25 11:00:00,0.0,0.0,0.0,0.5000292104588567
2021-11-25 12:00:00,0.0,0.0,0.0,0.5000292104588567
2021-11-25 13:00:00,0.0,0.0,0.0,0.5000292104588567
2021-11-25 14:00:00,0.0,0.0,0.0,0.5000292104588567
2021-11-25 15:00:00,0.0,0.0,0.0,0.5000292104588567
2021-11-26 09:00:00,4.0,1.0,22.0,0.5000292104588567
2021-11-26 10:00:00,6.0,4.0,46313.0,0.5000292104588567
2021-11-26 11:00:00,7.0,4.0,2887.0,0.5000292104588567
2021-11-26 12:00:00,13.0,8.0,24101.0,0.5000292104588567
2021-11-26 13:00:00,16.0,12.0,32405.0,0.5000292104588567
2021-11-26 14:00:00,20.0,6.0,128900.0,0.5000292104588567
2021-11-26 15:00:00,19.0,14.0,88470.0,0.5000292104588567
2021-11-27 09:00:00,1.0,0.0,2042.0,0.5000292104588567
2021-11-27 10:00:00,0.0,0.0,0.0,0.5000292104588567
2021-11-27 11:00:00,0.0,0.0,0.0,0.5000292104588567
2021-11-27 12:00:00,1.0,0.0,2043.0,0.5000292104588567
2021-11-27 13:00:00,2.0,0.0,175.0,0.5000292104588567
2021-11-27 14:00:00,1.0,0.0,2045.0,0.5000292104588567
2021-11-27 15:00:00,1.0,0.0,5.0,0.5000292104588567
2021-11-28 09:00:00,0.0,0.0,0.0,0.5000292104588567
2021-11-28 10:00:00,3.0,0.0,125706.0,0.5000292104588567
2021-11-28 11:00:00,0.0,0.0,0.0,0.5000292104588567
2021-11-28 12:00:00,0.0,0.0,0.0,0.5000292104588567
2021-11-28 13:00:00,0.0,0.0,0.0,0.5000292104588567
2021-11-28 14:00:00,1.0,0.0,322.0,0.5000292104588567
2021-11-28 15:00:00,0.0,0.0,0.0,0.5000292104588567
2021-11-29 09:00:00,1.0,0.0,20.0,0.5000292104588567
2021-11-29 10:00:00,0.0,0.0,0.0,0.5000292104588567
2021-11-29 11:00:00,0.0,0.0,0.0,0.5000292104588567
2021-11-29 12:00:00,0.0,0.0,0.0,0.5000292104588567
2021-11-29 13:00:00,15.0,23.0,208636.0,0.5000292104588567
2021-11-29 14:00:00,39.0,27.0,96087.0,0.5000292104588567
2021-11-29 15:00:00,23.0,24.0,15624.0,0.5000292104588567
2021-11-30 09:00:00,6.0,1.0,3559.0,0.5000292104588567
2021-11-30 10:00:00,9.0,0.0,24964.0,0.5000292104588567
2021-11-30 11:00:00,12.0,9.0,17383.0,0.5000292104588567
2021-11-30 12:00:00,14.0,6.0,237440.0,0.5000292104588567
