time/episodes,time/time_elapsed,train/critic_loss,train/learning_rate,time/fps,time/total_timesteps,train/n_updates,train/reward,train/actor_loss
4,60,2943713.249974819,0.001,163,9928,7446,-1.941735,-32512.59061256673
8,132,529705.3701179745,0.001,150,19856,17374,-1.941735,-15933.050626621047
12,204,111702.8706507164,0.001,145,29784,27302,-1.941735,-8236.38257308087
16,276,34229.721035990384,0.001,143,39712,37230,-1.941735,-4269.211187149035
20,348,11802.860881550287,0.001,142,49640,47158,-1.941735,-2209.8542738675496
