time/fps,time/iterations,train/reward,time/time_elapsed,time/total_timesteps,train/n_updates,train/policy_gradient_loss,train/clip_range,train/approx_kl,train/entropy_loss,train/learning_rate,train/value_loss,train/std,train/explained_variance,train/loss,train/clip_fraction
363,1,42.438812,5,2048,,,,,,,,,,,
354,2,-26.091383,11,4096,10,-0.06462603218387812,0.2,0.019355612,-42.594544887542725,0.00025,273.434493637085,1.0013588666915894,0.001546323299407959,141.857421875,0.21875
352,3,131.36754,17,6144,20,-0.060912421616376375,0.2,0.018283028,-42.62921109199524,0.00025,308.5296963691711,1.0023219585418701,0.0024650096893310547,128.2994842529297,0.205615234375
350,4,3.2377279,23,8192,30,-0.048806997132487595,0.2,0.013485359,-42.64819133281708,0.00025,1307.8005016326904,1.0030696392059326,0.0020720362663269043,505.7122802734375,0.12734375
350,5,15.884795,29,10240,40,-0.05035002453369088,0.2,0.01380052,-42.68740923404694,0.00025,1114.2883392333983,1.0046470165252686,0.00945192575454712,552.4287719726562,0.132177734375
349,6,-24.245295,35,12288,50,-0.05606273629819043,0.2,0.01685189,-42.71727268695831,0.00025,848.3806941986084,1.005204677581787,0.002138495445251465,417.7422790527344,0.180029296875
349,7,25.795002,41,14336,60,-0.044631202961318193,0.2,0.012418849,-42.737784194946286,0.00025,1624.4464653015136,1.0061619281768799,-0.024892687797546387,755.40625,0.1080078125
348,8,10.239298,46,16384,70,-0.05982434227189515,0.2,0.017747242,-42.7822906255722,0.00025,827.2264301300049,1.0078492164611816,0.003163278102874756,359.4415283203125,0.183349609375
348,9,-106.69659,52,18432,80,-0.05189148721256061,0.2,0.015545644,-42.82208321094513,0.00025,1216.6807075500487,1.0094443559646606,0.008575379848480225,657.9033203125,0.14873046875
344,10,50.22647,59,20480,90,-0.06794242987525649,0.2,0.023243675,-42.93111937046051,0.00025,716.0770296096802,1.0140584707260132,0.008602261543273926,343.2170104980469,0.248291015625
344,11,24.312668,65,22528,100,-0.04353903917653952,0.2,0.011835437,-43.014937210083005,0.00025,2657.1360610961915,1.0158058404922485,0.012041687965393066,1262.8228759765625,0.099755859375
344,12,15.685557,71,24576,110,-0.06227487639407627,0.2,0.017620875,-43.05979025363922,0.00025,1532.9313972473144,1.0173418521881104,-0.0054166316986083984,751.5309448242188,0.191748046875
344,13,-62.8991,77,26624,120,-0.04352220813452732,0.2,0.01043945,-43.083167266845706,0.00025,3783.0556564331055,1.0175307989120483,0.005805373191833496,1665.2354736328125,0.093896484375
344,14,-15.670131,83,28672,130,-0.04306909314182121,0.2,0.016949736,-43.114691734313965,0.00025,2243.2061305999755,1.0191928148269653,0.014329850673675537,1671.342529296875,0.18388671875
344,15,-69.19339,89,30720,140,-0.06201814853411634,0.2,0.017055407,-43.182258415222165,0.00025,1548.7705215454102,1.0218615531921387,0.02199685573577881,608.6019897460938,0.181396484375
344,16,14.709423,95,32768,150,-0.04686686991481111,0.2,0.013543722,-43.24461913108826,0.00025,2887.8679748535155,1.0238556861877441,0.04355698823928833,1942.4102783203125,0.126708984375
344,17,14.034717,101,34816,160,-0.044980342080816624,0.2,0.01099893,-43.293650197982785,0.00025,4693.475285339356,1.0253382921218872,0.008864939212799072,3220.774169921875,0.086767578125
344,18,88.41879,107,36864,170,-0.04370198034739588,0.2,0.014396273,-43.32594742774963,0.00025,4968.4864700317385,1.0260353088378906,0.032678961753845215,2091.3359375,0.137890625
344,19,-81.85832,112,38912,180,-0.05963710637297481,0.2,0.017767143,-43.36948094367981,0.00025,1514.8418384552,1.0283211469650269,0.07292497158050537,663.8880004882812,0.189697265625
344,20,62.798824,118,40960,190,-0.057628852539346555,0.2,0.016290108,-43.43757853507996,0.00025,2355.5967552185057,1.0305845737457275,0.03569674491882324,1445.9661865234375,0.17685546875
344,21,12.128297,124,43008,200,-0.04789691105834208,0.2,0.012634356,-43.49089498519898,0.00025,3609.266461181641,1.0321532487869263,0.05895107984542847,1798.946044921875,0.118798828125
345,22,-14.377277,130,45056,210,-0.0382409424695652,0.2,0.019879049,-43.54756650924683,0.00025,4253.899819946289,1.0344269275665283,0.056507408618927,1992.792236328125,0.21982421875
345,23,-72.40332,136,47104,220,-0.04190380377840484,0.2,0.013389306,-43.595342588424685,0.00025,4769.519786071777,1.0355679988861084,0.01581937074661255,2491.49609375,0.121533203125
345,24,-37.31437,142,49152,230,-0.04490057773073204,0.2,0.01234602,-43.63117892742157,0.00025,4359.386680603027,1.0369623899459839,0.09355908632278442,1725.3663330078125,0.108935546875
345,25,7.3173137,148,51200,240,-0.04694167671259493,0.2,0.0142830415,-43.68392848968506,0.00025,3453.2412940979,1.0387057065963745,0.05255460739135742,1623.9261474609375,0.159912109375
344,26,-67.313416,154,53248,250,-0.04926080844015814,0.2,0.01326862,-43.709859943389894,0.00025,4994.833160400391,1.0392062664031982,0.04016709327697754,2538.64990234375,0.12529296875
344,27,51.95939,160,55296,260,-0.04597439581993967,0.2,0.0152920885,-43.74312267303467,0.00025,4304.566595458984,1.0407246351242065,0.12422382831573486,2357.8408203125,0.1416015625
344,28,54.09459,166,57344,270,-0.05015766594151501,0.2,0.013707833,-43.78113837242127,0.00025,4679.9457931518555,1.041959524154663,0.04987829923629761,2140.672607421875,0.126611328125
344,29,21.428814,172,59392,280,-0.04838814417307731,0.2,0.013607676,-43.80265038013458,0.00025,4423.895475769043,1.0423346757888794,0.04802983999252319,2094.112548828125,0.12294921875
344,30,10.19587,178,61440,290,-0.0565032928599976,0.2,0.015462719,-43.81991078853607,0.00025,4100.498396301269,1.0431134700775146,0.11817914247512817,1774.356689453125,0.15859375
344,31,37.775616,184,63488,300,-0.05317045413830783,0.2,0.024808206,-43.8796261548996,0.00025,2250.1935371398927,1.0461392402648926,0.03125959634780884,1335.1475830078125,0.26220703125
344,32,56.73349,190,65536,310,-0.057741771615110335,0.2,0.015781367,-43.96699402332306,0.00025,3972.000914001465,1.0492937564849854,0.06273961067199707,2674.49267578125,0.1724609375
344,33,-6.2685914,196,67584,320,-0.049052695106365715,0.2,0.013478386,-44.02759454250336,0.00025,6499.522520446777,1.0504989624023438,-0.012892365455627441,4696.8388671875,0.125
345,34,19.972734,201,69632,330,-0.04601130775117781,0.2,0.024095844,-44.047618460655215,0.00025,5136.600588989258,1.0509520769119263,0.019901514053344727,2197.29052734375,0.24912109375
345,35,-87.0492,207,71680,340,-0.0547680498304544,0.2,0.014855837,-44.067199325561525,0.00025,6969.9428985595705,1.0518136024475098,0.04140150547027588,2700.999755859375,0.155908203125
345,36,-291.08478,213,73728,350,-0.053361818115809,0.2,0.023753684,-44.09464321136475,0.00025,4615.593389892578,1.052826166152954,0.06090497970581055,1707.9013671875,0.251220703125
345,37,-266.77533,219,75776,360,-0.047502197450376114,0.2,0.020316813,-44.12478954792023,0.00025,7267.19102935791,1.0540639162063599,0.06148761510848999,3592.15185546875,0.19990234375
345,38,-35.240723,225,77824,370,-0.04200017897528596,0.2,0.016715946,-44.16939187049866,0.00025,7675.663291931152,1.0557981729507446,0.06559383869171143,4181.060546875,0.174267578125
345,39,7.365527,230,79872,380,-0.04671380621439312,0.2,0.012086995,-44.206721138954165,0.00025,11273.221118164063,1.0567831993103027,0.018150746822357178,4489.11669921875,0.106591796875
345,40,-34.014515,236,81920,390,-0.04617783526191488,0.2,0.018131357,-44.237271308898926,0.00025,7502.571334838867,1.057783842086792,0.05887746810913086,2770.25927734375,0.18447265625
346,41,17.775616,242,83968,400,-0.061675310859573076,0.2,0.018340565,-44.27589404582977,0.00025,3926.8004302978516,1.0597937107086182,0.07885080575942993,1906.6541748046875,0.18857421875
