time/time_elapsed,time/total_timesteps,train/reward,time/iterations,time/fps,train/value_loss,train/explained_variance,train/clip_range,train/approx_kl,train/entropy_loss,train/learning_rate,train/loss,train/policy_gradient_loss,train/n_updates,train/clip_fraction,train/std
5,2048,25.000946,1,361,,,,,,,,,,,
11,4096,16.788456,2,357,458.8869083404541,-0.001760244369506836,0.2,0.01827348,-42.603760719299316,0.00025,213.63351440429688,-0.06148614439589437,10,0.198046875,1.0022315979003906
17,6144,8.792524,3,355,439.0045297622681,-0.0020880699157714844,0.2,0.018168911,-42.63760666847229,0.00025,200.99298095703125,-0.06089246445772005,20,0.208544921875,1.0025615692138672
23,8192,-11.429768,4,354,495.42578582763673,-0.00492405891418457,0.2,0.018206984,-42.65359010696411,0.00025,274.27337646484375,-0.05956283256236929,30,0.207568359375,1.0031440258026123
29,10240,-8.380718,5,352,483.4241987228394,-0.002078533172607422,0.2,0.020152075,-42.71696102619171,0.00025,297.6873474121094,-0.06659023275715299,40,0.218994140625,1.006157398223877
34,12288,42.116516,6,351,902.011563873291,-0.0041658878326416016,0.2,0.01473574,-42.773202419281006,0.00025,493.81494140625,-0.05528379849274643,50,0.148779296875,1.0075128078460693
40,14336,30.74304,7,351,920.6219959259033,0.010609745979309082,0.2,0.017992679,-42.85121109485626,0.00025,587.1636352539062,-0.055955749662825835,60,0.19111328125,1.010876178741455
46,16384,78.524895,8,350,1589.500415802002,0.0006840825080871582,0.2,0.015105062,-42.91193897724152,0.00025,811.2273559570312,-0.05720277155051008,70,0.160009765625,1.0120552778244019
52,18432,-12.321192,9,350,1116.8007118225098,-0.0033767223358154297,0.2,0.01766206,-42.93423297405243,0.00025,566.0155639648438,-0.05918697371671442,80,0.1818359375,1.0132968425750732
59,20480,-35.74183,10,346,1272.4223747253418,0.0035170316696166992,0.2,0.016282436,-43.01254577636719,0.00025,773.7614135742188,-0.060889563101227395,90,0.163720703125,1.0159742832183838
64,22528,-9.852614,11,346,3297.9422409057615,0.01573866605758667,0.2,0.010460622,-43.06361424922943,0.00025,1744.3778076171875,-0.041944567102473226,100,0.079052734375,1.0174516439437866
70,24576,-34.82219,12,346,4967.873252868652,0.021930158138275146,0.2,0.010482275,-43.103898191452025,0.00025,1877.8306884765625,-0.04198634167551063,110,0.076123046875,1.0188443660736084
76,26624,112.33825,13,346,3046.4370208740233,-0.01365959644317627,0.2,0.012757279,-43.14096171855927,0.00025,1172.3153076171875,-0.0482383659487823,120,0.114892578125,1.0199270248413086
82,28672,-89.803116,14,346,3001.3586936950683,0.015057682991027832,0.2,0.012253123,-43.17929322719574,0.00025,1153.654296875,-0.04649389207479544,130,0.113232421875,1.021471619606018
88,30720,-45.251972,15,346,6096.531832885742,0.034694552421569824,0.2,0.0071971035,-43.20273344516754,0.00025,3014.674560546875,-0.032519131776643916,140,0.035400390625,1.0217326879501343
94,32768,45.73713,16,346,10282.20823059082,0.0616946816444397,0.2,0.0076994672,-43.2131409406662,0.00025,5118.00634765625,-0.02519046274537686,150,0.04189453125,1.022081971168518
100,34816,1.2117212,17,346,3451.0236694335936,0.12182551622390747,0.2,0.012036139,-43.240471029281615,0.00025,1385.79052734375,-0.03341722225013655,160,0.115087890625,1.0235270261764526
106,36864,319.63773,18,346,6196.482897949219,0.09506112337112427,0.2,0.00878985,-43.27514510154724,0.00025,3701.40234375,-0.036289595143171025,170,0.057958984375,1.0244883298873901
112,38912,30.391571,19,346,5523.828778076172,0.13371360301971436,0.2,0.009760594,-43.30014100074768,0.00025,2462.96533203125,-0.030685470647586043,180,0.0783203125,1.025224208831787
118,40960,-0.81367296,20,346,5090.237049865723,0.11398577690124512,0.2,0.013691303,-43.32954380512238,0.00025,3427.21826171875,-0.037204841335187665,190,0.134033203125,1.0264805555343628
124,43008,-49.593624,21,346,3666.8080078125,0.08263218402862549,0.2,0.012141311,-43.37910718917847,0.00025,1587.23779296875,-0.043732444624765776,200,0.11318359375,1.0286060571670532
129,45056,-0.84456736,22,346,4003.829943847656,0.16034191846847534,0.2,0.014803146,-43.420350074768066,0.00025,1603.2877197265625,-0.04105632995197084,210,0.147314453125,1.0294138193130493
135,47104,-25.778492,23,346,3941.682943725586,0.16919124126434326,0.2,0.011925554,-43.44851880073547,0.00025,1701.0352783203125,-0.04756035979371518,220,0.106201171875,1.0302454233169556
141,49152,111.38449,24,347,4231.488557434082,0.22786104679107666,0.2,0.010208443,-43.48178994655609,0.00025,2162.530029296875,-0.040336014758213426,230,0.0744140625,1.0317102670669556
147,51200,83.78893,25,347,3154.8140350341796,0.25582194328308105,0.2,0.013695756,-43.52204871177673,0.00025,1460.9461669921875,-0.04972819292161148,240,0.135498046875,1.0330243110656738
154,53248,21.776741,26,345,4119.181169128418,0.18743985891342163,0.2,0.016113695,-43.54837005138397,0.00025,1591.5645751953125,-0.04958820803294657,250,0.174072265625,1.0339480638504028
159,55296,25.970068,27,345,6322.713911437988,0.17411601543426514,0.2,0.011926846,-43.592964339256284,0.00025,3457.232421875,-0.04712817220715806,260,0.109521484375,1.0357969999313354
165,57344,4.852762,28,345,5535.876950073242,0.2313922643661499,0.2,0.011798397,-43.63411965370178,0.00025,2771.529052734375,-0.04590466556837782,270,0.0951171875,1.0368471145629883
171,59392,87.73039,29,345,5037.226179504394,0.11736220121383667,0.2,0.014520207,-43.66860790252686,0.00025,2430.361083984375,-0.053922609466826546,280,0.140234375,1.0380226373672485
177,61440,323.52847,30,345,1908.2226036071777,0.02177530527114868,0.2,0.017858062,-43.69866950511933,0.00025,821.5592651367188,-0.061276793137949426,290,0.18759765625,1.0390641689300537
183,63488,-67.298096,31,345,3828.192314147949,0.10994738340377808,0.2,0.01324193,-43.7382084608078,0.00025,2256.255126953125,-0.04953187657520175,300,0.1283203125,1.0408686399459839
189,65536,-44.895096,32,346,4648.303680419922,0.15605705976486206,0.2,0.0147157125,-43.77762842178345,0.00025,2576.109130859375,-0.0516758118144935,310,0.1498046875,1.0418399572372437
195,67584,33.716747,33,346,2794.35791015625,0.26081913709640503,0.2,0.01824293,-43.83016631603241,0.00025,1406.7933349609375,-0.06175434251781553,320,0.19560546875,1.0444928407669067
201,69632,-29.694305,34,346,4320.170683288574,0.13613229990005493,0.2,0.0134288445,-43.88428997993469,0.00025,2262.68212890625,-0.049846157923457216,330,0.123974609375,1.0456435680389404
206,71680,159.3443,35,346,11857.465353393554,0.14653605222702026,0.2,0.012303784,-43.91954448223114,0.00025,4096.7265625,-0.034380844174302184,340,0.1099609375,1.0471946001052856
212,73728,-6.273755,36,346,5343.854284667968,0.17678052186965942,0.2,0.015556304,-43.97688789367676,0.00025,2189.469482421875,-0.057060442661168054,350,0.15830078125,1.049233078956604
218,75776,-83.730156,37,346,6734.908013916016,0.1782282590866089,0.2,0.013408538,-44.04155280590057,0.00025,2885.845947265625,-0.04997855132241966,360,0.1328125,1.051782250404358
224,77824,21.123873,38,346,9146.57812652588,0.17338037490844727,0.2,0.012415389,-44.09494154453277,0.00025,8074.029296875,-0.0453184439917095,370,0.112890625,1.052780270576477
230,79872,-1.8508934,39,346,7008.833892822266,0.20542168617248535,0.2,0.013979069,-44.14766964912415,0.00025,4363.78857421875,-0.050003795462544076,380,0.140380859375,1.055694341659546
236,81920,-22.228008,40,346,12060.673770141602,0.19650858640670776,0.2,0.010691464,-44.21599607467651,0.00025,4498.27294921875,-0.04260986351291649,390,0.0869140625,1.0577538013458252
242,83968,-341.63254,41,346,8083.319418334961,0.24539798498153687,0.2,0.016881047,-44.255958151817325,0.00025,4042.36962890625,-0.04912959152716212,400,0.18466796875,1.0585616827011108
247,86016,39.926205,42,346,7725.523684692383,0.15491479635238647,0.2,0.013921278,-44.28253448009491,0.00025,3502.51171875,-0.05191266562324017,410,0.1416015625,1.0600188970565796
253,88064,-16.73018,43,346,7950.027563476562,0.1825750470161438,0.2,0.01490094,-44.316021132469174,0.00025,2849.93017578125,-0.054005335445981476,420,0.149560546875,1.0608196258544922
259,90112,-41.99847,44,346,11554.939505004882,0.16103804111480713,0.2,0.017011609,-44.34632387161255,0.00025,5137.6005859375,-0.04197768381127389,430,0.1673828125,1.0618889331817627
265,92160,-23.360943,45,346,9724.917529296876,0.17685270309448242,0.2,0.01483646,-44.392968487739566,0.00025,6440.044921875,-0.0511528781207744,440,0.147216796875,1.0642447471618652
272,94208,-173.89127,46,345,10570.238323974609,0.23413097858428955,0.2,0.012973216,-44.44404671192169,0.00025,5410.93212890625,-0.051481736887944864,450,0.12275390625,1.0657254457473755
278,96256,376.84732,47,345,7552.714926147461,0.22321224212646484,0.2,0.017947339,-44.48696022033691,0.00025,2967.14453125,-0.05970225946221035,460,0.18876953125,1.0670826435089111
284,98304,394.2044,48,345,6614.190501403808,0.22475051879882812,0.2,0.014847962,-44.537808775901794,0.00025,2616.428466796875,-0.056532824941677974,470,0.167041015625,1.0691983699798584
290,100352,-31.616571,49,345,8987.784649658202,0.2187865972518921,0.2,0.021410111,-44.59125905036926,0.00025,5109.0,-0.042075876268791036,480,0.19140625,1.0709582567214966
296,102400,36.446293,50,345,11336.477279663086,0.21777451038360596,0.2,0.013069654,-44.64475481510162,0.00025,8496.248046875,-0.049066700815455985,490,0.121826171875,1.0729426145553589
301,104448,26.213152,51,346,11287.962435913087,0.2389269471168518,0.2,0.021807019,-44.706271743774415,0.00025,4659.00830078125,-0.04258734385075513,500,0.2095703125,1.0755035877227783
307,106496,-110.442444,52,346,16300.490954589844,0.2202129364013672,0.2,0.016958725,-44.759738659858705,0.00025,7058.8037109375,-0.041658937613829036,510,0.151953125,1.0770623683929443
