time/fps,time/time_elapsed,time/total_timesteps,train/reward,time/iterations,train/loss,train/approx_kl,train/clip_fraction,train/learning_rate,train/value_loss,train/policy_gradient_loss,train/n_updates,train/explained_variance,train/clip_range,train/std,train/entropy_loss
381,5,2048,23.921906,1,,,,,,,,,,,
368,11,4096,-12.945558,2,247.94351196289062,0.019714253,0.226904296875,0.00025,522.2160741806031,-0.05969017292081844,10,0.0013980865478515625,0.2,1.0041699409484863,-42.63701729774475
366,16,6144,12.293768,3,315.9840087890625,0.018442022,0.21435546875,0.00025,696.4676321029663,-0.05771938525722362,20,0.018584012985229492,0.2,1.005243182182312,-42.710725688934325
368,22,8192,-13.33268,4,804.8802490234375,0.012894496,0.133447265625,0.00025,1267.5941986083985,-0.040747379750246185,30,0.02058255672454834,0.2,1.0067393779754639,-42.74533507823944
370,27,10240,94.06303,5,320.42657470703125,0.018652607,0.20859375,0.00025,838.9409250259399,-0.05342772463336587,40,0.011056065559387207,0.2,1.0097825527191162,-42.82070369720459
369,33,12288,-247.28833,6,837.8243408203125,0.012848984,0.122314453125,0.00025,1472.7320755004882,-0.04094086088298354,50,0.02996063232421875,0.2,1.0106501579284668,-42.87319116592407
369,38,14336,45.818233,7,2736.224365234375,0.006075348,0.02119140625,0.00025,5222.740603637695,-0.023985570090007968,60,0.07722687721252441,0.2,1.0110679864883423,-42.891317224502565
369,44,16384,-218.44656,8,839.8294677734375,0.017132679,0.18603515625,0.00025,1483.6053276062012,-0.048672775831073524,70,0.07812875509262085,0.2,1.012922763824463,-42.924910521507265
369,49,18432,4.464195,9,1700.62353515625,0.0116425445,0.093212890625,0.00025,3972.4602600097655,-0.04030146535369568,80,0.058709800243377686,0.2,1.013833999633789,-42.967290091514585
369,55,20480,7.883634,10,3227.19677734375,0.00670667,0.034521484375,0.00025,6063.637612915039,-0.024204305684543216,90,0.11192744970321655,0.2,1.014541506767273,-42.99095621109009
369,60,22528,-19.852339,11,3618.515869140625,0.007158677,0.0380859375,0.00025,5703.6204833984375,-0.024093778390670194,100,0.20027053356170654,0.2,1.0151649713516235,-43.008478331565854
370,66,24576,195.60567,12,1951.154541015625,0.013162276,0.113720703125,0.00025,3490.720150756836,-0.04383085625304375,110,-0.07389330863952637,0.2,1.017154574394226,-43.04577693939209
369,72,26624,150.19696,13,2996.5732421875,0.009898866,0.082568359375,0.00025,5338.756108093262,-0.026446540345204994,120,0.20573711395263672,0.2,1.0179781913757324,-43.09058036804199
369,77,28672,250.80124,14,856.1829833984375,0.01687358,0.1857421875,0.00025,2219.527914428711,-0.0521083823958179,130,0.1578403115272522,0.2,1.0192573070526123,-43.12106578350067
370,82,30720,-5.8992763,15,2566.244873046875,0.015374669,0.15322265625,0.00025,5279.058453369141,-0.042528429464437065,140,0.09249448776245117,0.2,1.0207616090774536,-43.163616633415224
370,88,32768,52.06937,16,2311.343017578125,0.011270296,0.099609375,0.00025,5343.049440002442,-0.0358886911533773,150,0.2072332501411438,0.2,1.0212185382843018,-43.189428973197934
370,93,34816,-32.095432,17,1605.6971435546875,0.012305681,0.11591796875,0.00025,4107.562852478028,-0.0446880571427755,160,-0.04266691207885742,0.2,1.0220636129379272,-43.20516731739044
370,99,36864,72.27484,18,1649.6083984375,0.018831717,0.197998046875,0.00025,3230.675577545166,-0.05620445001986809,170,0.11746233701705933,0.2,1.025728702545166,-43.28062524795532
369,105,38912,-182.93887,19,3016.0380859375,0.00930765,0.063037109375,0.00025,8293.181243896484,-0.03349269503960386,180,0.19799524545669556,0.2,1.0262936353683472,-43.3364856004715
370,110,40960,321.95786,20,2623.747314453125,0.009830764,0.0755859375,0.00025,6083.758218383789,-0.034387608809629454,190,0.2595546841621399,0.2,1.027522325515747,-43.36345810890198
370,116,43008,-104.46961,21,2913.164794921875,0.0114376135,0.092919921875,0.00025,6383.4752197265625,-0.03776088581071235,200,0.29093122482299805,0.2,1.0289310216903687,-43.39751434326172
370,121,45056,13.817062,22,5640.37255859375,0.008551199,0.0564453125,0.00025,11375.792135620117,-0.03235758113441989,210,0.2322177290916443,0.2,1.0305620431900024,-43.44370024204254
370,127,47104,395.29803,23,4293.0673828125,0.008865101,0.06376953125,0.00025,9379.879904174804,-0.031424994545523076,220,0.32660603523254395,0.2,1.0325714349746704,-43.496346616744994
370,132,49152,-240.10768,24,6483.998046875,0.010500261,0.09169921875,0.00025,11181.189599609375,-0.026035439249244518,230,0.34512877464294434,0.2,1.0336865186691284,-43.542921090126036
369,138,51200,-69.33488,25,5322.958984375,0.010391202,0.077392578125,0.00025,8965.793481445313,-0.03420876880700234,240,0.35441941022872925,0.2,1.0344990491867065,-43.569723105430604
369,144,53248,10.172636,26,1871.970947265625,0.01529055,0.162890625,0.00025,5740.785780334472,-0.04888019784120843,250,0.3343045711517334,0.2,1.0356147289276123,-43.59745457172394
369,149,55296,101.26153,27,3100.966796875,0.016365413,0.165478515625,0.00025,5181.955364990235,-0.04606306845671497,260,0.3093864321708679,0.2,1.036932349205017,-43.63765516281128
369,155,57344,18.241001,28,2596.144775390625,0.01450509,0.142431640625,0.00025,5955.390411376953,-0.0499725409434177,270,0.34870731830596924,0.2,1.038025975227356,-43.667024803161624
