time/fps,time/total_timesteps,time/iterations,train/reward,time/time_elapsed,train/clip_range,train/explained_variance,train/loss,train/std,train/value_loss,train/n_updates,train/policy_gradient_loss,train/learning_rate,train/clip_fraction,train/entropy_loss,train/approx_kl
382,2048,1,-27.209982,5,,,,,,,,,,,
371,4096,2,-37.517097,11,0.2,-0.0019989013671875,68.3726806640625,1.0015373229980469,159.7617397785187,10,-0.06379797594854608,0.00025,0.243701171875,-42.594145798683165,0.020423602
370,6144,3,-100.68183,16,0.2,0.0012801289558410645,297.1510314941406,1.002689003944397,687.9335563659668,20,-0.04861964698939118,0.00025,0.143017578125,-42.63392355442047,0.013875802
371,8192,4,10.732758,22,0.2,-0.0005359649658203125,158.34475708007812,1.0035885572433472,443.86976222991944,30,-0.06116774438705761,0.00025,0.221044921875,-42.66300361156463,0.01940507
372,10240,5,18.221973,27,0.2,0.0015887022018432617,389.9173583984375,1.0054535865783691,791.5387676239013,40,-0.045927498140372336,0.00025,0.1390625,-42.70659236907959,0.013927305
371,12288,6,-97.53881,33,0.2,-0.054552316665649414,333.1304931640625,1.0069037675857544,675.3589883804322,50,-0.04795087552047335,0.00025,0.136962890625,-42.75457170009613,0.014716124
371,14336,7,26.270704,38,0.2,0.014771103858947754,883.4981689453125,1.0082545280456543,1921.0377082824707,60,-0.04146191115069087,0.00025,0.112060546875,-42.79505701065064,0.012050683
371,16384,8,-12.302498,44,0.2,0.029434621334075928,1511.38525390625,1.0095843076705933,2970.696195983887,70,-0.028378715612052473,0.00025,0.031689453125,-42.83267920017242,0.006680458
371,18432,9,-21.913376,49,0.2,0.044786930084228516,1409.8184814453125,1.0103031396865845,4210.098480987549,80,-0.025584514449292328,0.00025,0.02734375,-42.86305344104767,0.0059997467
370,20480,10,112.522675,55,0.2,0.0796055793762207,1828.581787109375,1.0115382671356201,3374.4660049438476,90,-0.030431577709532576,0.00025,0.037255859375,-42.89427485466003,0.00754305
370,22528,11,-0.40670285,60,0.2,0.09328049421310425,3529.86279296875,1.0117442607879639,7123.38211517334,100,-0.02098613190319156,0.00025,0.019921875,-42.91267013549805,0.0048051113
370,24576,12,239.72102,66,0.2,0.13292568922042847,1063.83056640625,1.0125195980072021,3086.5016746520996,110,-0.027181975652638357,0.00025,0.093359375,-42.93015887737274,0.010512179
