time/fps,time/total_timesteps,time/iterations,train/reward,time/time_elapsed,train/clip_range,train/explained_variance,train/loss,train/std,train/value_loss,train/n_updates,train/policy_gradient_loss,train/learning_rate,train/clip_fraction,train/entropy_loss,train/approx_kl
370,26624,13,34.27534,71,0.2,0.12178540229797363,922.5309448242188,1.0125696659088135,2174.7560401916503,120,-0.0486138167543686,0.00025,0.14033203125,-42.935626769065856,0.013392612
370,28672,14,240.68828,77,0.2,0.1646861433982849,2629.904052734375,1.0132826566696167,7109.446113586426,130,-0.01956243537715636,0.00025,0.018310546875,-42.95056757926941,0.0050024926
370,30720,15,61.742607,82,0.2,0.12837356328964233,4068.921142578125,1.0137829780578613,11765.30686340332,140,-0.01766672962985467,0.00025,0.042041015625,-42.96887741088867,0.006016564
370,32768,16,129.32373,88,0.2,0.16885614395141602,5742.90283203125,1.0142656564712524,10781.285513305664,150,-0.020219362968055064,0.00025,0.0142578125,-42.983891773223874,0.00473017
371,34816,17,-10.948968,93,0.2,0.1833629012107849,3869.64208984375,1.014974594116211,11634.583432006835,160,-0.02113443060370628,0.00025,0.04736328125,-43.00006098747254,0.00666841
371,36864,18,38.90643,99,0.2,0.21472162008285522,4700.46435546875,1.015464186668396,10549.85078125,170,-0.02127849931130186,0.00025,0.055126953125,-43.01892964839935,0.0071138777
370,38912,19,-40.10661,104,0.2,0.28199702501296997,2046.1925048828125,1.0166735649108887,4384.748883056641,180,-0.03498328489513369,0.00025,0.082666015625,-43.04537432193756,0.0102755325
370,40960,20,158.7764,110,0.2,0.12004208564758301,3301.681640625,1.0178558826446533,8614.738871765137,190,-0.03836128703260329,0.00025,0.11201171875,-43.08062527179718,0.011120236
371,43008,21,-44.15214,115,0.2,0.048785269260406494,8156.9609375,1.018857717514038,14582.305538940429,200,-0.029491899261483923,0.00025,0.06923828125,-43.110325121879576,0.009617733
371,45056,22,76.03842,121,0.2,0.1680397391319275,3248.857666015625,1.0200231075286865,6732.707925415039,210,-0.03745317201683065,0.00025,0.084423828125,-43.143029999732974,0.010906499
371,47104,23,323.68564,126,0.2,0.24876528978347778,3393.199951171875,1.0211613178253174,8133.45902709961,220,-0.026395019280607813,0.00025,0.1259765625,-43.17697975635529,0.0120544955
371,49152,24,85.67258,132,0.2,0.24487441778182983,4632.56103515625,1.021231770515442,8432.497143554687,230,-0.03706134067906532,0.00025,0.09814453125,-43.194373798370364,0.011879452
370,51200,25,75.62201,138,0.2,0.14502102136611938,1555.238525390625,1.0246022939682007,3503.721272277832,240,-0.05048166909837164,0.00025,0.210595703125,-43.2483325958252,0.019397382
370,53248,26,-3.3219469,143,0.2,0.15806704759597778,2844.470458984375,1.0256131887435913,6171.4191024780275,250,-0.048332281834154854,0.00025,0.129150390625,-43.312175440788266,0.0127494335
370,55296,27,-133.1912,149,0.2,0.19297313690185547,8159.46533203125,1.0259417295455933,11642.704553222657,260,-0.030821527316584253,0.00025,0.059423828125,-43.32714698314667,0.008235475
370,57344,28,-58.33548,154,0.2,0.251153826713562,2954.481689453125,1.0263302326202393,7283.900167846679,270,-0.04489477874012664,0.00025,0.109423828125,-43.34095683097839,0.011994906
370,59392,29,-281.86368,160,0.2,0.1899576187133789,4088.48486328125,1.0278817415237427,9201.795233154297,280,-0.03957128873444162,0.00025,0.096875,-43.368986344337465,0.011535602
370,61440,30,228.23387,165,0.2,0.2878686785697937,3375.90966796875,1.0289405584335327,6950.583267211914,290,-0.04111893833032809,0.00025,0.1150390625,-43.40861012935638,0.012149698
370,63488,31,19.83403,171,0.2,0.34292280673980713,3346.685791015625,1.030836582183838,4499.7053848266605,300,-0.04729875301127322,0.00025,0.166015625,-43.45029127597809,0.016672999
370,65536,32,-54.43452,176,0.2,0.3388442397117615,2059.155517578125,1.032424807548523,6009.979515075684,310,-0.04596290775225498,0.00025,0.12890625,-43.50053987503052,0.013521217
370,67584,33,-91.035675,182,0.2,0.2975841164588928,6243.83154296875,1.0333095788955688,10828.642840576173,320,-0.031011318185483104,0.00025,0.1140625,-43.536482667922975,0.012487007
370,69632,34,-9.352344,188,0.2,0.2565917372703552,4280.55419921875,1.0361417531967163,9996.163748168945,330,-0.04304861592827365,0.00025,0.10849609375,-43.58771276473999,0.013061239
370,71680,35,-484.38165,193,0.2,0.15117448568344116,6059.61328125,1.0367127656936646,9425.207287597656,340,-0.048632503053522666,0.00025,0.173388671875,-43.640567445755,0.016489448
370,73728,36,-187.97989,199,0.2,0.4252009391784668,2745.244384765625,1.0379934310913086,5679.77798614502,350,-0.04896081222323119,0.00025,0.141162109375,-43.66852657794952,0.014894978
370,75776,37,359.32117,204,0.2,0.25287944078445435,4705.50537109375,1.0396521091461182,8782.924411010743,360,-0.055152970881317744,0.00025,0.166748046875,-43.71245205402374,0.0151098175
370,77824,38,-2.8504019,209,0.2,0.23425644636154175,6326.50048828125,1.0413861274719238,12811.064166259766,370,-0.04083040124096442,0.00025,0.105126953125,-43.75843691825867,0.01257202
370,79872,39,56.836113,215,0.2,0.24049347639083862,14767.6962890625,1.0428881645202637,30493.046728515626,380,-0.029345848973025567,0.00025,0.03935546875,-43.80357475280762,0.0076331147
370,81920,40,-11.71547,220,0.2,0.22154676914215088,12687.9541015625,1.0441967248916626,21167.269342041014,390,-0.04159702901379205,0.00025,0.09609375,-43.84399058818817,0.011561082
370,83968,41,305.4527,226,0.2,0.319269597530365,7625.13623046875,1.0458266735076904,16933.320501708986,400,-0.037250694914837366,0.00025,0.199462890625,-43.887221693992615,0.019364484
370,86016,42,-322.67807,231,0.2,0.21047496795654297,3852.490478515625,1.0471491813659668,7322.017077636719,410,-0.049331322027137504,0.00025,0.21669921875,-43.92725851535797,0.019350512
370,88064,43,172.68494,237,0.2,0.3140050768852234,4509.681640625,1.0491422414779663,11798.895141601562,420,-0.0493469927489059,0.00025,0.1498046875,-43.97757878303528,0.014866879
370,90112,44,-310.48035,243,0.2,0.2740745544433594,10335.6484375,1.0491762161254883,23208.39696044922,430,-0.04121121948992368,0.00025,0.0974609375,-44.00087764263153,0.011079415
370,92160,45,-71.96354,248,0.2,0.24791252613067627,23013.466796875,1.0495994091033936,55391.784765625,440,-0.023433143232250587,0.00025,0.091064453125,-44.006908202171324,0.011675035
370,94208,46,942.1296,254,0.2,0.33891475200653076,11601.0927734375,1.049682855606079,30722.89895019531,450,-0.03599325374816544,0.00025,0.062109375,-44.01275074481964,0.009189032
370,96256,47,-117.03049,259,0.2,0.3534699082374573,11986.365234375,1.0506268739700317,29478.617407226564,460,-0.0373487957927864,0.00025,0.08349609375,-44.02956957817078,0.010483583
370,98304,48,-384.41553,265,0.2,0.3314342498779297,5660.38916015625,1.0526663064956665,13895.457849121094,470,-0.049622349248966205,0.00025,0.142431640625,-44.068894147872925,0.01428028
370,100352,49,-4.4304905,270,0.2,0.4382416009902954,7635.5048828125,1.0543038845062256,14578.828094482422,480,-0.04223082190292189,0.00025,0.19462890625,-44.12485322952271,0.019428879
370,102400,50,80.511765,276,0.2,0.3816843032836914,13033.7919921875,1.054195523262024,26332.384814453126,490,-0.042305554318591024,0.00025,0.096630859375,-44.144639945030214,0.011355666
370,104448,51,58.559105,281,0.2,0.3583458662033081,28467.412109375,1.0545880794525146,47923.07778320312,500,-0.03623258211882785,0.00025,0.067333984375,-44.14885303974152,0.009707358
370,106496,52,476.43628,287,0.2,0.3757864832878113,19043.2109375,1.05558443069458,49225.72316894531,510,-0.03226363336143549,0.00025,0.052880859375,-44.16793541908264,0.008310335
370,108544,53,-297.6669,292,0.2,0.4590596556663513,10942.4921875,1.055952787399292,21600.00337524414,520,-0.043556560052093116,0.00025,0.0998046875,-44.186678075790404,0.011492553
371,110592,54,-472.49115,298,0.2,0.4237252473831177,11444.8759765625,1.0577093362808228,24321.275439453126,530,-0.042828282370464876,0.00025,0.172314453125,-44.2176216840744,0.0171572
370,112640,55,94.511734,304,0.2,0.41495949029922485,17866.51953125,1.0598152875900269,33172.38427734375,540,-0.03988119004643522,0.00025,0.167236328125,-44.27218420505524,0.01594318
370,114688,56,-73.70332,309,0.2,0.501247763633728,8817.7333984375,1.0628255605697632,18819.852349853514,550,-0.038610099774086845,0.00025,0.20712890625,-44.347497534751895,0.025192736
370,116736,57,69.46803,315,0.2,0.44742250442504883,13790.5390625,1.0650827884674072,29778.962780761718,560,-0.04484255159040913,0.00025,0.132177734375,-44.41865501403809,0.013240254
370,118784,58,-612.8616,320,0.2,0.5287406742572784,12490.7138671875,1.0657554864883423,21786.320947265624,570,-0.0470647312089568,0.00025,0.1193359375,-44.458324027061465,0.012759585
370,120832,59,-574.29126,326,0.2,0.5148116052150726,7879.2705078125,1.0680766105651855,17317.028881835937,580,-0.05597769402083941,0.00025,0.17666015625,-44.50460076332092,0.016812507
370,122880,60,66.51664,331,0.2,0.45898038148880005,7751.1787109375,1.0685712099075317,19523.62681274414,590,-0.05219744096684735,0.00025,0.19453125,-44.536660242080686,0.018318892
370,124928,61,30.373428,336,0.2,0.47023582458496094,7510.544921875,1.0704516172409058,12056.674530029297,600,-0.059021406539250164,0.00025,0.217041015625,-44.57848958969116,0.019066144
370,126976,62,115.559494,342,0.2,0.5407150089740753,8569.9794921875,1.0743873119354248,15534.095703125,610,-0.05067322349350434,0.00025,0.1521484375,-44.658738470077516,0.015738146
371,129024,63,867.9558,347,0.2,0.5448558926582336,5857.25146484375,1.0765897035598755,9637.415887451172,620,-0.05933110368496273,0.00025,0.270947265625,-44.74819092750549,0.023735039
371,131072,64,-259.39328,353,0.2,0.5405208766460419,10544.1708984375,1.0775268077850342,17729.417547607423,630,-0.05050483156228438,0.00025,0.15283203125,-44.777346754074095,0.015112492
371,133120,65,-101.83412,358,0.2,0.5453230440616608,10487.8330078125,1.0783635377883911,17520.168872070313,640,-0.048306428088108075,0.00025,0.169140625,-44.80927984714508,0.017501587
371,135168,66,-2.388963,364,0.2,0.5356244444847107,9370.1923828125,1.0808185338974,17706.92816772461,650,-0.05103561282448936,0.00025,0.1658203125,-44.85950977802277,0.015892986
371,137216,67,65.24315,369,0.2,0.5460644364356995,7574.11572265625,1.0830670595169067,17966.4337890625,660,-0.05298027551616542,0.00025,0.1712890625,-44.91895244121552,0.016428065
371,139264,68,-11.733862,375,0.2,0.5612187087535858,14280.5625,1.0853326320648193,23406.019494628905,670,-0.04765827834198717,0.00025,0.124951171875,-44.979994773864746,0.013577785
371,141312,69,113.995514,380,0.2,0.546771764755249,17893.4609375,1.086346983909607,24829.758386230467,680,-0.04573566668550484,0.00025,0.161962890625,-45.027880787849426,0.016887464
370,143360,70,-104.91204,386,0.2,0.5311587750911713,13714.15234375,1.0882967710494995,28026.687365722657,690,-0.04810184527887031,0.00025,0.13408203125,-45.06325635910034,0.013664655
371,145408,71,55.4856,391,0.2,0.47172999382019043,7313.9326171875,1.0895893573760986,13699.317147827149,700,-0.05348133184306789,0.00025,0.228125,-45.10711181163788,0.02176122
371,147456,72,-200.94415,397,0.2,0.30551934242248535,10761.560546875,1.08963143825531,18924.142810058594,710,-0.03693774437124375,0.00025,0.2982421875,-45.12597835063934,0.028382871
371,149504,73,7.9251056,402,0.2,0.1501956582069397,15991.369140625,1.0899937152862549,28259.906030273436,720,-0.04614109519752674,0.00025,0.21171875,-45.12969596385956,0.021149792
371,151552,74,-84.50832,408,0.2,0.32501107454299927,14166.759765625,1.0911614894866943,33657.801953125,730,-0.04060140145593323,0.00025,0.1919921875,-45.15422806739807,0.02169941
371,153600,75,840.69196,413,0.2,0.4533480405807495,8650.70703125,1.09248948097229,20907.834185791016,740,-0.0543394330132287,0.00025,0.18505859375,-45.18760230541229,0.017587578
371,155648,76,-507.84476,419,0.2,0.4603411555290222,11556.556640625,1.0933716297149658,29329.880285644533,750,-0.046299303555861114,0.00025,0.130712890625,-45.21912546157837,0.014026699
371,157696,77,175.977,424,0.2,0.4907875061035156,10341.8544921875,1.0937365293502808,20956.83610839844,760,-0.05665911001124187,0.00025,0.173779296875,-45.23643283843994,0.015923593
371,159744,78,98.303055,430,0.2,0.5051414370536804,9525.57421875,1.0942604541778564,22439.279681396485,770,-0.053882517146121245,0.00025,0.181494140625,-45.24463129043579,0.017644946
371,161792,79,-140.79936,435,0.2,0.4989440441131592,22046.541015625,1.0956673622131348,35738.47407226563,780,-0.04672458365384955,0.00025,0.130078125,-45.27674267292023,0.013732802
371,163840,80,-1.1934474,441,0.2,0.5226995944976807,8728.7470703125,1.0984066724777222,27695.73759765625,790,-0.050917049341660456,0.00025,0.13564453125,-45.33563673496246,0.014109054
371,165888,81,639.7319,446,0.2,0.5274072289466858,19043.763671875,1.1013420820236206,32256.019775390625,800,-0.04711908228055108,0.00025,0.17275390625,-45.410317993164064,0.019427462
371,167936,82,-218.10936,451,0.2,0.5656405985355377,11496.02734375,1.1020550727844238,24098.553845214843,810,-0.05074093507719226,0.00025,0.150048828125,-45.45677282810211,0.015169175
371,169984,83,-1.0201285,457,0.2,0.4178290367126465,16761.99609375,1.1041027307510376,26254.151080322266,820,-0.05380048406077549,0.00025,0.16796875,-45.49423470497131,0.016058821
371,172032,84,246.79146,462,0.2,0.4053158760070801,18060.53515625,1.1039434671401978,34593.98321533203,830,-0.044838247279403734,0.00025,0.14833984375,-45.51437919139862,0.016371869
371,174080,85,-169.31361,468,0.2,0.42365968227386475,19552.140625,1.1064144372940063,38237.66958007812,840,-0.051528309614514003,0.00025,0.1583984375,-45.552124333381656,0.015587606
371,176128,86,0.79152316,473,0.2,0.1793408989906311,27172.001953125,1.1085166931152344,50626.24395751953,850,-0.031198908519581892,0.00025,0.208203125,-45.61004896163941,0.020307338
371,178176,87,-59.55205,479,0.2,0.3071858882904053,19829.2734375,1.1108704805374146,32595.939367675783,860,-0.051807107715285385,0.00025,0.161328125,-45.672283411026,0.015614765
371,180224,88,-172.40384,485,0.2,0.33475959300994873,12367.375,1.1117838621139526,29190.399768066407,870,-0.05259353995788842,0.00025,0.180810546875,-45.71598515510559,0.016815396
371,182272,89,-194.4954,491,0.2,0.30855685472488403,13049.71484375,1.1139580011367798,25932.547357177733,880,-0.05277146002772497,0.00025,0.169091796875,-45.75762269496918,0.016893152
371,184320,90,160.35571,496,0.2,0.182106614112854,25322.265625,1.1155285835266113,39250.82017211914,890,-0.042935335577931256,0.00025,0.227197265625,-45.801346111297605,0.02434666
371,186368,91,-28.396404,501,0.2,0.2584274411201477,29396.794921875,1.1175259351730347,51045.958227539064,900,-0.047300356256891975,0.00025,0.132568359375,-45.85680763721466,0.013114234
371,188416,92,868.30316,507,0.2,0.2516424059867859,12442.755859375,1.1181950569152832,27863.477392578126,910,-0.040963603841373694,0.00025,0.272705078125,-45.8866144657135,0.027670717
371,190464,93,-474.16736,512,0.2,0.46706247329711914,10955.1474609375,1.1204469203948975,23893.250915527344,920,-0.034816687504644506,0.00025,0.228271484375,-45.918796110153195,0.02524465
371,192512,94,0.85899854,518,0.2,0.4361268877983093,11070.1611328125,1.1211684942245483,24241.571154785157,930,-0.051750134903704746,0.00025,0.1708984375,-45.95460534095764,0.016250886
371,194560,95,303.4142,523,0.2,0.474809467792511,7676.49560546875,1.1250921487808228,12547.015997314453,940,-0.057958607267937626,0.00025,0.269970703125,-46.033807611465456,0.025332395
371,196608,96,79.340805,529,0.2,0.27974653244018555,15198.1474609375,1.1269316673278809,31740.65526123047,950,-0.047831688352744095,0.00025,0.176513671875,-46.102972102165225,0.017382752
371,198656,97,-21.810291,534,0.2,0.3342093229293823,21247.115234375,1.1298718452453613,35113.025610351564,960,-0.049917053250828756,0.00025,0.19423828125,-46.16839346885681,0.019825285
371,200704,98,764.9994,540,0.2,0.4899648427963257,13007.6123046875,1.1330013275146484,21674.8854309082,970,-0.05210632081143558,0.00025,0.23056640625,-46.25646350383759,0.023968862
