time/time_elapsed,time/total_timesteps,train/reward,time/iterations,time/fps,train/explained_variance,train/loss,train/policy_gradient_loss,train/clip_fraction,train/value_loss,train/entropy_loss,train/n_updates,train/clip_range,train/learning_rate,train/std,train/approx_kl
5,2048,27.75764,1,384,,,,,,,,,,,
10,4096,2.465562,2,372,-0.0025893449783325195,168.6036376953125,-0.0666873422334902,0.24697265625,332.248289680481,-42.605860924720766,10,0.2,0.00025,1.001772403717041,0.021678697
16,6144,-14.125842,3,371,0.022731006145477295,300.50482177734375,-0.05767593415948795,0.20087890625,568.2566570281982,-42.6233208656311,20,0.2,0.00025,1.0018255710601807,0.017316997
21,8192,14.448439,4,372,-0.07476675510406494,279.4099426269531,-0.05220391090551857,0.184619140625,650.2586446762085,-42.651839995384215,30,0.2,0.00025,1.0036460161209106,0.017518144
27,10240,2.1585817,5,373,-0.0064868927001953125,392.73394775390625,-0.05899310282547958,0.240087890625,836.8289161682129,-42.7395099401474,40,0.2,0.00025,1.0069957971572876,0.020429855
32,12288,76.705444,6,372,0.004926085472106934,513.547607421875,-0.04772475095815025,0.153369140625,1356.4518447875976,-42.83257887363434,50,0.2,0.00025,1.0101224184036255,0.015670283
38,14336,-1.507754,7,372,0.015761613845825195,501.7334899902344,-0.05555692859343253,0.20068359375,1221.0437236785888,-42.881020832061765,60,0.2,0.00025,1.0107420682907104,0.018750956
43,16384,-28.976614,8,373,0.015278100967407227,1139.5093994140625,-0.04587473657447845,0.136376953125,2514.3647163391115,-42.89730219841003,70,0.2,0.00025,1.0111451148986816,0.013411134
49,18432,69.60804,9,372,0.020055532455444336,1303.94287109375,-0.04452359155257,0.120166015625,2186.1701057434084,-42.89694080352783,80,0.2,0.00025,1.0109506845474243,0.012755255
54,20480,-3.3836575,10,372,0.057843804359436035,2030.354736328125,-0.025073912928928622,0.108642578125,3942.290283203125,-42.904145789146426,90,0.2,0.00025,1.0117262601852417,0.010494793
60,22528,18.585047,11,372,-0.003143906593322754,2572.200439453125,-0.04194651466968935,0.100927734375,3414.903709411621,-42.93046674728394,100,0.2,0.00025,1.0126559734344482,0.012099415
65,24576,-66.00224,12,372,0.02495819330215454,1470.4141845703125,-0.04114556603162782,0.0990234375,3396.206837463379,-42.96488449573517,110,0.2,0.00025,1.0139578580856323,0.010689037
71,26624,-19.983944,13,371,0.03699088096618652,890.7680053710938,-0.05323465734836645,0.226123046875,1498.3561744689941,-43.01252567768097,120,0.2,0.00025,1.0159088373184204,0.01969555
