time/fps,time/total_timesteps,time/time_elapsed,train/n_updates,time/iterations,train/policy_loss,train/reward,train/entropy_loss,train/value_loss,train/std,train/learning_rate,train/explained_variance
331,29000,87,5799,5800,1977.565185546875,-135.2956,-43.07179260253906,6367.55224609375,1.0180237293243408,0.0007,-0.14456701278686523
331,29500,88,5899,5900,-4172.357421875,161.18147,-43.08754348754883,12301.68359375,1.0183042287826538,0.0007,-0.07010865211486816
331,30000,90,5999,6000,-247.44091796875,-11.071517,-43.11075973510742,3686.14453125,1.019496202468872,0.0007,-0.07020914554595947
332,30500,91,6099,6100,2798.97998046875,-1.6990601,-43.08665466308594,11189.849609375,1.0183966159820557,0.0007,-0.14900720119476318
332,31000,93,6199,6200,-1874.364501953125,260.3029,-43.06690979003906,3862.50634765625,1.0176981687545776,0.0007,-0.2182915210723877
332,31500,94,6299,6300,-3038.07275390625,8.779039,-42.970008850097656,10675.7705078125,1.0148118734359741,0.0007,0.10883134603500366
331,32000,96,6399,6400,-2409.556640625,0.34497088,-42.96360778808594,13476.724609375,1.0145114660263062,0.0007,0.10571140050888062
331,32500,98,6499,6500,50.5791015625,-94.60101,-42.99654006958008,4392.97900390625,1.0154114961624146,0.0007,-0.15359604358673096
331,33000,99,6599,6600,-4980.1591796875,-14.802446,-42.972103118896484,15790.7998046875,1.0147550106048584,0.0007,-1.1015427112579346
331,33500,100,6699,6700,7087.27880859375,115.03446,-42.94593811035156,29014.98046875,1.0137790441513062,0.0007,-0.10680639743804932
331,34000,102,6799,6800,5512.57666015625,-13.202566,-42.98918151855469,28985.837890625,1.015289545059204,0.0007,0.03651618957519531
331,34500,103,6899,6900,415.81976318359375,-156.94171,-43.00431442260742,11609.8583984375,1.0158263444900513,0.0007,0.06175607442855835
331,35000,105,6999,7000,-1380.8876953125,-69.65002,-42.995140075683594,1730.1644287109375,1.0155726671218872,0.0007,0.49725615978240967
332,35500,106,7099,7100,1114.2437744140625,-87.517784,-43.01393508911133,4137.7626953125,1.0161153078079224,0.0007,-0.033368825912475586
332,36000,108,7199,7200,-3446.853515625,84.436874,-43.0646858215332,9400.7666015625,1.0178000926971436,0.0007,0.15198910236358643
332,36500,109,7299,7300,413.5869140625,154.5105,-43.09590148925781,2484.258056640625,1.0189132690429688,0.0007,-0.036887168884277344
332,37000,111,7399,7400,594.2999267578125,150.06013,-43.09071731567383,6505.19482421875,1.0188121795654297,0.0007,0.0305556058883667
332,37500,112,7499,7500,-4778.8173828125,76.71754,-43.06894302368164,14674.552734375,1.0180305242538452,0.0007,-0.012903094291687012
332,38000,114,7599,7600,2714.08642578125,22.365326,-43.143226623535156,8902.2060546875,1.020485758781433,0.0007,0.12002849578857422
332,38500,115,7699,7700,-1213.94189453125,-52.16217,-43.146522521972656,5364.54833984375,1.020691156387329,0.0007,0.059964537620544434
332,39000,117,7799,7800,3137.427001953125,-22.713293,-43.22760772705078,6730.13134765625,1.023430585861206,0.0007,-0.10316252708435059
332,39500,118,7899,7900,-552.0377197265625,159.1524,-43.21979522705078,3090.448974609375,1.02309250831604,0.0007,-0.09432005882263184
332,40000,120,7999,8000,-1955.4931640625,-52.37776,-43.2318000793457,3603.315673828125,1.0239378213882446,0.0007,0.020996809005737305
332,40500,121,8099,8100,364.8765563964844,77.084366,-43.20247268676758,3600.620361328125,1.0226333141326904,0.0007,-0.0548861026763916
332,41000,123,8199,8200,-1540.332763671875,133.15154,-43.222293853759766,3928.440673828125,1.0234776735305786,0.0007,0.15721487998962402
332,41500,124,8299,8300,-6461.7734375,-32.999264,-43.220924377441406,29183.837890625,1.023489236831665,0.0007,-0.020540714263916016
332,42000,126,8399,8400,-2112.834716796875,-302.0772,-43.1670036315918,14049.111328125,1.0214805603027344,0.0007,0.012293219566345215
332,42500,127,8499,8500,-675.6043701171875,-184.6965,-43.15937042236328,8641.103515625,1.021256923675537,0.0007,0.09177297353744507
332,43000,129,8599,8600,-1805.580078125,-100.520645,-43.208560943603516,7296.3515625,1.0230625867843628,0.0007,0.2031877040863037
332,43500,130,8699,8700,-183.8727264404297,120.069466,-43.26960754394531,1617.29931640625,1.0249863862991333,0.0007,0.22751003503799438
332,44000,132,8799,8800,1721.1800537109375,131.52974,-43.28364562988281,9012.0625,1.0253015756607056,0.0007,0.07535648345947266
332,44500,133,8899,8900,4316.2392578125,-476.4729,-43.32556915283203,15930.880859375,1.0271306037902832,0.0007,-0.00012886524200439453
332,45000,135,8999,9000,-131.4368438720703,-21.82756,-43.28704833984375,4652.7431640625,1.025831937789917,0.0007,0.15393465757369995
332,45500,136,9099,9100,-764.3344116210938,-39.515083,-43.28582763671875,1232.3675537109375,1.0257995128631592,0.0007,0.3658183217048645
332,46000,138,9199,9200,8130.1240234375,103.746826,-43.24559020996094,38574.484375,1.024343490600586,0.0007,-0.6744720935821533
332,46500,139,9299,9300,-2764.964599609375,-206.09558,-43.178794860839844,26106.5703125,1.0224671363830566,0.0007,0.15378689765930176
332,47000,141,9399,9400,-3158.360107421875,-210.16576,-43.20106887817383,21031.880859375,1.0227807760238647,0.0007,-0.04781675338745117
332,47500,142,9499,9500,491.66937255859375,-119.483185,-43.11312484741211,3332.819580078125,1.0199522972106934,0.0007,0.10411214828491211
332,48000,144,9599,9600,-4349.83544921875,-132.67116,-43.125953674316406,13769.9375,1.020397663116455,0.0007,-0.390130877494812
332,48500,145,9699,9700,-2119.07421875,63.473686,-43.10823440551758,16040.037109375,1.0198668241500854,0.0007,0.01365363597869873
332,49000,147,9799,9800,5994.64697265625,150.53757,-43.146759033203125,33089.21875,1.0213239192962646,0.0007,-0.01456749439239502
332,49500,148,9899,9900,-655.455078125,-163.34218,-43.15381622314453,76816.09375,1.0215727090835571,0.0007,0.1072920560836792
332,50000,150,9999,10000,-516.89599609375,106.107346,-43.19430160522461,6942.0400390625,1.0229487419128418,0.0007,-0.21505439281463623
