time/fps,time/total_timesteps,time/time_elapsed,train/n_updates,time/iterations,train/policy_loss,train/reward,train/entropy_loss,train/value_loss,train/std,train/learning_rate,train/explained_variance
329,500,1,99,100,1671.290283203125,15.395639,-42.651405334472656,2331.259521484375,1.0027974843978882,0.0007,-0.0445789098739624
310,1000,3,199,200,-6977.8359375,58.890804,-42.67195129394531,34168.171875,1.003555178642273,0.0007,0.01515108346939087
317,1500,4,299,300,3315.739013671875,-149.8179,-42.644996643066406,12091.630859375,1.0025578737258911,0.0007,0.006949663162231445
321,2000,6,399,400,-349.82220458984375,261.42868,-42.62704849243164,15526.625,1.0021858215332031,0.0007,0.000766456127166748
323,2500,7,499,500,399.1492004394531,-11.567072,-42.575801849365234,182.07586669921875,1.000267505645752,0.0007,0.025186479091644287
325,3000,9,599,600,-3075.840576171875,102.00316,-42.540306091308594,6206.82275390625,0.9993782043457031,0.0007,-0.018463730812072754
326,3500,10,699,700,-1393.1431884765625,150.6045,-42.476905822753906,4072.134033203125,0.9974735975265503,0.0007,-0.004432320594787598
326,4000,12,799,800,11950.08984375,140.09692,-42.495513916015625,85185.109375,0.9978370070457458,0.0007,0.016117215156555176
327,4500,13,899,900,-1785.134033203125,-51.56774,-42.562129974365234,64347.1953125,0.9999760389328003,0.0007,0.004575133323669434
326,5000,15,999,1000,1442.077392578125,-29.86493,-42.61210632324219,1274.5989990234375,1.0019272565841675,0.0007,0.07353299856185913
326,5500,16,1099,1100,-2455.869873046875,79.25644,-42.61603927612305,5444.0498046875,1.0018212795257568,0.0007,-0.09582984447479248
327,6000,18,1199,1200,-968.9664306640625,-50.458458,-42.633018493652344,12525.697265625,1.002653956413269,0.0007,-0.009995818138122559
327,6500,19,1299,1300,-5083.61279296875,-60.291103,-42.59822082519531,18847.13671875,1.001374363899231,0.0007,0.09350311756134033
328,7000,21,1399,1400,-993.25537109375,-258.07013,-42.601409912109375,33697.2734375,1.0014017820358276,0.0007,0.014580130577087402
328,7500,22,1499,1500,1629.4432373046875,31.217707,-42.60243606567383,1554.9273681640625,1.001424789428711,0.0007,0.07605022192001343
329,8000,24,1599,1600,1853.257568359375,-60.538982,-42.64727020263672,5208.279296875,1.0028644800186157,0.0007,-0.07204091548919678
329,8500,25,1699,1700,3486.813232421875,81.180115,-42.73907470703125,7275.72509765625,1.0060598850250244,0.0007,-0.1253286600112915
329,9000,27,1799,1800,-3123.7236328125,61.597427,-42.736305236816406,9882.92578125,1.005988597869873,0.0007,0.053433120250701904
328,9500,28,1899,1900,1205.471435546875,172.1501,-42.73952102661133,14459.6953125,1.0060336589813232,0.0007,0.04802286624908447
329,10000,30,1999,2000,-2801.078857421875,-10.640808,-42.77570724487305,4967.1767578125,1.007301926612854,0.0007,-0.10834050178527832
329,10500,31,2099,2100,3237.902587890625,51.326523,-42.77935791015625,8887.755859375,1.0073953866958618,0.0007,-0.11378836631774902
329,11000,33,2199,2200,-3120.71044921875,34.075836,-42.7756233215332,7897.33740234375,1.0072041749954224,0.0007,-0.09634077548980713
329,11500,34,2299,2300,7915.9228515625,-244.87897,-42.767417907714844,40124.3125,1.0071264505386353,0.0007,0.040557920932769775
329,12000,36,2399,2400,3714.107421875,255.00543,-42.799095153808594,15830.529296875,1.008104681968689,0.0007,-0.01712620258331299
330,12500,37,2499,2500,2004.260009765625,-52.162743,-42.78313446044922,2726.065673828125,1.0075924396514893,0.0007,-0.5586339235305786
330,13000,39,2599,2600,6078.1923828125,-23.226915,-42.719627380371094,23950.22265625,1.0056709051132202,0.0007,-0.021085619926452637
330,13500,40,2699,2700,5497.859375,96.40387,-42.70681381225586,22533.888671875,1.005149006843567,0.0007,0.02111572027206421
330,14000,42,2799,2800,-9593.32421875,-8.105865,-42.684417724609375,55467.55078125,1.0043580532073975,0.0007,0.06020992994308472
330,14500,43,2899,2900,-9798.3916015625,141.01024,-42.77809143066406,53294.78125,1.0074602365493774,0.0007,0.022922515869140625
330,15000,45,2999,3000,-1403.650146484375,36.829735,-42.80191421508789,2508.6689453125,1.0082781314849854,0.0007,-0.03767597675323486
329,15500,46,3099,3100,-165.0955352783203,9.463144,-42.82722473144531,765.6398315429688,1.0091397762298584,0.0007,0.07406860589981079
330,16000,48,3199,3200,-1179.568359375,-106.61264,-42.75577926635742,2897.729248046875,1.0066654682159424,0.0007,0.2506124973297119
330,16500,49,3299,3300,3130.11474609375,-79.68436,-42.725059509277344,5997.90185546875,1.0058014392852783,0.0007,0.012147128582000732
330,17000,51,3399,3400,2716.845458984375,-75.47268,-42.743011474609375,4394.5185546875,1.0061681270599365,0.0007,0.7004905939102173
330,17500,52,3499,3500,-1824.095947265625,0.14136767,-42.711936950683594,3487.25341796875,1.0052077770233154,0.0007,0.007268965244293213
330,18000,54,3599,3600,-1576.0687255859375,-18.302008,-42.705684661865234,2364.47509765625,1.0052224397659302,0.0007,0.2663700580596924
330,18500,55,3699,3700,-291.9082946777344,-8.560226,-42.75377655029297,395.02471923828125,1.0067944526672363,0.0007,0.3212321400642395
330,19000,57,3799,3800,3655.184326171875,-112.888725,-42.72905731201172,13016.4140625,1.0058770179748535,0.0007,0.18429869413375854
330,19500,58,3899,3900,-1801.4615478515625,-47.88797,-42.71546936035156,7343.69384765625,1.0057331323623657,0.0007,0.39323389530181885
331,20000,60,3999,4000,-444.25555419921875,77.00461,-42.695770263671875,910.5773315429688,1.0051569938659668,0.0007,0.33192873001098633
331,20500,61,4099,4100,-4448.3349609375,77.611115,-42.70696258544922,11720.591796875,1.0052850246429443,0.0007,-0.20213520526885986
331,21000,63,4199,4200,290.8982849121094,36.91287,-42.754093170166016,2441.4638671875,1.0069329738616943,0.0007,0.12518960237503052
331,21500,64,4299,4300,-2799.94189453125,39.63221,-42.73344421386719,9191.701171875,1.006333589553833,0.0007,0.27443867921829224
331,22000,66,4399,4400,-3992.96142578125,-192.05037,-42.74760818481445,20035.603515625,1.0070191621780396,0.0007,-0.28403782844543457
331,22500,67,4499,4500,-499.3848571777344,-31.338356,-42.80377197265625,496.03692626953125,1.008682370185852,0.0007,0.5657942593097687
330,23000,69,4599,4600,-812.4686889648438,122.0894,-42.840030670166016,1215.7193603515625,1.0100703239440918,0.0007,0.3831888437271118
330,23500,71,4699,4700,2453.080322265625,185.37355,-42.85968780517578,7076.2763671875,1.010571837425232,0.0007,0.3440752625465393
330,24000,72,4799,4800,-922.0933837890625,-233.31459,-42.922908782958984,8151.7470703125,1.0127300024032593,0.0007,0.02795994281768799
331,24500,74,4899,4900,-4043.852294921875,-8.468692,-43.00257873535156,17978.380859375,1.015517234802246,0.0007,0.3571060299873352
331,25000,75,4999,5000,-294.2535400390625,-2.11584,-42.98662567138672,1983.142822265625,1.0149246454238892,0.0007,-0.6968390941619873
331,25500,77,5099,5100,-1415.250732421875,24.329182,-43.014312744140625,3036.396484375,1.0160030126571655,0.0007,-0.37359321117401123
331,26000,78,5199,5200,-1061.816650390625,61.718246,-43.000823974609375,1382.4683837890625,1.0154706239700317,0.0007,-0.03156304359436035
331,26500,79,5299,5300,666.7433471679688,56.834457,-43.04602813720703,2575.6357421875,1.0170009136199951,0.0007,0.13494259119033813
331,27000,81,5399,5400,3870.3984375,-6.292958,-43.039268493652344,11087.31640625,1.0169956684112549,0.0007,0.3985680937767029
331,27500,82,5499,5500,-719.73681640625,-23.362959,-43.03602600097656,1601.6527099609375,1.0166841745376587,0.0007,-1.0713932514190674
331,28000,84,5599,5600,-115.9515609741211,108.68787,-42.99068832397461,7292.15478515625,1.015347957611084,0.0007,-0.19121885299682617
331,28500,85,5699,5700,-1922.9677734375,90.90661,-43.040409088134766,4104.91455078125,1.0168558359146118,0.0007,0.2621534466743469
