train/learning_rate,time/time_elapsed,time/total_timesteps,train/value_loss,time/iterations,train/n_updates,train/policy_loss,train/explained_variance,train/std,train/reward,train/entropy_loss,time/fps
0.0007,1,500,6125.81787109375,100,99,2845.91796875,0.005485713481903076,1.0008803606033325,109.81519,-42.593833923339844,330
0.0007,3,1000,60023.1484375,200,199,9585.224609375,-0.0077342987060546875,1.0056084394454956,73.73536,-42.732261657714844,307
0.0007,4,1500,26762.27734375,300,299,-3223.90380859375,0.020853698253631592,1.006065011024475,99.03837,-42.73979949951172,315
0.0007,6,2000,21417.271484375,400,399,3093.8369140625,-0.015764594078063965,1.0068761110305786,70.63542,-42.77080535888672,319
0.0007,7,2500,166.23495483398438,500,499,265.4252014160156,-0.8213644027709961,1.0078002214431763,-28.866304,-42.791542053222656,321
0.0007,9,3000,13483.1357421875,600,599,-4486.0439453125,0.09502899646759033,1.0069432258605957,-44.510628,-42.76679992675781,323
0.0007,10,3500,19643.58203125,700,699,-2830.18701171875,0.01209789514541626,1.0076650381088257,-100.078224,-42.78383255004883,325
0.0007,12,4000,55739.08203125,800,799,-4939.4326171875,0.04084742069244385,1.008465051651001,243.41866,-42.811702728271484,326
0.0007,13,4500,282940.84375,900,899,21982.435546875,0.07560867071151733,1.007981300354004,572.4003,-42.801273345947266,326
0.0007,15,5000,182.14308166503906,1000,999,153.2037811279297,0.22091186046600342,1.011088490486145,28.303598,-42.8887825012207,325
0.0007,16,5500,3593.986328125,1100,1099,511.0028381347656,-0.0922243595123291,1.0108591318130493,-43.375008,-42.88580322265625,326
0.0007,18,6000,21943.03125,1200,1199,-4335.2841796875,0.11979120969772339,1.0110889673233032,-16.925545,-42.89241027832031,326
0.0007,19,6500,56614.2421875,1300,1299,-8022.4453125,0.013058602809906006,1.0149977207183838,24.454721,-43.008792877197266,327
0.0007,21,7000,66524.296875,1400,1399,7504.23974609375,0.07172411680221558,1.0175068378448486,-82.26112,-43.084285736083984,327
0.0007,22,7500,3029.455078125,1500,1499,-2257.87939453125,0.17051100730895996,1.0186896324157715,-82.44404,-43.11360168457031,328
0.0007,24,8000,16007.9189453125,1600,1599,-4773.875,0.14840835332870483,1.018415093421936,-107.77369,-43.100135803222656,328
0.0007,25,8500,9742.2333984375,1700,1699,-350.81280517578125,0.11815667152404785,1.0175925493240356,-339.7492,-43.07966995239258,328
0.0007,27,9000,111387.078125,1800,1799,-11215.8564453125,0.06697094440460205,1.0182652473449707,-350.5603,-43.09666061401367,328
0.0007,28,9500,71841.3984375,1900,1899,-9465.3076171875,0.19881725311279297,1.0189647674560547,631.4435,-43.12195587158203,327
0.0007,30,10000,1092.4512939453125,2000,1999,-795.3428955078125,0.32628345489501953,1.0160385370254517,61.64499,-43.0413932800293,328
0.0007,31,10500,66333.171875,2100,2099,10078.2763671875,0.24434632062911987,1.0142340660095215,2.5220523,-42.98059844970703,328
0.0007,33,11000,34712.9765625,2200,2199,-4846.892578125,0.16295307874679565,1.0136224031448364,-411.35342,-42.963653564453125,328
0.0007,34,11500,24223.55859375,2300,2299,1304.427978515625,0.2758259177207947,1.014321208000183,-612.9477,-42.9844970703125,328
0.0007,36,12000,254887.953125,2400,2399,-20107.19921875,0.262842059135437,1.0144274234771729,-502.74817,-42.98200225830078,329
0.0007,37,12500,3009.783935546875,2500,2499,864.3182373046875,-1.6957802772521973,1.0174849033355713,-64.50156,-43.075286865234375,329
0.0007,39,13000,30215.916015625,2600,2599,4150.9794921875,0.1232568621635437,1.0191818475723267,-307.40833,-43.1212158203125,329
0.0007,40,13500,49976.5625,2700,2699,6850.9072265625,0.23085880279541016,1.0161808729171753,211.95534,-43.03589630126953,329
0.0007,42,14000,64569.26953125,2800,2799,-7322.91259765625,0.22749972343444824,1.0172637701034546,-417.42758,-43.06565856933594,329
0.0007,43,14500,323081.09375,2900,2899,-23123.2734375,-0.25660574436187744,1.0197618007659912,438.3187,-43.1278190612793,329
0.0007,45,15000,2111.58837890625,3000,2999,-920.9696044921875,-0.49240148067474365,1.0208383798599243,4.2118063,-43.16439437866211,329
0.0007,47,15500,1180.224365234375,3100,3099,912.5675659179688,-240.923828125,1.0190975666046143,-177.49626,-43.115623474121094,329
0.0007,48,16000,17661.35546875,3200,3199,3298.77001953125,0.32641977071762085,1.0175012350082397,-398.0333,-43.062232971191406,329
0.0007,50,16500,95323.109375,3300,3299,10515.076171875,0.14820462465286255,1.0169295072555542,-362.8148,-43.04936218261719,329
0.0007,51,17000,82613.0,3400,3399,8289.927734375,0.02257680892944336,1.0155872106552124,8.251688,-43.00606155395508,329
0.0007,53,17500,8684.205078125,3500,3499,2243.32080078125,-1.2352182865142822,1.0164449214935303,89.169945,-43.029335021972656,329
0.0007,54,18000,90945.828125,3600,3599,-11903.64453125,0.3014659285545349,1.0167239904403687,239.98051,-43.04173278808594,329
0.0007,56,18500,8361.2412109375,3700,3699,4437.7783203125,-3.678349494934082,1.0155919790267944,-0.58083093,-42.991939544677734,329
0.0007,57,19000,126393.8515625,3800,3799,9464.77734375,-0.07850790023803711,1.0161545276641846,-621.98615,-43.018943786621094,330
0.0007,59,19500,229294.703125,3900,3899,-19661.134765625,0.49563050270080566,1.0166198015213013,-4.7394834,-43.034263610839844,330
0.0007,60,20000,4445.14990234375,4000,3999,-2280.38232421875,-0.11629712581634521,1.0143769979476929,-20.421509,-42.96905517578125,330
0.0007,62,20500,62502.8984375,4100,4099,-9688.90625,0.4070906639099121,1.0146805047988892,-7.656657,-42.9705924987793,330
0.0007,63,21000,38501.3203125,4200,4199,342.02105712890625,-0.17492616176605225,1.0144606828689575,142.0284,-42.95732879638672,330
0.0007,65,21500,19404.427734375,4300,4299,-5650.03759765625,0.6629458963871002,1.0141936540603638,-44.41643,-42.960384368896484,330
0.0007,66,22000,11275.654296875,4400,4399,-3193.67431640625,0.623538464307785,1.0122431516647339,85.89071,-42.909820556640625,330
0.0007,68,22500,5808.2880859375,4500,4499,450.59747314453125,-4.089444160461426,1.0111186504364014,40.33635,-42.86121368408203,330
0.0007,69,23000,11559.3603515625,4600,4599,-2548.007568359375,-1.0705265998840332,1.0127564668655396,51.26797,-42.91203308105469,330
0.0007,71,23500,3463.110595703125,4700,4699,-1431.4281005859375,-16.94150733947754,1.015649437904358,113.16979,-42.99677276611328,330
0.0007,72,24000,31221.853515625,4800,4799,-3124.101318359375,-0.10459017753601074,1.0159835815429688,-58.744762,-43.0097541809082,330
0.0007,74,24500,7071.3837890625,4900,4899,2632.35888671875,0.2538505792617798,1.0158811807632446,195.08577,-42.99815368652344,330
0.0007,75,25000,6511.3046875,5000,4999,746.1280517578125,-0.656417727470398,1.017356038093567,-30.244091,-43.04047393798828,330
0.0007,77,25500,12632.7060546875,5100,5099,4051.95947265625,-0.11462295055389404,1.0181182622909546,126.066696,-43.07304382324219,330
0.0007,78,26000,4332.69970703125,5200,5199,527.16064453125,-0.06900930404663086,1.017821192741394,-7.315682,-43.05262756347656,330
0.0007,80,26500,28697.666015625,5300,5299,-4380.62060546875,0.17265772819519043,1.0195834636688232,-54.91382,-43.11434555053711,330
0.0007,81,27000,13228.017578125,5400,5399,2406.55615234375,0.03416872024536133,1.0204594135284424,-145.04893,-43.128440856933594,330
0.0007,83,27500,7578.79833984375,5500,5499,-2543.076416015625,0.05896139144897461,1.0176637172698975,-8.898702,-43.048126220703125,331
0.0007,84,28000,23346.6484375,5600,5599,-1867.949951171875,-0.4965322017669678,1.0196874141693115,181.37604,-43.11440658569336,331
0.0007,86,28500,13317.306640625,5700,5699,-2643.42919921875,0.09786218404769897,1.0205802917480469,67.38926,-43.14238357543945,331
0.0007,87,29000,4114.01611328125,5800,5799,1726.2916259765625,0.05115550756454468,1.0171338319778442,-155.86076,-43.0376091003418,331
0.0007,88,29500,49521.21875,5900,5899,-8166.8720703125,-0.8631013631820679,1.018307089805603,289.81787,-43.071693420410156,331
0.0007,90,30000,16282.044921875,6000,5999,-5364.541015625,0.2639783024787903,1.019290566444397,109.075676,-43.10446548461914,331
0.0007,91,30500,11852.498046875,6100,6099,3573.425048828125,-0.27953648567199707,1.0174227952957153,45.300156,-43.04405212402344,331
0.0007,93,31000,15975.1123046875,6200,6199,2641.358642578125,0.05815643072128296,1.0167518854141235,133.66838,-43.02101516723633,331
0.0007,94,31500,7627.49853515625,6300,6299,-3703.395263671875,0.5572880804538727,1.0149260759353638,3.134751,-42.97308349609375,331
0.0007,96,32000,26450.228515625,6400,6399,-5273.01025390625,0.12312483787536621,1.0154392719268799,0.56977063,-42.98356246948242,331
0.0007,98,32500,2718.33056640625,6500,6499,425.330810546875,-0.8219337463378906,1.0154999494552612,-9.93804,-42.97376251220703,331
0.0007,99,33000,8210.3701171875,6600,6599,-1636.056396484375,-0.21311771869659424,1.0161173343658447,133.4679,-43.00034713745117,331
0.0007,101,33500,68953.953125,6700,6699,9507.9404296875,-0.20299649238586426,1.0168145895004272,350.59314,-43.021480560302734,331
0.0007,102,34000,124562.640625,6800,6799,14336.572265625,0.12003141641616821,1.0135217905044556,0.44354123,-42.92277526855469,331
0.0007,104,34500,31442.94921875,6900,6899,4285.6416015625,-0.05788612365722656,1.0124077796936035,-397.03406,-42.88959884643555,331
0.0007,105,35000,3802.54150390625,7000,6999,-557.7454223632812,0.026024818420410156,1.0140955448150635,-209.24258,-42.939632415771484,331
