train/value_loss,time/time_elapsed,train/learning_rate,train/std,time/fps,train/policy_loss,time/total_timesteps,train/n_updates,train/explained_variance,train/entropy_loss,time/iterations,train/reward
1212.698486328125,1,0.0007,1.0023466348648071,333,1305.080810546875,500,99,0.09581255912780762,-42.62977981567383,100,-5.42351
12118.0,3,0.0007,1.00532865524292,308,3269.759521484375,1000,199,0.03150486946105957,-42.72225570678711,200,42.31426
6465.41455078125,4,0.0007,1.006813883781433,317,-2486.19873046875,1500,299,0.0956001877784729,-42.76049041748047,300,97.90967
91647.609375,6,0.0007,1.0080764293670654,321,-11576.4365234375,2000,399,-0.010776996612548828,-42.80741882324219,400,62.84246
303.48974609375,7,0.0007,1.0094245672225952,324,-550.9144287109375,2500,499,0.24310237169265747,-42.838016510009766,500,-4.816835
27597.306640625,9,0.0007,1.0088526010513306,326,6208.2587890625,3000,599,0.06731975078582764,-42.82304382324219,600,268.98193
136216.0,10,0.0007,1.008325457572937,327,15538.9638671875,3500,699,0.1373233199119568,-42.80599594116211,700,-125.530426
88528.84375,12,0.0007,1.0063878297805786,328,10638.34375,4000,799,0.10848110914230347,-42.75611114501953,800,-562.1028
28062.92578125,13,0.0007,1.0061638355255127,329,-3584.259765625,4500,899,-0.029119133949279785,-42.74557113647461,900,-90.839516
108.11527252197266,15,0.0007,1.0052577257156372,328,109.79670715332031,5000,999,0.13293659687042236,-42.71077346801758,1000,6.722927
3125.571533203125,16,0.0007,1.004793405532837,328,1331.495849609375,5500,1099,-0.08079397678375244,-42.70253372192383,1100,-108.90746
59351.0,18,0.0007,1.006600260734558,329,-8409.263671875,6000,1199,-0.18630576133728027,-42.751068115234375,1200,-104.113365
60293.5859375,19,0.0007,1.0058718919754028,329,-2319.359375,6500,1299,0.024624645709991455,-42.73175811767578,1300,-62.870293
544172.375,21,0.0007,1.0058916807174683,330,26774.82421875,7000,1399,-0.01445472240447998,-42.73276138305664,1400,1175.0929
1163.0909423828125,22,0.0007,1.0050179958343506,330,111.71711730957031,7500,1499,0.09646737575531006,-42.701297760009766,1500,-42.692963
10391.9404296875,24,0.0007,1.0050193071365356,331,-4349.67041015625,8000,1599,0.08661049604415894,-42.71157455444336,1600,170.32878
29751.29296875,25,0.0007,1.0048067569732666,331,6366.93505859375,8500,1699,0.10548752546310425,-42.7059440612793,1700,-197.32486
39359.10546875,27,0.0007,1.0031167268753052,331,6837.6337890625,9000,1799,-0.03001260757446289,-42.649044036865234,1800,-212.57181
113629.140625,28,0.0007,1.004217267036438,330,6441.2958984375,9500,1899,0.003658115863800049,-42.68151092529297,1900,700.1914
1617.2001953125,30,0.0007,1.0039007663726807,330,1633.072998046875,10000,1999,0.48898595571517944,-42.66801452636719,2000,24.078932
4699.5419921875,31,0.0007,1.0049537420272827,331,-1600.321533203125,10500,2099,-0.018628478050231934,-42.69583511352539,2100,-153.36287
4874.771484375,33,0.0007,1.004967451095581,331,-399.05841064453125,11000,2199,0.04275387525558472,-42.694007873535156,2200,149.37004
40991.7734375,34,0.0007,1.0042542219161987,331,-4370.55712890625,11500,2299,0.005283534526824951,-42.676513671875,2300,221.66948
96208.453125,36,0.0007,1.0039095878601074,332,13070.279296875,12000,2399,0.03979659080505371,-42.658355712890625,2400,119.5895
186.96780395507812,37,0.0007,1.0055911540985107,332,-268.613037109375,12500,2499,0.514856219291687,-42.71785354614258,2500,25.61791
18551.056640625,39,0.0007,1.0034226179122925,332,-5017.181640625,13000,2599,-0.001495361328125,-42.654720306396484,2600,22.783432
9193.294921875,40,0.0007,1.0030585527420044,332,-2782.87890625,13500,2699,0.13967961072921753,-42.639991760253906,2700,-81.003685
