train/value_loss,time/time_elapsed,train/learning_rate,train/std,time/fps,train/policy_loss,time/total_timesteps,train/n_updates,train/explained_variance,train/entropy_loss,time/iterations,train/reward
90768.0078125,42,0.0007,1.0025233030319214,333,-13060.1298828125,14000,2799,0.16844242811203003,-42.62367248535156,2800,274.24905
74813.390625,43,0.0007,1.0018447637557983,333,-6245.12353515625,14500,2899,0.014944374561309814,-42.60175323486328,2900,423.95422
2307.80615234375,44,0.0007,0.9995661973953247,333,-815.388671875,15000,2999,-0.16710495948791504,-42.53137969970703,3000,76.99106
8660.646484375,46,0.0007,0.9992752075195312,332,2624.64111328125,15500,3099,0.1431698203086853,-42.52281951904297,3100,-50.37108
4410.65966796875,48,0.0007,1.0005708932876587,332,-2773.88916015625,16000,3199,0.10171061754226685,-42.5651741027832,3200,-61.26116
16285.2080078125,49,0.0007,0.9996792674064636,332,-4537.17041015625,16500,3299,0.1331518292427063,-42.535579681396484,3300,-220.97316
42013.59375,51,0.0007,1.0015562772750854,332,-8079.57275390625,17000,3399,-0.1528390645980835,-42.59331512451172,3400,451.90225
1071.711669921875,52,0.0007,1.0014101266860962,333,-879.9674072265625,17500,3499,-0.06498408317565918,-42.595375061035156,3500,58.217743
5240.072265625,54,0.0007,1.0030051469802856,333,-1385.1640625,18000,3599,0.02013075351715088,-42.63587188720703,3600,200.54317
10194.1142578125,55,0.0007,1.0025221109390259,333,-1645.8531494140625,18500,3699,0.024880409240722656,-42.62052917480469,3700,-145.27249
6329.5166015625,56,0.0007,1.001468300819397,333,1016.2652587890625,19000,3799,0.19027680158615112,-42.59259033203125,3800,-59.832836
28304.81640625,58,0.0007,1.0006349086761475,333,-559.7515869140625,19500,3899,0.0230635404586792,-42.57109069824219,3900,284.00555
1404.13232421875,59,0.0007,0.9989392757415771,333,106.0259780883789,20000,3999,-0.0939943790435791,-42.51966857910156,4000,-111.93226
15787.3251953125,61,0.0007,0.9992482662200928,333,4390.40380859375,20500,4099,0.017840564250946045,-42.52467727661133,4100,-33.616585
531.5762329101562,62,0.0007,0.9981096386909485,333,-257.45367431640625,21000,4199,0.441322922706604,-42.4847526550293,4200,54.244167
9103.4794921875,64,0.0007,1.001800298690796,334,-2008.678466796875,21500,4299,0.10081887245178223,-42.600669860839844,4300,-0.5837857
3640.12744140625,65,0.0007,1.0026227235794067,334,-1233.4251708984375,22000,4399,0.25106972455978394,-42.62270736694336,4400,93.396095
1774.422119140625,67,0.0007,1.002191185951233,334,520.8816528320312,22500,4499,0.158136785030365,-42.60293197631836,4500,46.498318
558.3822631835938,68,0.0007,1.0008094310760498,333,-786.0679931640625,23000,4599,0.5158571600914001,-42.57220458984375,4600,87.81528
36.92495346069336,70,0.0007,0.9994975924491882,333,145.64804077148438,23500,4699,0.7754519134759903,-42.52882385253906,4700,53.737804
1826.7486572265625,71,0.0007,1.0010017156600952,333,-1262.237548828125,24000,4799,0.35269683599472046,-42.565555572509766,4800,13.942059
3484.01904296875,73,0.0007,1.0039116144180298,333,300.2900390625,24500,4899,-0.0804218053817749,-42.65061569213867,4900,8.588849
1272.095458984375,74,0.0007,1.0043456554412842,333,-812.6600952148438,25000,4999,0.2590288519859314,-42.670372009277344,5000,14.301544
8477.736328125,76,0.0007,1.0038245916366577,334,3535.147216796875,25500,5099,0.18706607818603516,-42.650211334228516,5100,141.75577
891.15380859375,77,0.0007,1.0037418603897095,334,750.3428344726562,26000,5199,0.47171950340270996,-42.65216827392578,5200,-2.3322537
17565.560546875,79,0.0007,1.003761887550354,334,-3451.42431640625,26500,5299,0.14535009860992432,-42.64204406738281,5300,280.2086
4536.28515625,80,0.0007,1.00350022315979,334,2121.863037109375,27000,5399,-0.14678287506103516,-42.63563537597656,5400,25.541452
1451.141845703125,82,0.0007,1.0032241344451904,334,-805.0670166015625,27500,5499,0.2784033417701721,-42.62916946411133,5500,-23.232817
3821.89599609375,83,0.0007,1.0028213262557983,334,-1801.954833984375,28000,5599,0.14029932022094727,-42.61194610595703,5600,44.05732
1178.5059814453125,85,0.0007,1.0044411420822144,334,-440.7733459472656,28500,5699,0.24593251943588257,-42.65463638305664,5700,77.096695
3814.515625,86,0.0007,1.0031092166900635,334,169.08627319335938,29000,5799,-0.01832449436187744,-42.61885452270508,5800,16.512568
41579.3203125,88,0.0007,1.0026167631149292,334,7563.67431640625,29500,5899,0.08965712785720825,-42.60854721069336,5900,-97.41364
1840.8834228515625,89,0.0007,1.0011608600616455,334,873.2864990234375,30000,5999,-0.6944665908813477,-42.55865478515625,6000,60.19452
878.5911254882812,91,0.0007,0.9998486042022705,334,-230.7904510498047,30500,6099,0.07561355829238892,-42.529090881347656,6100,42.97112
7030.0009765625,92,0.0007,0.9985588192939758,334,2205.5,31000,6199,0.03714799880981445,-42.49124526977539,6200,-50.82534
5242.0068359375,94,0.0007,0.9993926882743835,334,-677.3458251953125,31500,6299,-0.1458132266998291,-42.517723083496094,6300,127.69943
29136.46875,95,0.0007,1.0021840333938599,333,-6046.05859375,32000,6399,-0.08907151222229004,-42.59771728515625,6400,-2.052955
11998.404296875,97,0.0007,1.001667857170105,334,3431.97900390625,32500,6499,-0.03825521469116211,-42.58438491821289,6500,6.4124837
8395.927734375,98,0.0007,1.0009257793426514,334,-3590.08447265625,33000,6599,0.21315884590148926,-42.55532455444336,6600,-50.153446
2801.631103515625,100,0.0007,1.001004934310913,334,-915.9728393554688,33500,6699,-0.11184060573577881,-42.56160354614258,6700,-44.742245
10506.955078125,101,0.0007,1.00002920627594,334,1147.5982666015625,34000,6799,0.11613744497299194,-42.524539947509766,6800,181.63382
8487.353515625,103,0.0007,0.9983871579170227,334,3218.879150390625,34500,6899,0.2987136244773865,-42.478858947753906,6900,166.02231
1099.271728515625,104,0.0007,0.9962744116783142,334,1053.6417236328125,35000,6999,-0.17803728580474854,-42.41541290283203,7000,-22.714329
1551.18505859375,106,0.0007,0.9975774884223938,334,-1339.0111083984375,35500,7099,0.5189690589904785,-42.44778823852539,7100,55.11551
50156.6640625,107,0.0007,1.0000332593917847,334,-5812.06982421875,36000,7199,-0.04435265064239502,-42.52445602416992,7200,55.932903
33785.63671875,109,0.0007,0.9978017807006836,334,394.2113342285156,36500,7299,0.056965649127960205,-42.457305908203125,7300,0.014769537
68522.3984375,110,0.0007,0.9974649548530579,334,-5196.08837890625,37000,7399,0.07170742750167847,-42.44276428222656,7400,108.464714
4653.41015625,112,0.0007,0.9995778799057007,334,1845.4615478515625,37500,7499,0.253662109375,-42.50250244140625,7500,44.386215
14827.271484375,113,0.0007,0.9997208714485168,334,-4779.97607421875,38000,7599,0.23204535245895386,-42.505001068115234,7600,165.99448
3116.323974609375,115,0.0007,1.000534176826477,334,403.8519287109375,38500,7699,-0.3281944990158081,-42.524330139160156,7700,118.289894
16815.8359375,116,0.0007,1.0011290311813354,334,-4773.0693359375,39000,7799,-0.1697300672531128,-42.552791595458984,7800,-26.808916
14689.099609375,118,0.0007,0.9994156956672668,334,-1963.622314453125,39500,7899,0.1368538737297058,-42.4992790222168,7900,-124.865555
1596.4222412109375,119,0.0007,0.9995487332344055,334,-683.8896484375,40000,7999,-0.3760056495666504,-42.50177764892578,8000,12.509044
6511.42822265625,121,0.0007,0.9992796182632446,334,2812.718505859375,40500,8099,0.08796972036361694,-42.49763870239258,8100,-34.543823
18803.58203125,122,0.0007,0.9994553327560425,334,-1012.3932495117188,41000,8199,0.0105782151222229,-42.502037048339844,8200,-175.42653
29363.603515625,123,0.0007,1.0003776550292969,334,-2025.62890625,41500,8299,0.1642676591873169,-42.52043151855469,8300,-18.929592
52558.4921875,125,0.0007,1.0010126829147339,334,-4814.2900390625,42000,8399,0.08364099264144897,-42.54384231567383,8400,35.342876
1189.7537841796875,126,0.0007,1.0016754865646362,334,1112.9744873046875,42500,8499,-0.4569915533065796,-42.56439208984375,8500,99.587746
1248.9525146484375,128,0.0007,1.0014535188674927,334,-1092.5205078125,43000,8599,-3.1099390983581543,-42.55994415283203,8600,-29.510944
12735.5419921875,130,0.0007,0.9999223947525024,334,2118.87109375,43500,8699,0.02040308713912964,-42.505638122558594,8700,-257.2128
76841.109375,131,0.0007,1.0021989345550537,334,10696.927734375,44000,8799,0.1669142246246338,-42.57380294799805,8800,181.96844
12241.3173828125,133,0.0007,1.004906177520752,334,-1745.834716796875,44500,8899,-0.05608034133911133,-42.65739822387695,8900,-66.65904
3804.9765625,134,0.0007,1.0079619884490967,334,-1778.0426025390625,45000,8999,-1.5431461334228516,-42.73834991455078,9000,-100.338875
5314.6865234375,136,0.0007,1.0095075368881226,334,2361.82373046875,45500,9099,0.23652613162994385,-42.7783088684082,9100,-65.68428
8614.458984375,137,0.0007,1.010783076286316,334,-1635.9852294921875,46000,9199,0.2967758774757385,-42.82113265991211,9200,-6.7718744
25065.21484375,139,0.0007,1.0105217695236206,334,-4172.98193359375,46500,9299,0.25301694869995117,-42.82146453857422,9300,229.38814
46138.3203125,140,0.0007,1.010056972503662,334,-2288.49951171875,47000,9399,0.05257529020309448,-42.80375289916992,9400,-504.5558
2601.873291015625,141,0.0007,1.0114777088165283,334,-881.5988159179688,47500,9499,-0.28864502906799316,-42.83618927001953,9500,1.7698687
4170.189453125,143,0.0007,1.0095926523208618,334,291.5699157714844,48000,9599,-0.11263716220855713,-42.78030776977539,9600,-125.31286
10328.50390625,144,0.0007,1.0080715417861938,334,-1022.5875244140625,48500,9699,-0.03434431552886963,-42.74128723144531,9700,159.33315
16129.640625,146,0.0007,1.0075504779815674,334,3153.7412109375,49000,9799,0.15793150663375854,-42.724308013916016,9800,73.49634
58450.1875,147,0.0007,1.0068813562393188,334,8393.8603515625,49500,9899,0.14685755968093872,-42.70410919189453,9900,-56.34664
3501.574951171875,149,0.0007,1.0058846473693848,334,-1546.6513671875,50000,9999,0.3355540633201599,-42.66686248779297,10000,25.545835
