time/time_elapsed,time/episodes,train/critic_loss,time/total_timesteps,time/fps,train/reward,train/actor_loss,train/learning_rate,train/n_updates
55,4,650661.9025798248,9928,179,-8.825643,-2886.145567273825,0.001,7446
120,8,10619.465231306029,19856,165,-8.825643,-846.1619294417856,0.001,17374
186,12,1121.8587899895851,29784,160,-8.825643,-194.7194337806425,0.001,27302
251,16,269.7036011255527,39712,157,-8.825643,-47.49221450873289,0.001,37230
317,20,635.2413134486516,49640,156,-8.825643,-4.1836775148424,0.001,47158
