time/fps,train/learning_rate,time/time_elapsed,train/critic_loss,train/reward,time/episodes,time/total_timesteps,train/actor_loss,train/n_updates
181,0.001,54,2316457.2035153103,4.6254845,4,9928,18201.586082685964,7446
167,0.001,118,238830.63441938206,4.6254845,8,19856,8080.2076420933845,17374
162,0.001,182,45149.28449287998,4.6254845,12,29784,3996.5330773168375,27302
160,0.001,247,10361.402608645529,4.6254845,16,39712,2004.1149865948894,37230
159,0.001,311,1971.8791906831727,4.6254845,20,49640,1049.5631808788905,47158
