train/entropy_loss,train/learning_rate,train/explained_variance,time/total_timesteps,train/value_loss,time/time_elapsed,train/n_updates,time/iterations,time/fps,train/reward,train/std,train/policy_loss
-42.638336181640625,0.0007,-0.38295042514801025,500,12.109838485717773,2,99,100,187,0.0,1.0022786855697632,17.785297393798828
-42.62693405151367,0.0007,-0.27653253078460693,1000,88.00932312011719,5,199,200,181,-1.998362,1.0021766424179077,387.3834228515625
-42.67375946044922,0.0007,0.05417448282241821,1500,4.931525707244873,8,299,300,178,-1.4994382,1.0037599802017212,53.39246368408203
-42.72772979736328,0.0007,-0.01904582977294922,2000,50.43659210205078,11,399,400,179,-2.4355402,1.0055071115493774,287.70770263671875
-42.72093200683594,0.0007,0.131472647190094,2500,379.0976257324219,13,499,500,179,8.268999,1.005295753479004,-834.2379150390625
-42.72697067260742,0.0007,-0.5797659158706665,3000,14.01897144317627,16,599,600,180,1.7200286,1.0057235956192017,-148.5799102783203
-42.701416015625,0.0007,0.05153161287307739,3500,105.37968444824219,19,699,700,180,-6.31776,1.0046709775924683,-338.99835205078125
-42.65962600708008,0.0007,0.2789146900177002,4000,11.28377914428711,22,799,800,180,1.317977,1.003401517868042,-92.68830871582031
-42.635414123535156,0.0007,-0.19024431705474854,4500,6.7387566566467285,24,899,900,180,-12.520521,1.0026600360870361,-77.50403594970703
-42.66259002685547,0.0007,0.02687251567840576,5000,788.0238647460938,27,999,1000,180,5.1202993,1.0035325288772583,1088.9061279296875
-42.58017349243164,0.0007,-0.2393627166748047,5500,113.4720458984375,30,1099,1100,179,-2.8390574,1.000957727432251,-426.5919494628906
-42.58110809326172,0.0007,0.5789939165115356,6000,5.18372917175293,33,1199,1200,180,4.0715613,1.0007672309875488,-95.82242584228516
-42.51384735107422,0.0007,-0.08828079700469971,6500,146.0869140625,36,1299,1300,180,-1.7146047,0.9987374544143677,412.67340087890625
-42.51749801635742,0.0007,0.3155304789543152,7000,5.7188591957092285,38,1399,1400,180,-0.07967458,0.9991621375083923,-63.23283767700195
-42.545799255371094,0.0007,0.10043209791183472,7500,31.20107650756836,41,1499,1500,180,1.9575198,0.9998098015785217,-230.5668487548828
-42.56977081298828,0.0007,0.10466736555099487,8000,25.940811157226562,44,1599,1600,180,1.1836632,1.0008102655410767,191.45095825195312
-42.52791213989258,0.0007,-1.6505308151245117,8500,10.094862937927246,47,1699,1700,180,0.35552716,0.9991780519485474,-115.6257553100586
-42.408424377441406,0.0007,0.4858560562133789,9000,26.073226928710938,49,1799,1800,180,6.6982565,0.9949011206626892,194.42398071289062
-42.338661193847656,0.0007,0.11233687400817871,9500,480.0691833496094,52,1899,1900,180,-11.392076,0.9930564761161804,-794.81298828125
-42.34465789794922,0.0007,0.08277678489685059,10000,48.60941696166992,55,1999,2000,180,-21.200226,0.9930970668792725,58.0908203125
-42.367347717285156,0.0007,0.08545088768005371,10500,20.499330520629883,58,2099,2100,180,-2.201376,0.9937955141067505,143.4822540283203
-42.35586929321289,0.0007,0.028986454010009766,11000,121.70467376708984,60,2199,2200,180,-0.2186829,0.9935915470123291,373.07440185546875
-42.408119201660156,0.0007,-0.1712195873260498,11500,10.061175346374512,63,2299,2300,180,-0.05491563,0.9951010346412659,117.54437255859375
-42.41238784790039,0.0007,0.3573746681213379,12000,6.897535800933838,66,2399,2400,180,-22.568336,0.9952983856201172,-62.618797302246094
-42.38032150268555,0.0007,-0.14805352687835693,12500,737.589111328125,69,2499,2500,180,0.90220565,0.9943833947181702,1140.799560546875
-42.39167785644531,0.0007,0.04731839895248413,13000,225.04122924804688,71,2599,2600,180,-0.6324358,0.9946641325950623,509.09295654296875
