time/fps,time/total_timesteps,time/time_elapsed,train/actor_loss,train/n_updates,train/critic_loss,train/reward,train/learning_rate,time/episodes
156,9928,63,14769.83184789862,7446,3358223.235898469,1.5178231,0.001,4
145,19856,136,11734.412776679594,17374,795097.3820759468,1.5178231,0.001,8
143,29784,207,9350.566697408844,27302,331953.4208834861,1.5178231,0.001,12
143,39712,277,7559.689304004457,37230,173473.77124043112,1.5178231,0.001,16
143,49640,347,6198.536257145195,47158,89176.99538395196,1.5178231,0.001,20
