train/learning_rate,time/time_elapsed,time/total_timesteps,time/episodes,train/n_updates,train/actor_loss,train/reward,train/critic_loss,time/fps
0.001,63,9928,4,7446,44252.59148368252,0.06880757,13014795.750805803,157
0.001,135,19856,8,17374,34834.96697471797,0.06880757,3872322.0787167605,146
0.001,205,29784,12,27302,27301.077160241235,0.06880757,1558129.1981013296,144
0.001,275,39712,16,37230,21840.541387049256,0.06880757,960747.0209697321,144
0.001,344,49640,20,47158,17497.40975728369,0.06880757,547895.1335931205,143
