train/learning_rate,train/reward,time/episodes,time/fps,train/actor_loss,train/critic_loss,time/total_timesteps,time/time_elapsed,train/n_updates
0.001,-15.505036,4,172,-7818.839870898595,1294150.3827873187,9928,57,7446
0.001,-15.505036,8,156,-2517.526425911091,31320.31580996456,19856,126,17374
0.001,-15.505036,12,152,-998.8006376870499,5834.628413198073,29784,195,27302
0.001,-15.505036,16,151,-492.5808114567464,1372.7701340029068,39712,262,37230
0.001,-15.505036,20,150,-261.35548755605794,657.488522267553,49640,330,47158
