date,open,high,low,close,volume,tic,day,macd,boll_ub,boll_lb,rsi_30,cci_30,dx_30,close_30_sma,close_60_sma,turbulence,vix,stocktwitsPosts,stocktwitsLikes,stocktwitsImpressions,stocktwitsSentiment,random
2021-11-24,160.75,162.14,159.64,161.94,69463623,AAPL,2,0.0,166.62991557497398,152.12008442502602,0.0,-66.66666666666724,100.0,161.94,161.94,0.0,16.79,101.0,155.0,194763.0,0.532855716,0.7985325415054684
2021-11-24,198.17,203.95,197.64,203.25,12026815,V,2,0.0,166.62991557497398,152.12008442502602,0.0,-66.66666666666724,100.0,203.25,203.25,0.0,16.79,16.0,18.5,31444.5,0.349342540374263,0.4308842485441715
2021-11-24,120.0,120.87,118.395,120.71,6992624,TSM,2,0.0,166.62991557497398,152.12008442502602,0.0,-66.66666666666724,100.0,120.71,120.71,0.0,16.79,2.5,1.0,4451.5,0.3632859138682389,0.7987233073128659
2021-11-24,1080.39,1132.77,1062.0,1116.0,22560238,TSLA,2,0.0,166.62991557497398,152.12008442502602,0.0,-66.66666666666724,100.0,1116.0,1116.0,0.0,16.79,266.5,225.0,237724.0,0.5339636631632916,0.34650284783712815
2021-11-24,24.67,24.7184,24.43,24.47,33684130,T,2,0.0,166.62991557497398,152.12008442502602,0.0,-66.66666666666724,100.0,24.47,24.47,0.0,16.79,2.0,0.0,9179.0,0.4095785700959867,0.46568019770166125
2021-11-24,89.81,91.11,89.61,90.03,5066513,PM,2,0.0,166.62991557497398,152.12008442502602,0.0,-66.66666666666724,100.0,90.03,90.03,0.0,16.79,0.0,0.0,0.0,0.2581449093861007,0.4397416183545997
2021-11-24,148.77,148.88,147.68,148.66,5665173,PG,2,0.0,166.62991557497398,152.12008442502602,0.0,-66.66666666666724,100.0,148.66,148.66,0.0,16.79,0.0,0.0,0.0,0.3076901691873878,0.9521093075872397
2021-11-24,51.18,51.33,50.705,50.89,18556753,PFE,2,0.0,166.62991557497398,152.12008442502602,0.0,-66.66666666666724,100.0,50.89,50.89,0.0,16.79,22.0,10.5,23711.0,0.4765615092589202,0.7135584872104169
2021-11-24,165.088,165.5,162.58,163.74,3309539,PEP,2,0.0,166.62991557497398,152.12008442502602,0.0,-66.66666666666724,100.0,163.74,163.74,0.0,16.79,0.5,0.0,4083.5,0.3014767068139985,0.5170716024711461
2021-11-24,168.49,172.43,167.6714,172.03,4637831,NKE,2,0.0,166.62991557497398,152.12008442502602,0.0,-66.66666666666724,100.0,172.03,172.03,0.0,16.79,1.0,0.0,1016.0,0.3662834395213591,0.048490387496206044
2021-11-24,658.01,661.44,651.1,658.29,1867282,NFLX,2,0.0,166.62991557497398,152.12008442502602,0.0,-66.66666666666724,100.0,658.29,658.29,0.0,16.79,2.0,0.0,326.5,0.4968939962280733,0.9523923092772276
