time/total_timesteps,train/reward,time/iterations,time/time_elapsed,time/fps,train/value_loss,train/clip_range,train/learning_rate,train/policy_gradient_loss,train/entropy_loss,train/clip_fraction,train/std,train/approx_kl,train/n_updates,train/explained_variance,train/loss
167936,218.82944,82,439,382,6863.702375793457,0.2,0.00025,-0.06564458418870345,-45.55203673839569,0.2400390625,1.1064168214797974,0.021473499,810,0.1726440191268921,3323.093017578125
169984,3.3521974,83,444,382,13196.292919921874,0.2,0.00025,-0.05853327223449014,-45.64191718101502,0.198876953125,1.1103638410568237,0.018115042,820,0.25334155559539795,6637.38037109375
172032,91.713776,84,449,382,17870.92590942383,0.2,0.00025,-0.05172483310161624,-45.71994943618775,0.158203125,1.1122257709503174,0.015039634,830,0.26291853189468384,9085.068359375
174080,20.572693,85,454,382,16733.988659667968,0.2,0.00025,-0.053894269425654784,-45.78251390457153,0.17841796875,1.1149342060089111,0.016125757,840,0.260442852973938,5823.8935546875
176128,-2.171358,86,460,382,26140.56376953125,0.2,0.00025,-0.03795826107088942,-45.82211048603058,0.1400390625,1.115896463394165,0.015178033,850,-0.01433563232421875,14512.625
178176,200.89403,87,465,382,21808.527947998045,0.2,0.00025,-0.05105707844777498,-45.852664303779605,0.1462890625,1.117438793182373,0.015114477,860,0.1404818892478943,9013.9658203125
180224,-107.78472,88,471,382,17206.71665649414,0.2,0.00025,-0.0539265619328944,-45.89504909515381,0.15556640625,1.1185269355773926,0.015457119,870,0.06941986083984375,7710.64453125
182272,38.92288,89,476,382,35704.709204101564,0.2,0.00025,-0.04432644544431241,-45.942789506912234,0.11845703125,1.1210839748382568,0.0133344205,880,0.11148726940155029,17281.2421875
184320,3.8082042,90,481,382,41344.478125,0.2,0.00025,-0.045591305581911004,-46.00579402446747,0.112939453125,1.1231290102005005,0.012713645,890,0.16136205196380615,22220.935546875
186368,78.59666,91,487,382,19109.119018554688,0.2,0.00025,-0.04353017620160245,-46.07646286487579,0.29677734375,1.1259855031967163,0.031792324,900,0.23572343587875366,9262.6611328125
188416,-471.02582,92,492,382,63747.06806640625,0.2,0.00025,-0.01877408237196505,-46.11914346218109,0.31142578125,1.127036452293396,0.042332254,910,0.18336260318756104,26958.9296875
190464,286.546,93,497,382,33455.82263183594,0.2,0.00025,-0.04359935522661544,-46.18513383865356,0.212646484375,1.130754828453064,0.025866535,920,0.2022952437400818,14904.7392578125
192512,1.0966744,94,503,382,20525.351531982422,0.2,0.00025,-0.051868716519675215,-46.26053879261017,0.160009765625,1.1324325799942017,0.015587008,930,0.15881526470184326,7976.68603515625
194560,-213.29161,95,508,382,24340.995446777342,0.2,0.00025,-0.05005785253597424,-46.31838943958282,0.18125,1.135133147239685,0.018431501,940,0.2514066696166992,12363.6328125
196608,-94.783035,96,513,382,36825.580346679686,0.2,0.00025,-0.050589929311536254,-46.355194783210756,0.14150390625,1.1353490352630615,0.014675151,950,0.26285821199417114,14836.82421875
198656,23.743877,97,518,382,47484.96015625,0.2,0.00025,-0.04811954669712577,-46.39393403530121,0.125,1.1379539966583252,0.014022205,960,0.26336926221847534,23859.025390625
200704,-267.13174,98,524,382,61235.10014648437,0.2,0.00025,-0.04123722623771755,-46.476118850708005,0.088330078125,1.1418548822402954,0.011117317,970,0.2558671832084656,25714.623046875
