time/time_elapsed,time/fps,train/reward,time/iterations,time/total_timesteps,train/loss,train/clip_range,train/entropy_loss,train/std,train/clip_fraction,train/approx_kl,train/explained_variance,train/value_loss,train/learning_rate,train/n_updates,train/policy_gradient_loss
5,368,34.643497,1,2048,,,,,,,,,,,
10,377,-51.106133,2,4096,82.9806900024414,0.2,-42.60338714122772,1.0021120309829712,0.231494140625,0.02025013,0.0005851387977600098,157.53000555038452,0.00025,10,-0.0613741115987068
16,379,-22.300709,3,6144,258.5810852050781,0.2,-42.645630073547366,1.0030816793441772,0.14677734375,0.015191464,-0.0044097900390625,460.15666847229005,0.00025,20,-0.04952859572949819
21,380,-5.197098,4,8192,421.94476318359375,0.2,-42.680744123458865,1.0045346021652222,0.092333984375,0.0119368825,0.018660128116607666,952.9100326538086,0.00025,30,-0.04201776930713095
26,381,-17.442616,5,10240,803.7399291992188,0.2,-42.72121045589447,1.0057542324066162,0.089599609375,0.0104221925,-0.004732012748718262,1726.424642944336,0.00025,40,-0.039051395829301325
32,382,20.389898,6,12288,1601.6365966796875,0.2,-42.760976505279544,1.0070909261703491,0.04716796875,0.0088412035,-0.02628028392791748,3201.7201766967773,0.00025,50,-0.030545749311568216
37,382,-139.4127,7,14336,756.496337890625,0.2,-42.78615713119507,1.0073970556259155,0.146435546875,0.014361938,-0.0016660690307617188,1635.5686195373535,0.00025,60,-0.049800411352771336
42,382,-34.097572,8,16384,585.4803466796875,0.2,-42.81202740669251,1.0087790489196777,0.164892578125,0.014839655,-0.0037142038345336914,1381.063105392456,0.00025,70,-0.05091117738338653
48,382,-21.955019,9,18432,974.6509399414062,0.2,-42.84262268543243,1.0095933675765991,0.127197265625,0.013159415,-0.009897589683532715,2005.2794235229492,0.00025,80,-0.04599735222873278
53,382,-46.170834,10,20480,1883.5010986328125,0.2,-42.86687035560608,1.0104645490646362,0.07294921875,0.010057941,0.018455088138580322,3904.189128112793,0.00025,90,-0.03529014177911449
58,382,5.978213,11,22528,2147.08544921875,0.2,-42.88629758358002,1.0108870267868042,0.04921875,0.008071977,0.06137281656265259,4195.336390686035,0.00025,100,-0.030487406597239898
64,383,-24.781334,12,24576,2739.13818359375,0.2,-42.8949437379837,1.0111382007598877,0.010546875,0.0043551363,0.10261780023574829,6781.707415771484,0.00025,110,-0.01815417020843597
69,383,261.00565,13,26624,2763.791748046875,0.2,-42.90476906299591,1.01157808303833,0.04765625,0.008138623,0.09441518783569336,4726.339834594726,0.00025,120,-0.03378385122341569
74,383,-88.26374,14,28672,2476.47509765625,0.2,-42.92744631767273,1.012565016746521,0.07919921875,0.010485727,-0.02243185043334961,5842.850619506836,0.00025,130,-0.03666773062286666
80,383,-145.304,15,30720,1944.436767578125,0.2,-42.966371631622316,1.0142617225646973,0.113427734375,0.0130432965,0.05684065818786621,3873.741481018066,0.00025,140,-0.047102852249372516
85,381,-64.18284,16,32768,3714.85986328125,0.2,-43.018353295326236,1.0159645080566406,0.061083984375,0.009050543,0.07446974515914917,6712.333471679687,0.00025,150,-0.034694143188244195
91,381,-10.977107,17,34816,2951.852783203125,0.2,-43.05007076263428,1.016446828842163,0.053662109375,0.008576287,0.12913376092910767,6781.056741333008,0.00025,160,-0.030988995044026524
96,381,175.34363,18,36864,10339.9365234375,0.2,-43.06261351108551,1.0169252157211304,0.0115234375,0.003817183,0.14544802904129028,18750.769421386718,0.00025,170,-0.017045460946974345
102,381,-43.8583,19,38912,4157.56201171875,0.2,-43.074415278434756,1.0171482563018799,0.07294921875,0.0099290665,0.2070697546005249,7380.822415161133,0.00025,180,-0.03032268384267809
107,381,-268.87415,20,40960,5063.4072265625,0.2,-43.086038899421695,1.0178158283233643,0.0126953125,0.0047418303,0.20241284370422363,14729.684768676758,0.00025,190,-0.021687828985159287
112,381,-0.43418905,21,43008,5902.09326171875,0.2,-43.10786044597626,1.0186208486557007,0.077734375,0.009226949,0.18829727172851562,17201.883221435546,0.00025,200,-0.02253704230824951
118,381,-7.003886,22,45056,8467.9873046875,0.2,-43.1315896987915,1.0193848609924316,0.026025390625,0.005962438,0.23022550344467163,15128.621685791015,0.00025,210,-0.02428464087570319
123,381,-390.8883,23,47104,5097.55908203125,0.2,-43.14571876525879,1.019649863243103,0.034619140625,0.006995679,0.23834675550460815,17836.44530029297,0.00025,220,-0.02687320514669409
128,382,281.67993,24,49152,5918.81201171875,0.2,-43.18888912200928,1.0220073461532593,0.1232421875,0.013055142,0.20134657621383667,8345.870193481445,0.00025,230,-0.04453072436444927
134,382,51.454346,25,51200,4846.869140625,0.2,-43.22747867107391,1.0225374698638916,0.096240234375,0.01164921,0.26284778118133545,8724.040472412109,0.00025,240,-0.040142859588377176
139,381,-0.6992046,26,53248,6326.0703125,0.2,-43.252831768989566,1.0236645936965942,0.0859375,0.010263658,0.16814935207366943,14382.687377929688,0.00025,250,-0.03873119331692578
144,381,52.21402,27,55296,5030.87158203125,0.2,-43.269842171669005,1.0237349271774292,0.075341796875,0.0101929875,0.26955413818359375,12410.564007568359,0.00025,260,-0.03532227127652732
150,382,90.79162,28,57344,9114.5478515625,0.2,-43.28147130012512,1.0245248079299927,0.064306640625,0.009071464,0.23436659574508667,19083.824450683594,0.00025,270,-0.02884477660700213
155,382,325.00363,29,59392,9589.5771484375,0.2,-43.31027522087097,1.025507926940918,0.103662109375,0.011003852,0.19782984256744385,20300.60352783203,0.00025,280,-0.04032037736906204
160,382,92.56125,30,61440,10534.5380859375,0.2,-43.33921911716461,1.0267155170440674,0.071875,0.009871801,0.2719345688819885,20058.51578979492,0.00025,290,-0.03392442246549763
166,382,-285.33133,31,63488,4975.2861328125,0.2,-43.38409583568573,1.0283938646316528,0.103564453125,0.0139253605,0.2553098797798157,15912.81728515625,0.00025,300,-0.036646091774309754
