time/fps,time/total_timesteps,time/time_elapsed,time/iterations,train/reward,train/learning_rate,train/approx_kl,train/clip_fraction,train/std,train/value_loss,train/n_updates,train/clip_range,train/explained_variance,train/policy_gradient_loss,train/entropy_loss,train/loss
362,2048,5,1,14.999921,,,,,,,,,,,
374,4096,10,2,11.480301,0.00025,0.017098803,0.2017578125,1.001440167427063,879.644157409668,10,0.2,0.0020895004272460938,-0.057041743569425304,-42.591480827331544,489.637939453125
377,6144,16,3,-18.755116,0.00025,0.026413236,0.306396484375,1.004464030265808,317.56228456497195,20,0.2,0.013633489608764648,-0.06869610436842777,-42.6628975391388,130.0325469970703
381,8192,21,4,2.2247794,0.00025,0.017406553,0.181298828125,1.0053631067276,819.8068479537964,30,0.2,-0.021840691566467285,-0.051893450363422744,-42.71810870170593,291.3573303222656
384,10240,26,5,22.962233,0.00025,0.013979307,0.128564453125,1.0056653022766113,1874.8759742736815,40,0.2,0.014101088047027588,-0.046071124457375844,-42.73160398006439,779.9972534179688
386,12288,31,6,83.824554,0.00025,0.012351972,0.11181640625,1.0062745809555054,3280.3816146850586,50,0.2,0.0022220611572265625,-0.039596983703086154,-42.75032215118408,1591.1722412109375
386,14336,37,7,-6.9021244,0.00025,0.016842956,0.1982421875,1.0087591409683228,1413.2752185821532,60,0.2,-0.0009629726409912109,-0.05598538727936102,-42.79521923065185,626.0365600585938
387,16384,42,8,52.15299,0.00025,0.018099338,0.1861328125,1.0103892087936401,1444.5135677337646,70,0.2,0.030578255653381348,-0.053720257067470814,-42.85401785373688,538.609375
387,18432,47,9,30.520227,0.00025,0.012920393,0.11728515625,1.0112053155899048,1671.6173305511475,80,0.2,0.06743127107620239,-0.044754953336087054,-42.88903849124908,902.9830932617188
387,20480,52,10,88.3352,0.00025,0.012230016,0.11474609375,1.0116840600967407,2567.9413879394533,90,0.2,-0.027266860008239746,-0.04570059284160379,-42.91143581867218,1328.3369140625
387,22528,58,11,-35.56568,0.00025,0.008375743,0.059130859375,1.0130681991577148,4670.343241882324,100,0.2,0.06695091724395752,-0.031422891162219455,-42.935987091064455,3489.411376953125
388,24576,63,12,205.78787,0.00025,0.006236975,0.029150390625,1.0135178565979004,7668.310769653321,110,0.2,0.11034917831420898,-0.022261481491295854,-42.961385345458986,3102.618896484375
388,26624,68,13,21.310043,0.00025,0.014055971,0.1318359375,1.01566743850708,4252.643458557129,120,0.2,0.02576082944869995,-0.047775759355863555,-43.004092597961424,2293.378173828125
389,28672,73,14,50.9258,0.00025,0.013562252,0.133251953125,1.0172480344772339,3691.0945739746094,130,0.2,0.0712931752204895,-0.04672643663361668,-43.05622394084931,2025.4442138671875
389,30720,78,15,-10.733961,0.00025,0.012655068,0.103271484375,1.018457055091858,5738.932580566407,140,0.2,-0.06333267688751221,-0.03876555431488669,-43.09612727165222,1906.76123046875
386,32768,84,16,30.178852,0.00025,0.013447927,0.13359375,1.0186091661453247,7967.7171829223635,150,0.2,0.0280226469039917,-0.039581358677241954,-43.11476876735687,4023.0791015625
387,34816,89,17,-17.17274,0.00025,0.013269398,0.126416015625,1.018694519996643,10576.120559692383,160,0.2,0.067740797996521,-0.030616490272223018,-43.11989507675171,4517.216796875
387,36864,95,18,276.5575,0.00025,0.01752377,0.2005859375,1.0207034349441528,4572.213693237305,170,0.2,0.0871170163154602,-0.04443340100697242,-43.15164318084717,2006.6922607421875
387,38912,100,19,-179.19232,0.00025,0.0142975785,0.138916015625,1.023154854774475,4004.577017211914,180,0.2,-0.018326163291931152,-0.04696921702416148,-43.2180055141449,1623.017578125
388,40960,105,20,193.58353,0.00025,0.011359684,0.093310546875,1.0235073566436768,6910.862890625,190,0.2,0.09389078617095947,-0.04151728658762295,-43.25448086261749,3607.55126953125
388,43008,110,21,64.916275,0.00025,0.008960313,0.069873046875,1.0246531963348389,10324.200860595703,200,0.2,0.11141300201416016,-0.034644997571012935,-43.278582429885866,6336.724609375
388,45056,116,22,11.474584,0.00025,0.0063606743,0.030322265625,1.0249680280685425,14573.97984008789,210,0.2,0.15283328294754028,-0.02586907697550487,-43.30015246868133,8460.0205078125
388,47104,121,23,769.20197,0.00025,0.00748692,0.06611328125,1.0255177021026611,35532.50986328125,220,0.2,0.1405571699142456,-0.014799950463930145,-43.31246700286865,22100.96484375
388,49152,126,24,-285.68777,0.00025,0.0066385954,0.028955078125,1.0270334482192993,20829.808184814454,230,0.2,0.18890643119812012,-0.026079449732787908,-43.34224705696106,10076.9482421875
388,51200,131,25,114.624794,0.00025,0.009139001,0.068505859375,1.027963638305664,18540.34211425781,240,0.2,0.1748914122581482,-0.03026864454441238,-43.379638862609866,6650.75
389,53248,136,26,-8.155768,0.00025,0.008559644,0.066455078125,1.0280070304870605,26662.10150756836,250,0.2,0.13696366548538208,-0.02574362967425259,-43.39155883789063,13451.8427734375
388,55296,142,27,38.102955,0.00025,0.0069574304,0.03388671875,1.0286571979522705,31041.84132080078,260,0.2,0.19315695762634277,-0.0273149088898208,-43.40217726230621,13693.0615234375
