train/reward,time/total_timesteps,time/time_elapsed,time/iterations,time/fps,train/value_loss,train/n_updates,train/entropy_loss,train/std,train/clip_range,train/clip_fraction,train/policy_gradient_loss,train/explained_variance,train/learning_rate,train/loss,train/approx_kl
17.751524,2048,5,1,370,,,,,,,,,,,
6.3023953,4096,10,2,379,493.58819580078125,10,-42.594002795219424,1.0016833543777466,0.2,0.20439453125,-0.05670052443165332,0.006468653678894043,0.00025,240.2593231201172,0.018495651
-5.1276574,6144,16,3,383,377.89936265945437,20,-42.66264352798462,1.004132628440857,0.2,0.226513671875,-0.061478635581443085,-0.03337681293487549,0.00025,182.9429473876953,0.020313907
-22.34623,8192,21,4,384,417.85380840301514,30,-42.73034522533417,1.0059257745742798,0.2,0.246875,-0.06485308835399337,-0.007273435592651367,0.00025,159.18817138671875,0.022124998
-4.5158234,10240,26,5,385,1514.9914394378661,40,-42.77199118137359,1.0074936151504517,0.2,0.155859375,-0.047724051312252415,-0.0015007257461547852,0.00025,588.8206787109375,0.014476931
36.652054,12288,31,6,385,3694.1562660217287,50,-42.80025229454041,1.0081108808517456,0.2,0.053759765625,-0.03286810820864048,-0.008521676063537598,0.00025,1742.333984375,0.008624638
-42.44546,14336,37,7,386,1553.8087455749512,60,-42.84427816867829,1.0100818872451782,0.2,0.13779296875,-0.04767236152547412,0.0024962425231933594,0.00025,515.90673828125,0.0144592
-15.013,16384,42,8,386,3574.241145324707,70,-42.90261807441711,1.012146234512329,0.2,0.086962890625,-0.039188248902792114,0.016679108142852783,0.00025,1418.273681640625,0.010512287
-2.052999,18432,47,9,386,2402.5328033447267,80,-42.94467301368714,1.0131804943084717,0.2,0.12529296875,-0.04099391934869345,0.04373651742935181,0.00025,1404.8428955078125,0.01317403
-48.45414,20480,52,10,387,2524.9706169128417,90,-42.98442759513855,1.0145896673202515,0.2,0.081396484375,-0.03785108853771817,0.08237463235855103,0.00025,898.9863891601562,0.010495914
0.25020152,22528,58,11,387,4596.498066711426,100,-43.009657692909244,1.0151232481002808,0.2,0.05966796875,-0.026856162140029484,0.0906229019165039,0.00025,2031.3514404296875,0.008160496
2.9658613,24576,63,12,387,4936.283145141601,110,-43.02131445407868,1.0156561136245728,0.2,0.081689453125,-0.03276873539434746,0.08472669124603271,0.00025,1723.351318359375,0.010200267
-179.83803,26624,68,13,387,7290.063241577149,120,-43.0371906042099,1.0159951448440552,0.2,0.0271484375,-0.022923665570851882,0.1434166431427002,0.00025,3212.6689453125,0.0061463933
226.34608,28672,74,14,387,3741.3859725952148,130,-43.064802742004396,1.0175434350967407,0.2,0.09970703125,-0.03935040564101655,0.13719487190246582,0.00025,1591.591552734375,0.01131439
68.41853,30720,79,15,387,5203.361105346679,140,-43.09361312389374,1.0179051160812378,0.2,0.07919921875,-0.027608272530778778,0.1925012469291687,0.00025,2412.60986328125,0.009478252
49.22194,32768,85,16,384,5777.646597290039,150,-43.0992192029953,1.01805579662323,0.2,0.05810546875,-0.03263404690951575,0.22151881456375122,0.00025,2544.19384765625,0.008571556
-26.875174,34816,90,17,384,9263.487213134766,160,-43.10643737316131,1.0184203386306763,0.2,0.03359375,-0.022738923714496196,0.212202787399292,0.00025,6694.40869140625,0.0063271606
1.3112756,36864,95,18,385,6381.809484863281,170,-43.12475614547729,1.0192590951919556,0.2,0.065673828125,-0.029143020039191468,0.2869046926498413,0.00025,2721.1591796875,0.009229305
-89.42023,38912,100,19,385,6940.773297119141,180,-43.144758749008176,1.0197136402130127,0.2,0.08720703125,-0.03506332276010653,0.25886619091033936,0.00025,2912.545166015625,0.010530988
96.99964,40960,106,20,385,7903.316766357422,190,-43.171739268302915,1.0209928750991821,0.2,0.072412109375,-0.036338572192471476,0.21406495571136475,0.00025,3322.745361328125,0.009773992
42.21062,43008,111,21,385,11674.180850219727,200,-43.201197671890256,1.021750569343567,0.2,0.055078125,-0.030978873462299817,0.2139165997505188,0.00025,6152.7724609375,0.008536148
20.149868,45056,116,22,386,14171.080010986328,210,-43.22648332118988,1.022795557975769,0.2,0.07294921875,-0.026646320841973648,0.23707234859466553,0.00025,7795.23388671875,0.008595148
387.24655,47104,121,23,386,11654.11557006836,220,-43.25344274044037,1.0236872434616089,0.2,0.07265625,-0.02677013554930454,0.30626344680786133,0.00025,4397.001953125,0.009618926
137.81921,49152,127,24,386,10024.018118286132,230,-43.283595943450926,1.0248430967330933,0.2,0.052685546875,-0.030711846743361092,0.3479055166244507,0.00025,4471.37353515625,0.008350965
-115.31748,51200,132,25,386,7550.802084350586,240,-43.3008552312851,1.0249497890472412,0.2,0.096533203125,-0.04001544229395222,0.3305473327636719,0.00025,4340.11962890625,0.010935312
-10.998403,53248,137,26,386,6668.636389160156,250,-43.33169138431549,1.0269052982330322,0.2,0.11083984375,-0.04004381904087495,0.38278520107269287,0.00025,2543.00146484375,0.012432707
-26.690107,55296,142,27,386,7807.763592529297,260,-43.38404633998871,1.0283572673797607,0.2,0.106005859375,-0.043978288314247035,0.33263176679611206,0.00025,3286.72216796875,0.012176387
0.48156646,57344,148,28,387,11379.061026000976,270,-43.414671897888184,1.0291461944580078,0.2,0.100634765625,-0.03985824123956263,0.263266384601593,0.00025,3948.46142578125,0.011157073
-273.8296,59392,153,29,387,7713.993382263184,280,-43.44068489074707,1.0301775932312012,0.2,0.181982421875,-0.044342586127459074,0.3041207790374756,0.00025,4583.88916015625,0.016248373
220.69417,61440,158,30,387,15089.88701171875,290,-43.47972106933594,1.031781792640686,0.2,0.123583984375,-0.040230557386530565,0.2223685383796692,0.00025,8212.1298828125,0.013156987
103.80661,63488,163,31,387,5544.1961227417,300,-43.54044361114502,1.033825397491455,0.2,0.1943359375,-0.05406157254910795,0.2797231078147888,0.00025,2635.228759765625,0.017937075
64.70553,65536,169,32,387,12249.638806152343,310,-43.59222900867462,1.0354900360107422,0.2,0.16923828125,-0.053255635933601296,0.17372417449951172,0.00025,8063.46044921875,0.015006781
35.056675,67584,174,33,387,16289.186712646484,320,-43.623346495628354,1.0365233421325684,0.2,0.15830078125,-0.03213554818066768,0.2774328589439392,0.00025,8771.7587890625,0.0145883765
7.751594,69632,180,34,385,10110.199426269532,330,-43.66531331539154,1.0381468534469604,0.2,0.149072265625,-0.04023796111141564,0.36621594429016113,0.00025,5179.33154296875,0.0153233465
-189.80054,71680,185,35,386,11970.545999145508,340,-43.71483459472656,1.040556788444519,0.2,0.155078125,-0.04161373367824126,0.2958511710166931,0.00025,4768.47802734375,0.016032426
25.7443,73728,190,36,386,11417.533975219727,350,-43.77182948589325,1.0416405200958252,0.2,0.13056640625,-0.04497648424876388,0.3629160523414612,0.00025,8350.724609375,0.01332294
476.92914,75776,196,37,386,8555.588995361328,360,-43.81605880260467,1.043304681777954,0.2,0.178173828125,-0.051841660958598365,0.36152249574661255,0.00025,3671.564453125,0.01599674
-17.915604,77824,201,38,386,10977.157806396484,370,-43.861263918876645,1.0453201532363892,0.2,0.140966796875,-0.042465421740780586,0.3383026123046875,0.00025,3345.834228515625,0.015277783
