time/time_elapsed,train/explained_variance,train/std,time/iterations,time/total_timesteps,train/value_loss,time/fps,train/reward,train/learning_rate,train/entropy_loss,train/policy_loss,train/n_updates
1,0.03893929719924927,1.0037890672683716,100,500,6206.033203125,364,42.030655,0.0007,-42.677833557128906,1837.583984375,99
2,0.03765040636062622,1.0044337511062622,200,1000,24109.044921875,348,-6.5141892,0.0007,-42.696983337402344,4363.53125,199
4,0.00402909517288208,1.0038611888885498,300,1500,24796.28515625,348,-449.35565,0.0007,-42.67100524902344,1580.5950927734375,299
5,0.20598620176315308,1.0015214681625366,400,2000,15055.083984375,353,4.872531,0.0007,-42.60723876953125,3347.051513671875,399
7,-1.3122053146362305,0.9999686479568481,500,2500,482.8062438964844,356,-25.659746,0.0007,-42.55796432495117,809.5475463867188,499
8,0.30912089347839355,1.0002424716949463,600,3000,6932.90869140625,358,156.4777,0.0007,-42.56794738769531,1917.9462890625,599
9,0.23569446802139282,0.9991053342819214,700,3500,8525.4208984375,360,139.32574,0.0007,-42.529380798339844,673.3917846679688,699
11,0.3607189655303955,0.9970970153808594,800,4000,5109.0771484375,361,0.19388814,0.0007,-42.46673583984375,1301.135498046875,799
12,0.24573475122451782,0.9973442554473877,900,4500,7549.59375,362,35.811275,0.0007,-42.47137451171875,-267.62420654296875,899
13,-2.1888372898101807,0.996684730052948,1000,5000,143.4554443359375,362,-0.20315972,0.0007,-42.44844436645508,140.86138916015625,999
15,0.2832878828048706,0.9967596530914307,1100,5500,4411.11328125,363,-67.85842,0.0007,-42.44942855834961,47.688392639160156,1099
16,0.6568624079227448,0.9974099397659302,1200,6000,2241.231201171875,363,126.768776,0.0007,-42.466651916503906,1742.322998046875,1199
17,0.31917083263397217,0.9949027895927429,1300,6500,30197.869140625,364,202.05519,0.0007,-42.39918518066406,5345.27587890625,1299
19,0.0881538987159729,0.9923539757728577,1400,7000,23307.845703125,362,-319.47916,0.0007,-42.31544494628906,2796.751220703125,1399
20,-1.8683514595031738,0.9903362989425659,1500,7500,2726.26611328125,363,-40.55654,0.0007,-42.26017761230469,-1535.3790283203125,1499
22,0.4938306212425232,0.9901909232139587,1600,8000,3229.674072265625,363,169.60072,0.0007,-42.25892639160156,-1098.90869140625,1599
23,0.48758989572525024,0.988185703754425,1700,8500,3003.372802734375,363,-195.94012,0.0007,-42.20043182373047,1563.3726806640625,1699
24,-0.4009125232696533,0.9894706606864929,1800,9000,27561.322265625,364,-222.78459,0.0007,-42.22859191894531,5523.556640625,1799
