time/time_elapsed,train/explained_variance,train/std,time/iterations,time/total_timesteps,train/value_loss,time/fps,train/reward,train/learning_rate,train/entropy_loss,train/policy_loss,train/n_updates
26,-0.15694952011108398,0.9917690753936768,1900,9500,235011.28125,364,-494.87775,0.0007,-42.29925537109375,18791.384765625,1899
27,-1.0630104541778564,0.9929164052009583,2000,10000,3426.62548828125,364,-4.590579,0.0007,-42.33354949951172,2297.183837890625,1999
28,-0.6419254541397095,0.9933143854141235,2100,10500,5701.6103515625,364,-176.32835,0.0007,-42.34614562988281,739.5970458984375,2099
30,-0.0006576776504516602,0.9927927851676941,2200,11000,47342.90625,364,366.53937,0.0007,-42.32926940917969,-4896.109375,2199
31,-0.10503232479095459,0.9925013184547424,2300,11500,41432.01953125,365,-8.285484,0.0007,-42.31278991699219,-3808.457763671875,2299
32,-0.02906489372253418,0.9936563968658447,2400,12000,135443.875,365,793.7833,0.0007,-42.356224060058594,7754.8193359375,2399
34,0.409853458404541,0.9946185946464539,2500,12500,725.5842895507812,365,0.13817634,0.0007,-42.376808166503906,-118.34619140625,2499
35,-0.03382551670074463,0.9971259832382202,2600,13000,28063.859375,365,169.41957,0.0007,-42.45240783691406,-5739.3349609375,2599
37,0.014356493949890137,0.997390627861023,2700,13500,57584.5,364,-202.95224,0.0007,-42.46525955200195,8791.7646484375,2699
38,0.04426366090774536,0.9957430958747864,2800,14000,132349.1875,364,-134.17357,0.0007,-42.41486358642578,-11575.25,2799
39,-0.002160191535949707,0.9956260919570923,2900,14500,169488.84375,364,-999.7894,0.0007,-42.40813064575195,-94.1664047241211,2899
41,-0.2770756483078003,0.995414137840271,3000,15000,3417.111328125,364,97.51438,0.0007,-42.40018081665039,927.7478637695312,2999
42,-0.0009999275207519531,0.9970939755439758,3100,15500,17784.28515625,364,-166.89201,0.0007,-42.44414138793945,-2818.41259765625,3099
43,-0.025695443153381348,0.9959691762924194,3200,16000,209665.859375,365,-532.04486,0.0007,-42.41371154785156,19666.431640625,3199
45,0.08467882871627808,0.9966949820518494,3300,16500,249880.28125,365,316.38297,0.0007,-42.43351364135742,16442.16796875,3299
46,0.05398470163345337,0.9941404461860657,3400,17000,947994.1875,365,1750.7296,0.0007,-42.3584098815918,-28438.125,3399
47,0.1560204029083252,0.9971398115158081,3500,17500,4280.9111328125,365,35.9612,0.0007,-42.44383239746094,1237.022705078125,3499
49,0.22034597396850586,0.9952756762504578,3600,18000,14791.525390625,365,425.34476,0.0007,-42.38990020751953,298.77197265625,3599
50,0.13781839609146118,0.9942684769630432,3700,18500,185223.0625,365,1.538832,0.0007,-42.36116027832031,-13681.1064453125,3699
51,-0.06740415096282959,0.9942701458930969,3800,19000,18361.201171875,365,680.24945,0.0007,-42.36175537109375,-3661.39208984375,3799
53,-0.02508378028869629,0.9938251376152039,3900,19500,612467.3125,365,-11.05887,0.0007,-42.34589385986328,32370.744140625,3899
54,0.10967493057250977,0.9933158159255981,4000,20000,2554.43310546875,365,30.05642,0.0007,-42.325462341308594,-289.4756164550781,3999
56,0.22868770360946655,0.9949185848236084,4100,20500,4967.8544921875,365,-225.55362,0.0007,-42.37763595581055,-2719.693359375,4099
57,0.27978116273880005,0.9935581088066101,4200,21000,23809.998046875,365,75.98062,0.0007,-42.33433532714844,-3612.608642578125,4199
58,0.24998527765274048,0.9938957691192627,4300,21500,125401.9609375,365,-0.32476917,0.0007,-42.347938537597656,13532.984375,4299
60,0.17735320329666138,0.99334716796875,4400,22000,299982.6875,364,-56.92225,0.0007,-42.32524108886719,-17564.875,4399
61,0.2577793002128601,0.9970174431800842,4500,22500,2486.70068359375,364,-0.020759964,0.0007,-42.42778015136719,1857.3646240234375,4499
63,0.6216571927070618,0.998329758644104,4600,23000,6727.09130859375,365,-17.700813,0.0007,-42.47885513305664,-2995.534423828125,4599
64,-0.30190563201904297,0.9999208450317383,4700,23500,37149.27734375,365,-290.74707,0.0007,-42.51355743408203,-525.0432739257812,4699
65,0.42924392223358154,1.0019673109054565,4800,24000,31497.5625,365,349.07745,0.0007,-42.58755111694336,-5890.4462890625,4799
67,0.048984646797180176,1.0019675493240356,4900,24500,104722.734375,365,-529.3803,0.0007,-42.5775032043457,-4801.365234375,4899
68,0.8360373377799988,1.0009514093399048,5000,25000,5302.8720703125,365,3.8030653,0.0007,-42.54646301269531,-2982.328369140625,4999
69,0.7157280743122101,1.0003985166549683,5100,25500,6606.70556640625,365,60.121826,0.0007,-42.529022216796875,-2805.63671875,5099
71,0.3106200695037842,1.0010308027267456,5200,26000,31942.390625,365,408.34854,0.0007,-42.55335998535156,4220.07421875,5199
72,0.43708229064941406,1.000981092453003,5300,26500,78558.171875,365,94.69228,0.0007,-42.540592193603516,-8734.720703125,5299
73,0.003123641014099121,1.0020668506622314,5400,27000,298260.21875,365,-729.1547,0.0007,-42.57736587524414,-19284.99609375,5399
75,-0.11597669124603271,1.0022656917572021,5500,27500,4099.58935546875,365,-248.85654,0.0007,-42.58063507080078,-2009.1259765625,5499
76,0.36679786443710327,1.001793622970581,5600,28000,5254.05224609375,365,-184.43097,0.0007,-42.55979537963867,-901.8196411132812,5599
77,0.7401897311210632,1.002103328704834,5700,28500,3789.460205078125,365,-469.72015,0.0007,-42.57550048828125,-551.5271606445312,5699
79,0.36250627040863037,1.0012248754501343,5800,29000,24201.703125,365,-479.0881,0.0007,-42.54788589477539,733.296875,5799
80,0.2725960612297058,1.003976583480835,5900,29500,218796.09375,365,832.4037,0.0007,-42.63132858276367,15067.2783203125,5899
82,0.931045189499855,1.0051186084747314,6000,30000,272.2794494628906,365,0.9269625,0.0007,-42.66014099121094,-369.4373474121094,5999
83,-1.2409181594848633,1.0042328834533691,6100,30500,3766.75390625,365,249.81796,0.0007,-42.63780212402344,1927.7015380859375,6099
84,0.5128527879714966,1.0007551908493042,6200,31000,74823.609375,365,-32.383533,0.0007,-42.537208557128906,-10597.3046875,6199
86,0.3217012882232666,1.0015678405761719,6300,31500,305773.53125,365,-83.486115,0.0007,-42.560333251953125,20495.17578125,6299
87,0.06800788640975952,1.0023531913757324,6400,32000,567346.4375,365,-2.1426408,0.0007,-42.582088470458984,22231.576171875,6399
88,0.4855175018310547,1.001916527748108,6500,32500,3194.3056640625,365,70.31846,0.0007,-42.56835174560547,770.0328369140625,6499
90,0.7112382054328918,1.003097653388977,6600,33000,3965.395263671875,365,-0.36445045,0.0007,-42.61113739013672,-855.9426879882812,6599
91,0.5491374433040619,1.002859354019165,6700,33500,18823.95703125,365,-126.28451,0.0007,-42.59454345703125,1925.100341796875,6699
93,0.24554097652435303,1.000564455986023,6800,34000,173384.46875,365,-634.2472,0.0007,-42.53168869018555,-12368.7685546875,6799
94,0.25809258222579956,1.0024573802947998,6900,34500,206726.140625,365,233.28873,0.0007,-42.585357666015625,-7511.1494140625,6899
95,0.6577882468700409,1.000364065170288,7000,35000,4784.8798828125,365,57.708866,0.0007,-42.52178955078125,-1513.0760498046875,6999
97,0.7484275102615356,1.00309419631958,7100,35500,8119.4609375,365,-387.96548,0.0007,-42.603431701660156,-2221.37646484375,7099
98,0.2883002758026123,1.0018627643585205,7200,36000,174010.59375,365,-21.151115,0.0007,-42.56107711791992,-12389.1357421875,7199
99,0.27529895305633545,1.0035754442214966,7300,36500,82749.421875,365,2.3057091,0.0007,-42.61030578613281,-6547.07958984375,7299
101,0.2584729790687561,1.0033948421478271,7400,37000,367230.375,365,1108.5048,0.0007,-42.61506652832031,16610.21484375,7399
102,-1.6554615497589111,1.0035924911499023,7500,37500,12864.4970703125,365,-60.764317,0.0007,-42.61560821533203,3565.66748046875,7499
103,0.8418599516153336,1.0027120113372803,7600,38000,21574.08984375,365,180.93842,0.0007,-42.58966064453125,6083.6298828125,7599
105,0.5964303016662598,1.0022008419036865,7700,38500,65447.5,365,-165.71758,0.0007,-42.57146453857422,-9283.9306640625,7699
106,0.7044881284236908,1.0029202699661255,7800,39000,13270.802734375,365,56.64674,0.0007,-42.601078033447266,1813.3714599609375,7799
108,0.30905771255493164,1.002454161643982,7900,39500,229980.59375,365,-156.95,0.0007,-42.58374786376953,-14620.5341796875,7899
109,0.009375810623168945,1.001615285873413,8000,40000,4622.2841796875,365,-65.01834,0.0007,-42.553558349609375,374.0710144042969,7999
110,0.7565276324748993,1.0009238719940186,8100,40500,12766.650390625,365,258.48596,0.0007,-42.53898620605469,2115.068359375,8099
112,0.2872196435928345,0.9991159439086914,8200,41000,104740.203125,365,161.42249,0.0007,-42.48025131225586,8751.9541015625,8199
113,0.19399338960647583,0.99887615442276,8300,41500,207397.71875,365,-464.45233,0.0007,-42.46908950805664,14547.353515625,8299
114,0.16470378637313843,0.9995163083076477,8400,42000,227250.671875,365,-250.50351,0.0007,-42.487892150878906,18932.134765625,8399
116,0.9174580276012421,1.0010236501693726,8500,42500,8862.0947265625,365,42.328888,0.0007,-42.528282165527344,-3633.645263671875,8499
117,0.7979117631912231,0.9987289309501648,8600,43000,14646.349609375,365,24.148273,0.0007,-42.47517013549805,-4425.2900390625,8599
119,0.6872422993183136,0.9988927245140076,8700,43500,54634.19921875,365,285.78635,0.0007,-42.466556549072266,10025.3642578125,8699
120,0.5509765446186066,0.9996286034584045,8800,44000,74453.390625,365,-45.789684,0.0007,-42.50897216796875,6258.95703125,8799
121,0.35632240772247314,1.0006464719772339,8900,44500,130189.8515625,364,-642.15765,0.0007,-42.528465270996094,12960.78125,8899
123,-0.615321159362793,0.9996531009674072,9000,45000,22958.1640625,364,-212.62146,0.0007,-42.49268341064453,-3790.484375,8999
124,0.5190714001655579,0.998570442199707,9100,45500,19992.287109375,364,-11.188166,0.0007,-42.462318420410156,-4204.81689453125,9099
126,0.6655478775501251,0.9993416666984558,9200,46000,13018.623046875,364,-457.59503,0.0007,-42.479984283447266,837.5640869140625,9199
127,0.2965453267097473,1.0000784397125244,9300,46500,50007.8984375,364,-22.0954,0.0007,-42.50318908691406,-1677.658447265625,9299
128,0.4336739778518677,1.0022892951965332,9400,47000,120473.9765625,364,-1.1828166,0.0007,-42.56976318359375,-9968.5126953125,9399
130,0.994616377633065,1.003416657447815,9500,47500,119.06050109863281,364,0.74449736,0.0007,-42.605865478515625,-275.79132080078125,9499
131,0.5349677205085754,1.0018113851547241,9600,48000,14894.587890625,364,364.5928,0.0007,-42.564674377441406,-354.1229248046875,9599
132,0.5599183440208435,1.00282883644104,9700,48500,149929.515625,364,469.3131,0.0007,-42.58595275878906,-12570.9443359375,9699
134,0.3469421863555908,1.0023784637451172,9800,49000,925238.125,364,193.68906,0.0007,-42.579315185546875,33980.93359375,9799
135,0.30245500802993774,1.0039072036743164,9900,49500,511924.0625,364,-1783.9993,0.0007,-42.612709045410156,-18717.501953125,9899
137,0.5664072632789612,1.004665493965149,10000,50000,20892.80078125,364,-280.96198,0.0007,-42.63646697998047,4694.10693359375,9999
