train/explained_variance,train/reward,train/policy_loss,train/value_loss,train/n_updates,train/entropy_loss,train/std,time/iterations,time/fps,train/learning_rate,time/total_timesteps,time/time_elapsed
-0.05089879035949707,42.879013,1201.648681640625,1228.3414306640625,99,-42.7536735534668,1.0063990354537964,100,362,0.0007,500,1
0.010958850383758545,14.189923,658.2581787109375,2191.48779296875,199,-42.66743469238281,1.0032902956008911,200,344,0.0007,1000,2
0.002235591411590576,-298.7425,-4980.8359375,45405.5703125,299,-42.64214324951172,1.0026010274887085,300,345,0.0007,1500,4
0.052166104316711426,0.24735342,10149.3515625,115879.328125,399,-42.6450309753418,1.002872347831726,400,350,0.0007,2000,5
-0.08564436435699463,44.808094,1375.989013671875,1096.7479248046875,499,-42.67340087890625,1.0041886568069458,500,353,0.0007,2500,7
0.078513503074646,2.18575,3076.8759765625,8691.5810546875,599,-42.68165969848633,1.004345178604126,600,355,0.0007,3000,8
0.16555172204971313,118.43688,12418.474609375,87543.3046875,699,-42.68015670776367,1.0043970346450806,700,357,0.0007,3500,9
0.0903354287147522,2.5504239,-5884.1435546875,72411.90625,799,-42.72861862182617,1.0062131881713867,800,358,0.0007,4000,11
0.08895313739776611,266.83694,-8999.29296875,84210.03125,899,-42.73575973510742,1.0063155889511108,900,359,0.0007,4500,12
0.6038618683815002,-0.29134908,80.13838195800781,79.50654602050781,999,-42.73160171508789,1.0062321424484253,1000,360,0.0007,5000,13
0.3890730142593384,99.57858,1375.4908447265625,5975.77490234375,1099,-42.762847900390625,1.0071616172790527,1100,361,0.0007,5500,15
0.33130353689193726,-203.86884,6834.42822265625,42392.51953125,1199,-42.767234802246094,1.0073835849761963,1200,361,0.0007,6000,16
0.2665257453918457,192.37627,3753.42822265625,44701.64453125,1299,-42.685359954833984,1.004705786705017,1300,362,0.0007,6500,17
0.2797622084617615,567.46405,-7113.5009765625,78003.2421875,1399,-42.71595001220703,1.005755066871643,1400,360,0.0007,7000,19
0.22101205587387085,68.33701,-85.89555358886719,702.0650634765625,1499,-42.683509826660156,1.0049176216125488,1500,361,0.0007,7500,20
0.426877498626709,-110.55558,1541.3704833984375,14595.140625,1599,-42.701622009277344,1.0052649974822998,1600,361,0.0007,8000,22
0.40467220544815063,13.984759,-805.2234497070312,10464.2138671875,1699,-42.6931037902832,1.0050904750823975,1700,362,0.0007,8500,23
0.3543276786804199,428.35455,-6365.9892578125,49028.84765625,1799,-42.643226623535156,1.003387212753296,1800,362,0.0007,9000,24
0.4050074815750122,-232.22176,-428.7704162597656,18887.416015625,1899,-42.58619689941406,1.0014560222625732,1900,362,0.0007,9500,26
0.10427463054656982,-48.19685,1756.396240234375,2995.825439453125,1999,-42.62244415283203,1.0028278827667236,2000,362,0.0007,10000,27
0.6777327060699463,-3.2973163,1079.3338623046875,3328.664794921875,2099,-42.640865325927734,1.0034174919128418,2100,363,0.0007,10500,28
0.309306800365448,87.362434,4787.0751953125,12160.2587890625,2199,-42.687110900878906,1.00520658493042,2200,363,0.0007,11000,30
-0.05943167209625244,-271.21457,-7202.5576171875,36252.61328125,2299,-42.659332275390625,1.0042551755905151,2300,363,0.0007,11500,31
0.5292859673500061,-48.900524,-1976.928466796875,11271.646484375,2399,-42.68632125854492,1.0050641298294067,2400,364,0.0007,12000,32
-0.07767271995544434,-14.557634,-1222.314208984375,1552.762939453125,2499,-42.63719940185547,1.0034152269363403,2500,364,0.0007,12500,34
-0.9391170740127563,203.67648,-5169.9736328125,24702.640625,2599,-42.629886627197266,1.0034329891204834,2600,364,0.0007,13000,35
-0.4651191234588623,-46.84719,5701.7724609375,34657.9765625,2699,-42.671504974365234,1.0044821500778198,2700,363,0.0007,13500,37
-0.01668870449066162,108.70243,-4933.06884765625,28949.23046875,2799,-42.62187194824219,1.002963662147522,2800,363,0.0007,14000,38
-0.09554004669189453,-184.74551,14456.6533203125,158596.96875,2899,-42.58747863769531,1.0019491910934448,2900,364,0.0007,14500,39
-0.36913013458251953,-2.694246,-198.05233764648438,271.5294189453125,2999,-42.65227508544922,1.0038599967956543,3000,364,0.0007,15000,41
-0.02709650993347168,-106.47176,-1951.749267578125,4806.4033203125,3099,-42.696590423583984,1.0055170059204102,3100,364,0.0007,15500,42
-0.34248948097229004,53.561047,4520.5859375,22456.822265625,3199,-42.70313262939453,1.005822777748108,3200,364,0.0007,16000,43
0.008817791938781738,139.354,-4146.6181640625,13737.978515625,3299,-42.7349853515625,1.0070112943649292,3300,364,0.0007,16500,45
-0.008070230484008789,20.033829,-10592.9736328125,86242.9296875,3399,-42.740135192871094,1.0070774555206299,3400,364,0.0007,17000,46
0.060869693756103516,6.3562512,137.6652374267578,964.5452880859375,3499,-42.798377990722656,1.0092295408248901,3500,364,0.0007,17500,47
0.06733769178390503,-63.722538,8142.8193359375,48441.4140625,3599,-42.813716888427734,1.00973641872406,3600,364,0.0007,18000,49
0.2931118607521057,-0.07596364,5327.63232421875,24414.412109375,3699,-42.87213134765625,1.011853575706482,3700,365,0.0007,18500,50
0.10264211893081665,-292.88257,11866.9765625,90286.1640625,3799,-42.86680603027344,1.0116249322891235,3800,365,0.0007,19000,52
0.49051153659820557,-282.22726,-1427.919189453125,12601.2734375,3899,-42.90043640136719,1.0124953985214233,3900,365,0.0007,19500,53
0.40559691190719604,-85.21673,-835.84228515625,949.6986083984375,3999,-42.85602569580078,1.011176347732544,4000,365,0.0007,20000,54
0.3213801980018616,212.1639,2718.19873046875,6558.58056640625,4099,-42.92002487182617,1.0133564472198486,4100,365,0.0007,20500,56
0.5896376073360443,38.249306,3109.541015625,8297.380859375,4199,-42.88074493408203,1.0122029781341553,4200,365,0.0007,21000,57
0.4572075605392456,-0.70058227,300.7667541503906,7298.38134765625,4299,-42.82862854003906,1.01042640209198,4300,365,0.0007,21500,58
0.8137944340705872,-5.079126,393.2119140625,1561.564697265625,4399,-42.821983337402344,1.0104209184646606,4400,364,0.0007,22000,60
0.007481694221496582,-0.37535802,-224.61141967773438,1088.2591552734375,4499,-42.83390426635742,1.0107473134994507,4500,364,0.0007,22500,61
0.7179395258426666,0.5752681,705.303955078125,987.2679443359375,4599,-42.84281921386719,1.0108091831207275,4600,364,0.0007,23000,63
0.4452075958251953,-44.35092,427.8235778808594,1755.7864990234375,4699,-42.81563186645508,1.0098408460617065,4700,364,0.0007,23500,64
0.1715480089187622,185.01698,-1050.8966064453125,5142.4296875,4799,-42.82503890991211,1.010486364364624,4800,364,0.0007,24000,65
-0.17407500743865967,-154.32405,-7016.015625,41236.8828125,4899,-42.85527038574219,1.0114690065383911,4900,365,0.0007,24500,67
0.1967238187789917,46.577225,1603.0562744140625,1941.198486328125,4999,-42.77421569824219,1.0085101127624512,5000,365,0.0007,25000,68
0.5394488573074341,117.50667,1993.118408203125,5461.92626953125,5099,-42.83403396606445,1.0105561017990112,5100,365,0.0007,25500,69
0.40143316984176636,-218.91869,1059.354736328125,7791.2451171875,5199,-42.83443832397461,1.0105317831039429,5200,365,0.0007,26000,71
0.6645343899726868,0.023918066,-706.1336669921875,3371.14013671875,5299,-42.82632827758789,1.0105303525924683,5300,365,0.0007,26500,72
0.7216149866580963,-125.95236,2567.91650390625,5823.1220703125,5399,-42.79954528808594,1.0097874402999878,5400,365,0.0007,27000,73
0.8703841865062714,52.9641,-78.93022155761719,216.415771484375,5499,-42.82112503051758,1.0103706121444702,5500,365,0.0007,27500,75
0.6958030164241791,-74.09878,-94.37873077392578,786.0220947265625,5599,-42.832237243652344,1.0108875036239624,5600,365,0.0007,28000,76
