time/fps,train/learning_rate,train/explained_variance,time/time_elapsed,train/std,train/reward,train/value_loss,train/entropy_loss,train/policy_loss,time/total_timesteps,train/n_updates,time/iterations
357,0.0007,0.08592671155929565,1,1.001545786857605,-160.60155,2193.860107421875,-42.616737365722656,-928.2550048828125,500,99,100
340,0.0007,0.0279465913772583,2,1.0021473169326782,-18.475931,30990.4375,-42.62953186035156,-5111.28466796875,1000,199,200
341,0.0007,0.04012107849121094,4,1.0008612871170044,487.7943,24279.95703125,-42.58856964111328,1333.3994140625,1500,299,300
347,0.0007,0.08491235971450806,5,1.0018330812454224,-1.3596948,202586.71875,-42.610313415527344,-12414.3115234375,2000,399,400
350,0.0007,-27.70100212097168,7,1.00020170211792,-22.259857,288.6919860839844,-42.5660400390625,-532.056396484375,2500,499,500
353,0.0007,0.7799736708402634,8,1.0010334253311157,41.722095,239.81497192382812,-42.59765625,-378.98236083984375,3000,599,600
355,0.0007,0.48470771312713623,9,1.0005505084991455,60.637836,7389.62646484375,-42.579193115234375,3413.82763671875,3500,699,700
356,0.0007,-0.13402152061462402,11,1.000245213508606,0.6447506,6923.79443359375,-42.56161880493164,2647.158203125,4000,799,800
357,0.0007,-0.3346291780471802,12,0.9992751479148865,-83.28167,7240.02880859375,-42.54098129272461,-2528.294189453125,4500,899,900
358,0.0007,-2.1312174797058105,13,0.9988157749176025,-0.15291113,633.7459716796875,-42.52750778198242,819.3839111328125,5000,999,1000
359,0.0007,-0.1363612413406372,15,0.9984368085861206,-73.97357,6089.2373046875,-42.50733184814453,-1426.413330078125,5500,1099,1100
359,0.0007,-0.18889546394348145,16,0.9990414381027222,170.6022,18309.66796875,-42.535648345947266,4035.61962890625,6000,1199,1200
360,0.0007,-0.04193985462188721,18,1.0002657175064087,267.92056,65378.91796875,-42.56325912475586,8084.56884765625,6500,1299,1300
359,0.0007,0.11614704132080078,19,1.0002291202545166,-345.11444,23773.375,-42.570472717285156,1528.8046875,7000,1399,1400
360,0.0007,0.2625254988670349,20,0.9988285899162292,-49.07902,2324.335205078125,-42.52104949951172,-1438.820068359375,7500,1499,1500
360,0.0007,0.14021706581115723,22,1.000634789466858,21.989853,2055.158447265625,-42.56783676147461,1559.067626953125,8000,1599,1600
361,0.0007,0.19853448867797852,23,0.9996307492256165,17.48049,2877.048828125,-42.5508918762207,-83.78572082519531,8500,1699,1700
361,0.0007,0.18379265069961548,24,1.0023829936981201,78.06869,2980.55712890625,-42.62683868408203,-961.7868041992188,9000,1799,1800
361,0.0007,0.12353134155273438,26,1.00100839138031,160.12477,61780.39453125,-42.58733367919922,-9243.267578125,9500,1899,1900
362,0.0007,0.1509542465209961,27,1.0018534660339355,17.094482,4037.09423828125,-42.61199951171875,-2270.69580078125,10000,1999,2000
362,0.0007,-0.23971199989318848,28,1.0009262561798096,-1.9328902,3773.893798828125,-42.583892822265625,976.2222900390625,10500,2099,2100
362,0.0007,-0.11081123352050781,30,0.9994210600852966,-232.73329,92809.515625,-42.54826354980469,11265.9521484375,11000,2199,2200
362,0.0007,0.08788025379180908,31,0.9992051720619202,-0.94311804,34721.3046875,-42.53135681152344,-2493.83935546875,11500,2299,2300
362,0.0007,0.047233760356903076,33,1.0018253326416016,77.91394,292979.03125,-42.60907745361328,-17994.6171875,12000,2399,2400
363,0.0007,-1.870345115661621,34,1.0028996467590332,11.254443,1198.63427734375,-42.643943786621094,1169.3282470703125,12500,2499,2500
363,0.0007,0.09661531448364258,35,1.0005929470062256,-115.13997,95084.90625,-42.574119567871094,12100.892578125,13000,2599,2600
362,0.0007,0.06984865665435791,37,1.002575397491455,400.80203,38465.0703125,-42.637733459472656,-2571.891357421875,13500,2699,2700
362,0.0007,0.09521728754043579,38,1.0037931203842163,-42.68062,37124.0234375,-42.67461013793945,1525.605712890625,14000,2799,2800
362,0.0007,0.10378682613372803,39,1.004993200302124,266.25235,178821.265625,-42.70357131958008,-11842.1533203125,14500,2899,2900
362,0.0007,0.02894127368927002,41,1.0047065019607544,-35.38229,1042.396728515625,-42.69320297241211,747.7189331054688,15000,2999,3000
362,0.0007,0.214524507522583,42,1.006454348564148,99.96445,8695.193359375,-42.739986419677734,-241.8134765625,15500,3099,3100
363,0.0007,0.11032962799072266,44,1.006170630455017,151.7945,22123.19921875,-42.73428726196289,-4425.2822265625,16000,3199,3200
363,0.0007,0.3645702600479126,45,1.0051753520965576,263.32425,45944.8203125,-42.70334243774414,-7266.078125,16500,3299,3300
363,0.0007,0.4625207781791687,46,1.0035337209701538,-111.200645,4770.05126953125,-42.653564453125,-65.81402587890625,17000,3399,3400
363,0.0007,0.05881643295288086,48,1.0056313276290894,57.710724,2709.604248046875,-42.72517776489258,-1606.919677734375,17500,3499,3500
363,0.0007,0.06252896785736084,49,1.0050837993621826,-119.8609,64860.80078125,-42.70703125,10188.880859375,18000,3599,3600
363,0.0007,0.27685022354125977,50,1.0061546564102173,-18.991814,27765.17578125,-42.740943908691406,-1846.8441162109375,18500,3699,3700
363,0.0007,0.10996872186660767,52,1.0081455707550049,-78.85334,103501.390625,-42.79718780517578,-11497.0947265625,19000,3799,3800
363,0.0007,0.1712794303894043,53,1.0085288286209106,-15.813087,108869.4140625,-42.799102783203125,-1948.1044921875,19500,3899,3900
363,0.0007,0.7333296835422516,54,1.008828043937683,-9.629656,972.2359619140625,-42.80898666381836,1044.8917236328125,20000,3999,4000
364,0.0007,0.7413201630115509,56,1.0088181495666504,98.696075,31426.83984375,-42.80968475341797,7515.81005859375,20500,4099,4100
364,0.0007,0.35103482007980347,57,1.0078275203704834,-329.23096,19732.0546875,-42.78028106689453,1141.719482421875,21000,4199,4200
364,0.0007,0.5436598658561707,59,1.0091643333435059,-0.46273106,28725.412109375,-42.818382263183594,-5742.36328125,21500,4299,4300
363,0.0007,0.5578078031539917,60,1.0104669332504272,452.95465,17208.048828125,-42.8591194152832,4069.46630859375,22000,4399,4400
363,0.0007,-2.227303981781006,61,1.0114809274673462,0.1809658,4104.05029296875,-42.87920379638672,-722.9583129882812,22500,4499,4500
363,0.0007,0.16453802585601807,63,1.0130881071090698,-0.10069134,16081.921875,-42.92616653442383,-476.9476013183594,23000,4599,4600
363,0.0007,0.30864763259887695,64,1.013319730758667,126.01858,39943.328125,-42.942115783691406,-1789.658447265625,23500,4699,4700
363,0.0007,0.5199505984783173,65,1.0131595134735107,-224.65636,36810.1171875,-42.93854904174805,-7139.7900390625,24000,4799,4800
363,0.0007,0.19122833013534546,67,1.0137685537338257,882.6886,428310.1875,-42.950218200683594,24879.3125,24500,4899,4900
364,0.0007,-4.375914096832275,68,1.0128860473632812,59.391026,1779.138671875,-42.92776107788086,1124.9676513671875,25000,4999,5000
364,0.0007,0.4838402271270752,69,1.014390230178833,-290.8255,7897.30078125,-42.968624114990234,-758.76904296875,25500,5099,5100
364,0.0007,0.6774279773235321,71,1.0132715702056885,-153.78471,11816.8046875,-42.93272399902344,-3393.296142578125,26000,5199,5200
364,0.0007,0.4671763777732849,72,1.014262080192566,-56.306194,16197.6279296875,-42.96533203125,4803.18603515625,26500,5299,5300
364,0.0007,-0.3947044610977173,73,1.015321969985962,11.060281,22639.38671875,-42.99347686767578,1141.77978515625,27000,5399,5400
365,0.0007,-12.234066009521484,75,1.018022894859314,-133.92719,11753.73046875,-43.07400131225586,3539.71533203125,27500,5499,5500
365,0.0007,0.2895565629005432,76,1.0176455974578857,-63.247723,8485.439453125,-43.06623458862305,-1637.3802490234375,28000,5599,5600
365,0.0007,0.5068973004817963,78,1.0174498558044434,-74.44883,34645.12890625,-43.05636978149414,7842.73828125,28500,5699,5700
365,0.0007,0.11478084325790405,79,1.0160869359970093,-88.639984,56536.98828125,-43.02164840698242,7784.98583984375,29000,5799,5800
365,0.0007,0.41797733306884766,80,1.0138624906539917,-15.121502,94385.5234375,-42.94622802734375,-6480.6142578125,29500,5899,5900
365,0.0007,0.2231522798538208,82,1.011983036994934,1.1100801,2366.890625,-42.89636993408203,-948.6292724609375,30000,5999,6000
365,0.0007,0.7210645377635956,83,1.0118831396102905,63.8532,3048.576416015625,-42.89113998413086,-696.0139770507812,30500,6099,6100
366,0.0007,-1.0388684272766113,84,1.0120277404785156,-109.38855,4191.04248046875,-42.89966583251953,1357.2103271484375,31000,6199,6200
366,0.0007,0.07367217540740967,86,1.0097075700759888,46.549374,14045.78125,-42.82585525512695,-1651.692138671875,31500,6299,6300
365,0.0007,-0.7652682065963745,87,1.0093616247177124,-3.4921691,23052.94140625,-42.80945587158203,-4120.8447265625,32000,6399,6400
