time/fps,train/learning_rate,train/explained_variance,time/time_elapsed,train/std,train/reward,train/value_loss,train/entropy_loss,train/policy_loss,time/total_timesteps,train/n_updates,time/iterations
365,0.0007,0.7920269221067429,88,1.009658932685852,81.46389,1097.795166015625,-42.826576232910156,1144.3857421875,32500,6499,6500
365,0.0007,0.17164528369903564,90,1.008600115776062,-0.22851606,1053.1739501953125,-42.80026626586914,79.58732604980469,33000,6599,6600
365,0.0007,0.9807078335434198,91,1.0056992769241333,36.95028,641.992431640625,-42.709320068359375,-1017.814453125,33500,6699,6700
365,0.0007,0.6306937038898468,92,1.0067977905273438,-80.06983,10066.3701171875,-42.73529815673828,-835.41162109375,34000,6799,6800
365,0.0007,0.3179337978363037,94,1.0089555978775024,306.3052,39534.2421875,-42.80215835571289,7949.5009765625,34500,6899,6900
365,0.0007,-0.3104875087738037,95,1.008927583694458,-87.600845,1309.0101318359375,-42.79795837402344,1057.3565673828125,35000,6999,7000
366,0.0007,0.2649739980697632,96,1.010152816772461,-22.789545,2000.1240234375,-42.83605194091797,-441.185546875,35500,7099,7100
366,0.0007,-1.529477834701538,98,1.0074368715286255,212.90884,2359.965087890625,-42.75180435180664,1744.317138671875,36000,7199,7200
366,0.0007,0.5657214224338531,99,1.0085498094558716,2.5701017,23269.30078125,-42.78265380859375,-5053.90478515625,36500,7299,7300
366,0.0007,-0.4224051237106323,101,1.007328987121582,304.40097,24360.96484375,-42.75069046020508,5066.53173828125,37000,7399,7400
366,0.0007,-1.6340014934539795,102,1.0071173906326294,14.937534,7969.84765625,-42.738182067871094,3217.518798828125,37500,7499,7500
366,0.0007,0.0010297298431396484,103,1.0081721544265747,52.000965,4572.6943359375,-42.77091598510742,2495.37158203125,38000,7599,7600
366,0.0007,0.9019681885838509,105,1.0074868202209473,-107.807556,437.0849609375,-42.74776077270508,612.6795043945312,38500,7699,7700
366,0.0007,-0.1319267749786377,106,1.0059797763824463,41.12751,30826.134765625,-42.71076202392578,6892.09619140625,39000,7799,7800
366,0.0007,0.3929287791252136,107,1.0063647031784058,-428.11826,594.8443603515625,-42.71646499633789,604.6312255859375,39500,7899,7900
366,0.0007,-11.195093154907227,109,1.0052086114883423,-18.821613,12683.951171875,-42.68720245361328,-4483.8759765625,40000,7999,8000
366,0.0007,-0.007889270782470703,110,1.0034255981445312,-83.322655,642.9957885742188,-42.640594482421875,-926.6857299804688,40500,8099,8100
366,0.0007,-0.03766989707946777,111,1.0020451545715332,84.12023,336.21429443359375,-42.5997314453125,-453.6488342285156,41000,8199,8200
366,0.0007,0.9216770306229591,113,1.0034726858139038,-76.85423,1615.285400390625,-42.62989807128906,1564.5775146484375,41500,8299,8300
366,0.0007,0.6928893625736237,114,1.003365159034729,150.9263,9811.578125,-42.6211051940918,-2455.160888671875,42000,8399,8400
366,0.0007,0.7426364719867706,115,1.0040417909622192,31.328474,2676.737548828125,-42.64809036254883,-2346.64111328125,42500,8499,8500
366,0.0007,0.13509219884872437,117,1.002721905708313,37.85865,464.12554931640625,-42.610374450683594,-584.7471313476562,43000,8599,8600
366,0.0007,0.39886629581451416,118,1.0029698610305786,-126.930435,655.65771484375,-42.617279052734375,-433.54083251953125,43500,8699,8700
367,0.0007,-63.69789123535156,119,1.0007134675979614,-0.4446234,2078.77734375,-42.55091094970703,1731.135986328125,44000,8799,8800
366,0.0007,0.49449944496154785,121,1.0002191066741943,-92.70552,10642.775390625,-42.53634262084961,1465.572509765625,44500,8899,8900
366,0.0007,0.4286191463470459,122,1.002195119857788,-20.134333,1635.932373046875,-42.59115219116211,-1204.353271484375,45000,8999,9000
366,0.0007,-35.448368072509766,124,1.0017536878585815,-90.55382,262.0863037109375,-42.57415008544922,-58.23400115966797,45500,9099,9100
366,0.0007,0.9618765190243721,125,1.0007487535476685,33.09882,5814.08447265625,-42.54914855957031,-3240.93505859375,46000,9199,9200
366,0.0007,0.7082050144672394,126,1.0003184080123901,1.3091003,6728.1376953125,-42.534454345703125,2320.48974609375,46500,9299,9300
366,0.0007,0.35871052742004395,128,1.0038225650787354,-4.0661855,130173.671875,-42.63982391357422,-11860.1435546875,47000,9399,9400
366,0.0007,-1.7418241500854492,129,1.0029652118682861,0.41528794,831.6400146484375,-42.61625289916992,-822.8175048828125,47500,9499,9500
366,0.0007,0.7067297399044037,130,1.003667950630188,31.794775,1088.2193603515625,-42.630409240722656,-861.4426879882812,48000,9599,9600
366,0.0007,-0.39378881454467773,132,1.0051101446151733,-217.37445,15577.4716796875,-42.67030715942383,-5096.1923828125,48500,9699,9700
366,0.0007,0.5933277308940887,133,1.0048365592956543,235.94456,6839.17822265625,-42.66618347167969,-630.7135009765625,49000,9799,9800
366,0.0007,0.3593336343765259,134,1.0056403875350952,52.918175,21294.34765625,-42.68878173828125,-3453.133544921875,49500,9899,9900
366,0.0007,0.7417515218257904,136,1.0066406726837158,91.02783,470.12335205078125,-42.72334671020508,-579.8034057617188,50000,9999,10000
