time/total_timesteps,time/time_elapsed,time/iterations,train/n_updates,train/value_loss,train/explained_variance,time/fps,train/std,train/reward,train/entropy_loss,train/learning_rate,train/policy_loss
500,1,100,99,157.5590057373047,0.10431504249572754,342,0.9932594299316406,104.33103,-42.3647575378418,0.0007,-112.8082504272461
1000,3,200,199,7027.3115234375,0.008663713932037354,326,0.9932571053504944,-16.565966,-42.364501953125,0.0007,1450.850830078125
1500,4,300,299,21533.9921875,0.018883466720581055,327,0.9944511651992798,7.3019743,-42.397247314453125,0.0007,-3536.526611328125
2000,6,400,399,42519.203125,0.0004826784133911133,331,0.9931227564811707,-3.882033,-42.34866714477539,0.0007,6596.82275390625
2500,7,500,499,37.46684265136719,-0.3738600015640259,333,0.9918232560157776,-9.83539,-42.313026428222656,0.0007,95.02825927734375
3000,8,600,599,5203.48828125,0.11431092023849487,335,0.992729902267456,-100.48333,-42.34419250488281,0.0007,1861.3843994140625
3500,10,700,699,21165.994140625,0.08083605766296387,338,0.9932767748832703,19.47118,-42.36337661743164,0.0007,5092.04052734375
4000,11,800,799,37818.12890625,0.027935504913330078,339,0.994231641292572,2.1580622,-42.38648986816406,0.0007,-7687.16552734375
4500,13,900,899,44400.33203125,-0.03834998607635498,341,0.9938444495201111,196.69685,-42.37858200073242,0.0007,-9180.275390625
5000,14,1000,999,606.7750244140625,-0.04259133338928223,342,0.9940655827522278,-0.21703313,-42.38706970214844,0.0007,129.68734741210938
5500,16,1100,1099,4230.47412109375,-0.08141803741455078,343,0.9946528077125549,219.52759,-42.39499282836914,0.0007,-2448.380126953125
6000,17,1200,1199,3542.509765625,0.288593590259552,341,0.9948331117630005,-27.33204,-42.399864196777344,0.0007,1507.9188232421875
6500,18,1300,1299,4067.51416015625,0.01790064573287964,342,0.9943850040435791,-0.009140157,-42.384159088134766,0.0007,1847.247314453125
7000,20,1400,1399,14014.482421875,0.18217074871063232,342,0.9943451285362244,181.7224,-42.383487701416016,0.0007,-2245.392333984375
7500,22,1500,1499,901.4705200195312,-0.8566590547561646,339,0.9955678582191467,18.432096,-42.417545318603516,0.0007,-811.8984985351562
8000,23,1600,1599,3529.53125,0.01421654224395752,340,0.994912326335907,-21.618998,-42.40012741088867,0.0007,1463.950927734375
8500,24,1700,1699,6747.4296875,0.3675485849380493,341,0.9957059025764465,102.10582,-42.42442321777344,0.0007,-2883.01171875
9000,26,1800,1799,6195.50390625,0.21678811311721802,342,0.9962016940116882,110.18691,-42.442508697509766,0.0007,811.2449951171875
