time/total_timesteps,time/time_elapsed,time/iterations,train/n_updates,train/value_loss,train/explained_variance,time/fps,train/std,train/reward,train/entropy_loss,train/learning_rate,train/policy_loss
9500,27,1900,1899,1624.0472412109375,-0.8011826276779175,343,0.9950717091560364,-34.588436,-42.40835189819336,0.0007,1493.440673828125
10000,29,2000,1999,962.4384765625,-0.3905717134475708,344,0.9967884421348572,-18.496828,-42.464962005615234,0.0007,337.9043884277344
10500,30,2100,2099,1889.345703125,0.30247992277145386,345,0.9974430203437805,10.922274,-42.48122787475586,0.0007,817.5447998046875
11000,31,2200,2199,10232.220703125,0.12422013282775879,344,0.9988265633583069,353.6838,-42.512672424316406,0.0007,497.96270751953125
11500,33,2300,2299,4531.3994140625,0.3575522303581238,345,1.0016998052597046,37.97307,-42.60113525390625,0.0007,-1162.833740234375
12000,34,2400,2399,1103.796875,-0.5492918491363525,346,1.001251220703125,14.261264,-42.58843994140625,0.0007,-1205.7467041015625
12500,36,2500,2499,910.0709838867188,-2.5127882957458496,346,1.0008116960525513,3.3455677,-42.57990646362305,0.0007,-745.3748779296875
13000,37,2600,2599,1375.843017578125,-3.805415630340576,347,1.000443935394287,-47.270718,-42.56797790527344,0.0007,-727.494384765625
13500,38,2700,2699,1759.879150390625,0.3735314607620239,347,1.004219651222229,-1.70824,-42.67731857299805,0.0007,891.2625122070312
14000,40,2800,2799,6529.765625,0.12820249795913696,348,1.0032556056976318,-7.527231,-42.64111328125,0.0007,-2083.57177734375
14500,41,2900,2899,12762.150390625,0.08705329895019531,348,1.0007565021514893,10.688142,-42.566383361816406,0.0007,-1432.0941162109375
15000,42,3000,2999,508.5997619628906,-1.8180887699127197,349,1.0024508237838745,-15.623524,-42.62224578857422,0.0007,-568.5048217773438
15500,44,3100,3099,2350.11474609375,-0.14999985694885254,349,1.0038484334945679,142.06848,-42.66655731201172,0.0007,-902.59716796875
16000,45,3200,3199,2915.138916015625,0.6968362629413605,350,1.0027430057525635,32.675156,-42.62818145751953,0.0007,2278.45556640625
16500,47,3300,3299,20999.76171875,0.13199526071548462,350,1.0026195049285889,0.4164362,-42.62422561645508,0.0007,-4475.38818359375
17000,48,3400,3399,7118.06640625,0.42665308713912964,350,1.0041695833206177,-40.966908,-42.666160583496094,0.0007,-3084.37353515625
17500,49,3500,3499,702.1023559570312,0.5864234566688538,351,1.0047470331192017,-35.031662,-42.68437957763672,0.0007,852.0386962890625
18000,51,3600,3599,870.8114013671875,0.632566511631012,350,1.0071226358413696,-89.060974,-42.74986267089844,0.0007,938.4073486328125
18500,52,3700,3699,2552.9306640625,0.6277302205562592,350,1.00921630859375,4.218401,-42.822879791259766,0.0007,-1717.782470703125
19000,54,3800,3799,13382.953125,0.754036009311676,351,1.0097482204437256,74.36436,-42.83665466308594,0.0007,4702.1845703125
19500,55,3900,3899,7540.0869140625,0.4624633193016052,351,1.0101439952850342,0.32419574,-42.84792709350586,0.0007,-1403.90869140625
20000,56,4000,3999,793.8206787109375,0.1405090093612671,351,1.007606863975525,-59.983696,-42.76849365234375,0.0007,-671.911865234375
20500,58,4100,4099,1699.9677734375,-0.3635298013687134,351,1.0084338188171387,71.61517,-42.78864669799805,0.0007,1505.1278076171875
21000,59,4200,4199,4480.9814453125,0.20900940895080566,352,1.0097508430480957,-48.04423,-42.823211669921875,0.0007,971.28564453125
21500,61,4300,4299,3385.270263671875,0.46950066089630127,352,1.0084649324417114,0.3869363,-42.79290771484375,0.0007,417.4981384277344
22000,62,4400,4399,347.0372009277344,0.7318375110626221,352,1.0094610452651978,217.68819,-42.833160400390625,0.0007,-459.7210998535156
22500,63,4500,4499,339.72576904296875,0.4645882248878479,352,1.0086054801940918,0.023517445,-42.807098388671875,0.0007,55.46965408325195
23000,65,4600,4599,6637.3701171875,-0.027210712432861328,353,1.0084468126296997,10.247752,-42.79201126098633,0.0007,-1826.5267333984375
23500,66,4700,4699,4138.51025390625,0.37403279542922974,353,1.0101834535598755,-88.98078,-42.83951187133789,0.0007,2321.83740234375
24000,67,4800,4799,186.0133056640625,0.8820853009819984,353,1.0103669166564941,45.751457,-42.847389221191406,0.0007,491.7445373535156
24500,69,4900,4899,24054.14453125,-0.10345339775085449,353,1.01292884349823,-189.06906,-42.92163848876953,0.0007,-5161.33056640625
25000,70,5000,4999,1392.037841796875,0.16834789514541626,353,1.0127556324005127,-21.879236,-42.91130828857422,0.0007,-1291.73046875
25500,72,5100,5099,6105.52099609375,0.2909852862358093,353,1.011344075202942,34.327892,-42.875301361083984,0.0007,-2454.348876953125
26000,73,5200,5199,9290.06640625,0.3099471926689148,354,1.0128960609436035,93.531425,-42.925559997558594,0.0007,3234.95654296875
26500,74,5300,5299,1006.7189331054688,0.6612156927585602,353,1.0129672288894653,35.50805,-42.912864685058594,0.0007,-834.5009765625
27000,76,5400,5399,6909.42822265625,0.032598257064819336,353,1.0134692192077637,-153.6227,-42.931434631347656,0.0007,-1101.7034912109375
27500,77,5500,5499,837.4991455078125,0.1268526315689087,353,1.0149736404418945,40.33081,-42.97161865234375,0.0007,756.3292236328125
28000,79,5600,5599,2274.448974609375,0.3711286783218384,353,1.0160090923309326,23.086485,-43.00627136230469,0.0007,-946.3599853515625
28500,80,5700,5699,3254.27587890625,0.5619038343429565,354,1.015626072883606,-59.48792,-42.991249084472656,0.0007,-2501.31884765625
29000,81,5800,5799,56944.70703125,0.3993905782699585,354,1.0164599418640137,31.224257,-43.013797760009766,0.0007,9449.166015625
29500,83,5900,5899,11468.0966796875,0.09523588418960571,354,1.0177369117736816,132.49187,-43.04712677001953,0.0007,3267.808837890625
30000,84,6000,5999,5030.3095703125,-0.03874552249908447,354,1.0163341760635376,2.1808581,-43.00094985961914,0.0007,2716.09033203125
30500,86,6100,6099,1553.0849609375,0.7406665086746216,354,1.0154101848602295,27.28733,-42.96620559692383,0.0007,-1129.002197265625
31000,87,6200,6199,3907.947998046875,0.4925277829170227,354,1.014424204826355,-181.93945,-42.95153045654297,0.0007,1375.485595703125
31500,88,6300,6299,6913.96337890625,0.609387069940567,354,1.016182541847229,18.904995,-42.99510955810547,0.0007,-2714.68505859375
32000,90,6400,6399,21211.771484375,0.19176912307739258,354,1.0169228315353394,0.16052909,-43.01668167114258,0.0007,-5252.669921875
32500,91,6500,6499,3697.95751953125,-0.5052683353424072,355,1.0179243087768555,-51.56752,-43.050331115722656,0.0007,1803.455322265625
33000,92,6600,6599,16018.4013671875,0.8003421574831009,355,1.0185219049453735,-1.6610945,-43.060489654541016,0.0007,5481.0693359375
33500,94,6700,6699,14825.7841796875,0.4072430729866028,355,1.0202394723892212,296.65628,-43.114601135253906,0.0007,-2150.663818359375
34000,95,6800,6799,659.6837158203125,0.5350922644138336,355,1.0215177536010742,-163.60718,-43.15055465698242,0.0007,-117.663330078125
34500,97,6900,6899,5386.4482421875,0.47215354442596436,355,1.0238691568374634,-8.439642,-43.21464538574219,0.0007,191.9428253173828
35000,98,7000,6999,1939.482177734375,0.4904942512512207,355,1.0245517492294312,-50.511684,-43.24137496948242,0.0007,-1283.683349609375
35500,99,7100,7099,692.2523193359375,-0.9179539680480957,355,1.0239038467407227,65.74947,-43.228328704833984,0.0007,-92.45039367675781
36000,101,7200,7199,225.7772216796875,0.8540665358304977,355,1.024336576461792,347.63953,-43.223731994628906,0.0007,-428.1570739746094
36500,102,7300,7299,3146.91015625,0.5531862676143646,355,1.0250334739685059,2.4217396,-43.25419998168945,0.0007,-1929.7386474609375
37000,104,7400,7399,7816.078125,0.6359736621379852,355,1.0250579118728638,238.6969,-43.25661087036133,0.0007,2834.990966796875
37500,105,7500,7499,4726.85888671875,0.6055833995342255,355,1.0251315832138062,-18.597738,-43.261539459228516,0.0007,-2100.694580078125
38000,106,7600,7599,8252.0966796875,0.38627922534942627,355,1.0271445512771606,-4.2951517,-43.313621520996094,0.0007,-1957.228759765625
38500,108,7700,7699,3692.024658203125,0.6346611082553864,355,1.0274527072906494,-126.004425,-43.32658386230469,0.0007,1444.4805908203125
39000,109,7800,7799,37236.1875,-0.4468703269958496,355,1.0269993543624878,98.196915,-43.3127326965332,0.0007,8174.47509765625
39500,111,7900,7899,16096.1376953125,0.6569645702838898,355,1.0287989377975464,-318.62393,-43.367984771728516,0.0007,4905.0751953125
40000,112,8000,7999,1871.558349609375,0.36521363258361816,355,1.0318503379821777,-69.23177,-43.44921875,0.0007,-657.628662109375
40500,113,8100,8099,4284.9931640625,0.4050159454345703,355,1.034342885017395,-221.05063,-43.5255126953125,0.0007,576.4794921875
41000,115,8200,8199,10062.0185546875,0.3593592643737793,355,1.0355737209320068,101.80354,-43.5597038269043,0.0007,-3247.32177734375
41500,116,8300,8299,1701.040771484375,0.162400484085083,356,1.036743402481079,41.73403,-43.590999603271484,0.0007,1081.280029296875
42000,117,8400,8399,2090.64208984375,0.8829802721738815,356,1.0364673137664795,-68.312126,-43.58544158935547,0.0007,1416.8712158203125
42500,119,8500,8499,647.1124267578125,0.04855024814605713,356,1.0350171327590942,-6.677405,-43.54379653930664,0.0007,-72.11897277832031
43000,120,8600,8599,1438.4783935546875,-0.19925785064697266,356,1.0351241827011108,55.077114,-43.54486083984375,0.0007,1267.1689453125
43500,122,8700,8699,736.0433349609375,0.8684493005275726,356,1.0366930961608887,-102.653114,-43.5894660949707,0.0007,-1024.188232421875
44000,123,8800,8799,1314.8155517578125,-0.42470645904541016,356,1.036393404006958,-1.0020401,-43.5765495300293,0.0007,1279.276611328125
44500,124,8900,8899,1423.8101806640625,0.6710394322872162,356,1.0353797674179077,15.774078,-43.54548263549805,0.0007,-954.8439331054688
45000,126,9000,8999,1869.2242431640625,0.4205145835876465,356,1.0381234884262085,76.25003,-43.62662124633789,0.0007,-717.0003051757812
45500,127,9100,9099,716.711669921875,0.16187041997909546,356,1.035749912261963,-35.18196,-43.560848236083984,0.0007,726.294189453125
46000,128,9200,9199,226.70938110351562,0.3551318645477295,356,1.0364922285079956,65.52687,-43.577972412109375,0.0007,-153.61749267578125
46500,130,9300,9299,1402.823974609375,0.7404996752738953,356,1.0376980304718018,18.748417,-43.603660583496094,0.0007,-1218.6806640625
47000,131,9400,9399,19200.31640625,0.9021826684474945,356,1.0351766347885132,-1.8140686,-43.54681396484375,0.0007,-6663.3623046875
47500,133,9500,9499,951.3895263671875,-1.533597707748413,356,1.0353469848632812,0.7585213,-43.544822692871094,0.0007,-966.0960693359375
48000,134,9600,9599,91.22697448730469,0.9500811956822872,356,1.03388512134552,26.022242,-43.503387451171875,0.0007,-332.84246826171875
48500,135,9700,9699,336.48162841796875,0.8674027025699615,357,1.034961462020874,-48.717705,-43.5333251953125,0.0007,721.68603515625
49000,137,9800,9799,544.000244140625,0.6832692325115204,357,1.0339100360870361,-0.0844476,-43.49538803100586,0.0007,801.5499877929688
49500,138,9900,9899,845.8541259765625,-0.9412386417388916,357,1.035544753074646,34.569332,-43.54524230957031,0.0007,-781.1163940429688
50000,140,10000,9999,95.65113830566406,0.8369920402765274,356,1.0345088243484497,30.878202,-43.511695861816406,0.0007,-176.620849609375
