time/iterations,time/total_timesteps,train/explained_variance,train/learning_rate,time/time_elapsed,train/n_updates,train/policy_loss,train/reward,train/entropy_loss,train/value_loss,train/std,time/fps
100,500,0.08004140853881836,0.0007,1,99,-2061.73828125,-116.60522,-42.732486724853516,4586.70361328125,1.005642294883728,325
200,1000,0.01738506555557251,0.0007,3,199,-6602.0478515625,-152.1579,-42.746063232421875,50319.41015625,1.0062617063522339,311
300,1500,0.1264810562133789,0.0007,4,299,19287.681640625,184.0115,-42.725223541259766,177764.3125,1.0056427717208862,308
400,2000,0.10205274820327759,0.0007,6,399,322.6997985839844,99.084465,-42.7292594909668,20829.01953125,1.0053646564483643,310
500,2500,-0.6994646787643433,0.0007,7,499,-982.4808349609375,-14.627771,-42.698341369628906,763.5894775390625,1.0045504570007324,314
600,3000,0.45249855518341064,0.0007,9,599,-441.1144104003906,-73.79036,-42.66939163208008,1834.2763671875,1.003600001335144,316
700,3500,0.046339213848114014,0.0007,10,699,2883.05029296875,112.15603,-42.703392028808594,16622.595703125,1.004623293876648,319
800,4000,0.2903406023979187,0.0007,12,799,264.9004821777344,2.7078788,-42.669586181640625,3423.64892578125,1.0036671161651611,320
900,4500,-0.059688568115234375,0.0007,13,899,-4297.35791015625,57.40276,-42.699462890625,38418.7734375,1.0046135187149048,323
1000,5000,-1.7596726417541504,0.0007,15,999,260.9588928222656,0.07520339,-42.71654510498047,1511.909423828125,1.0053974390029907,325
1100,5500,-0.09020054340362549,0.0007,16,1099,296.05810546875,-140.4024,-42.74681854248047,7911.609375,1.0065003633499146,327
1200,6000,0.07388943433761597,0.0007,18,1199,1146.3568115234375,-260.71414,-42.77219772338867,3396.7421875,1.007151484489441,327
1300,6500,-0.035764217376708984,0.0007,19,1299,-1487.912353515625,-120.73557,-42.777103424072266,20471.80078125,1.0074517726898193,329
1400,7000,-0.0021109580993652344,0.0007,21,1399,5941.51513671875,38.005318,-42.78691864013672,61395.41796875,1.0075727701187134,331
1500,7500,0.03686380386352539,0.0007,22,1499,-975.5714111328125,-84.46941,-42.801361083984375,766.253173828125,1.0078812837600708,332
1600,8000,0.08685845136642456,0.0007,24,1599,-6116.37060546875,35.60877,-42.82872009277344,28567.740234375,1.0093404054641724,332
1700,8500,0.2402859330177307,0.0007,25,1699,2342.52392578125,-255.25893,-42.855003356933594,6777.6826171875,1.0100990533828735,333
1800,9000,0.13377171754837036,0.0007,27,1799,2556.995361328125,-372.51648,-42.85531234741211,20341.8046875,1.0100853443145752,331
1900,9500,0.17000389099121094,0.0007,28,1899,13871.1904296875,-429.63193,-42.88343048095703,109724.1484375,1.0110119581222534,331
2000,10000,-3.128653049468994,0.0007,30,1999,1178.5592041015625,84.009186,-42.919219970703125,2132.6953125,1.0121926069259644,330
2100,10500,0.19308829307556152,0.0007,31,2099,4793.42431640625,-41.859386,-42.97753143310547,20101.455078125,1.0141640901565552,330
2200,11000,0.25763869285583496,0.0007,33,2199,-3158.52978515625,81.1647,-42.97550582885742,17559.53515625,1.0142914056777954,330
2300,11500,0.047054290771484375,0.0007,34,2299,-533.4213256835938,-20.021345,-43.015960693359375,11097.3525390625,1.0156471729278564,331
2400,12000,0.09802591800689697,0.0007,36,2399,1422.692626953125,568.7478,-43.02541732788086,50416.15625,1.0159507989883423,330
2500,12500,0.8559866100549698,0.0007,37,2499,204.25747680664062,-1.0732316,-43.03487777709961,141.693115234375,1.0163565874099731,330
2600,13000,0.14457780122756958,0.0007,39,2599,-9189.716796875,319.54974,-43.065338134765625,47726.7890625,1.0172635316848755,330
2700,13500,0.19017797708511353,0.0007,40,2699,5196.22900390625,-13.876966,-43.07633972167969,42404.9296875,1.0178639888763428,331
2800,14000,0.2897300124168396,0.0007,42,2799,-5385.1982421875,2.0328598,-43.15291976928711,41030.73828125,1.0204132795333862,332
2900,14500,0.2598423957824707,0.0007,43,2899,5162.7861328125,-614.4115,-43.213470458984375,30447.630859375,1.0225883722305298,333
3000,15000,-0.44190943241119385,0.0007,44,2999,892.2615356445312,15.646425,-43.192291259765625,1282.3587646484375,1.0218110084533691,334
3100,15500,0.6449435651302338,0.0007,46,3099,467.58233642578125,-36.04853,-43.251075744628906,253.4871826171875,1.023870825767517,334
3200,16000,0.29416316747665405,0.0007,47,3199,681.4675903320312,-48.480206,-43.2933464050293,781.6265258789062,1.025339961051941,335
3300,16500,0.49889248609542847,0.0007,49,3299,-82.11723327636719,-9.314944,-43.336238861083984,1783.803466796875,1.0267971754074097,336
3400,17000,0.21065258979797363,0.0007,50,3399,-5855.4248046875,159.86415,-43.29670715332031,53254.59375,1.0253554582595825,336
3500,17500,0.33708107471466064,0.0007,51,3499,1172.572021484375,65.83705,-43.331275939941406,988.7127685546875,1.0263569355010986,337
3600,18000,0.5816843509674072,0.0007,53,3599,-3575.103515625,-6.5025206,-43.35778045654297,10178.251953125,1.0274240970611572,336
3700,18500,0.40580523014068604,0.0007,55,3699,-2661.49658203125,-22.589924,-43.43462371826172,14646.3330078125,1.030394434928894,336
3800,19000,0.02259242534637451,0.0007,56,3799,-1603.971923828125,370.4905,-43.45795822143555,17751.552734375,1.0309877395629883,335
3900,19500,0.842278391122818,0.0007,58,3899,13739.966796875,-25.30758,-43.48699951171875,104065.296875,1.0319656133651733,335
4000,20000,-13.359750747680664,0.0007,59,3999,2099.284912109375,-8.394975,-43.491390228271484,3545.66015625,1.0320725440979004,336
4100,20500,-0.11054849624633789,0.0007,60,4099,-2004.6400146484375,-96.1714,-43.483280181884766,6466.69677734375,1.0316587686538696,336
4200,21000,-2.0206570625305176,0.0007,62,4199,1558.2041015625,-3.5169845,-43.42292785644531,2049.42138671875,1.0298670530319214,337
4300,21500,0.21683967113494873,0.0007,63,4299,-4385.740234375,0.0148063805,-43.43313217163086,41142.98828125,1.0303587913513184,337
4400,22000,0.5570124983787537,0.0007,65,4399,-1350.813232421875,21.215899,-43.39349365234375,2760.10302734375,1.0291721820831299,337
4500,22500,0.6212599575519562,0.0007,66,4499,-1532.662109375,0.21101384,-43.318267822265625,2307.86962890625,1.0269578695297241,338
4600,23000,0.2349691390991211,0.0007,67,4599,-619.2031860351562,-8.779056,-43.34469223022461,1074.3646240234375,1.027538776397705,338
4700,23500,0.3525962233543396,0.0007,69,4699,-2740.992431640625,-84.401405,-43.365623474121094,6237.51611328125,1.0282231569290161,339
4800,24000,0.28595829010009766,0.0007,70,4799,14122.337890625,38.119602,-43.34722137451172,118548.421875,1.027762770652771,339
4900,24500,0.13417935371398926,0.0007,72,4899,-19.337207794189453,108.95002,-43.43000793457031,60486.36328125,1.0302804708480835,339
5000,25000,0.1707899570465088,0.0007,73,4999,-1818.076416015625,-2.2451785,-43.48130798339844,2786.58056640625,1.0322186946868896,340
5100,25500,0.594124436378479,0.0007,74,5099,-87.47254180908203,-51.707233,-43.49974060058594,2445.848388671875,1.0327540636062622,340
5200,26000,0.6559037864208221,0.0007,76,5199,1594.212158203125,137.55902,-43.44438934326172,4720.55615234375,1.0309555530548096,340
5300,26500,0.839016318321228,0.0007,78,5299,2170.02685546875,218.62291,-43.53478240966797,3559.516357421875,1.034223198890686,339
5400,27000,0.3624558448791504,0.0007,79,5399,-7796.10302734375,-50.02986,-43.52941131591797,41084.0078125,1.0339784622192383,339
