time/iterations,time/total_timesteps,train/explained_variance,train/learning_rate,time/time_elapsed,train/n_updates,train/policy_loss,train/reward,train/entropy_loss,train/value_loss,train/std,time/fps
5500,27500,0.8131487518548965,0.0007,80,5499,1037.5379638671875,51.57375,-43.572021484375,1510.1507568359375,1.0352565050125122,340
5600,28000,0.2289791703224182,0.0007,82,5599,1865.747802734375,-1.1137463,-43.544952392578125,4797.3603515625,1.0346885919570923,340
5700,28500,-0.5867565870285034,0.0007,83,5699,-119.05232238769531,26.036728,-43.543312072753906,816.2161865234375,1.0346475839614868,340
5800,29000,0.47849512100219727,0.0007,85,5799,-804.6351928710938,63.4492,-43.652008056640625,3012.826171875,1.038649082183838,340
5900,29500,0.01647496223449707,0.0007,86,5899,-1818.2457275390625,159.05525,-43.65465545654297,23723.021484375,1.0386766195297241,340
6000,30000,-0.023586750030517578,0.0007,87,5999,1798.7623291015625,0.3799597,-43.67272186279297,2345.6630859375,1.0391396284103394,341
6100,30500,0.3481428027153015,0.0007,89,6099,8080.9619140625,51.46828,-43.74779510498047,46275.37109375,1.0417510271072388,341
6200,31000,0.4552869200706482,0.0007,90,6199,4531.68017578125,141.39061,-43.822147369384766,17930.408203125,1.0442588329315186,341
6300,31500,0.05808758735656738,0.0007,92,6299,-3371.298095703125,-593.2732,-43.848960876464844,99713.96875,1.045546054840088,341
6400,32000,0.6722192764282227,0.0007,93,6399,2407.707763671875,-0.2679959,-43.90080261230469,6209.2724609375,1.046970009803772,341
6500,32500,0.7065055072307587,0.0007,95,6499,652.5758666992188,-93.16546,-43.86717987060547,1283.649169921875,1.0460323095321655,342
6600,33000,0.6795727610588074,0.0007,96,6599,-80.5049819946289,-0.54523647,-43.891300201416016,583.75634765625,1.0470913648605347,342
6700,33500,0.5276554226875305,0.0007,97,6699,981.0421752929688,-82.181946,-43.87478256225586,1734.5775146484375,1.046222448348999,342
6800,34000,0.4637261629104614,0.0007,99,6799,-3445.84619140625,-31.127136,-43.8651008605957,14687.392578125,1.046156883239746,342
6900,34500,0.7000950872898102,0.0007,100,6899,-2608.312255859375,-44.280403,-43.92082214355469,6709.63134765625,1.0481168031692505,343
7000,35000,0.4150972366333008,0.0007,101,6999,1726.7750244140625,-3.8350694,-43.97335433959961,2765.439453125,1.0499969720840454,343
7100,35500,-1.8703951835632324,0.0007,103,7099,1341.9156494140625,-21.611847,-43.94248580932617,2155.75439453125,1.0490741729736328,343
7200,36000,-6.314816951751709,0.0007,104,7199,1930.990234375,-17.019915,-43.921180725097656,3348.448486328125,1.0483593940734863,343
7300,36500,0.010352849960327148,0.0007,106,7299,-1274.704833984375,4.7257147,-43.93482208251953,3761.733642578125,1.048753261566162,344
7400,37000,0.38061225414276123,0.0007,107,7399,3280.762939453125,146.08783,-44.03032302856445,7746.58056640625,1.0521687269210815,343
7500,37500,-1.8583312034606934,0.0007,109,7499,188.17861938476562,-13.103175,-43.99536895751953,3362.36572265625,1.0506110191345215,343
7600,38000,0.1635572910308838,0.0007,110,7599,-3643.385986328125,-52.312138,-43.96532440185547,7767.3193359375,1.0497920513153076,344
7700,38500,-0.08763456344604492,0.0007,111,7699,2283.38623046875,3.653354,-43.92578887939453,3774.7890625,1.048401951789856,344
7800,39000,-0.016330242156982422,0.0007,113,7799,4080.32666015625,68.1578,-43.942325592041016,9957.8623046875,1.0491822957992554,344
7900,39500,-0.07390105724334717,0.0007,114,7899,490.5296936035156,-113.5232,-43.924591064453125,227.44143676757812,1.048187255859375,344
8000,40000,0.2154250144958496,0.0007,115,7999,-667.8348388671875,42.534874,-43.958831787109375,795.1128540039062,1.0492873191833496,345
8100,40500,0.324529230594635,0.0007,117,8099,206.71267700195312,-121.96148,-43.87199020385742,29.058765411376953,1.0465127229690552,345
8200,41000,0.06135743856430054,0.0007,118,8199,-937.7478637695312,-173.8013,-43.90995788574219,937.1195068359375,1.0479081869125366,345
8300,41500,-0.06244349479675293,0.0007,120,8299,-2265.86669921875,385.1517,-43.94575500488281,15565.537109375,1.0493628978729248,345
8400,42000,0.37012648582458496,0.0007,121,8399,-12792.2734375,48.190464,-43.85679626464844,98001.421875,1.0463201999664307,345
8500,42500,0.16724371910095215,0.0007,122,8499,1298.4766845703125,-5.1083183,-43.80724334716797,2442.5859375,1.0442813634872437,345
8600,43000,0.254452645778656,0.0007,124,8599,1534.456298828125,-39.16646,-43.77941131591797,2978.820556640625,1.043189287185669,346
8700,43500,0.23283857107162476,0.0007,125,8699,-4069.918701171875,-41.624485,-43.78151321411133,10142.787109375,1.043512225151062,346
8800,44000,0.28367382287979126,0.0007,126,8799,-3221.223388671875,-54.2963,-43.795528411865234,5953.75341796875,1.0441888570785522,346
8900,44500,0.3820653557777405,0.0007,128,8899,635.4097900390625,-6.712996,-43.793704986572266,1701.3226318359375,1.0438607931137085,346
9000,45000,0.5526362955570221,0.0007,129,8999,338.092529296875,31.231945,-43.802513122558594,90.29718017578125,1.0443034172058105,346
9100,45500,-0.5945882797241211,0.0007,131,9099,-407.9271240234375,55.719597,-43.85865020751953,225.6124725341797,1.046329140663147,347
9200,46000,0.136002779006958,0.0007,132,9199,740.2939453125,23.426674,-43.83388137817383,1848.0142822265625,1.045481562614441,347
9300,46500,0.11006557941436768,0.0007,133,9299,3826.1328125,0.0048689484,-43.866233825683594,9244.1708984375,1.0462368726730347,347
9400,47000,0.29794472455978394,0.0007,135,9399,81.3705062866211,-0.9737316,-43.879722595214844,7208.96875,1.0468555688858032,347
9500,47500,0.60943403840065,0.0007,136,9499,230.7914276123047,0.89035535,-43.80058288574219,55.89356231689453,1.0441482067108154,347
9600,48000,0.10390371084213257,0.0007,138,9599,-1854.932861328125,52.971046,-43.799503326416016,2601.31201171875,1.0442967414855957,347
9700,48500,0.3144007921218872,0.0007,139,9699,-593.4568481445312,-20.781075,-43.801055908203125,303.3523254394531,1.044183611869812,347
9800,49000,0.33505046367645264,0.0007,140,9799,-2071.3125,-83.13988,-43.86701202392578,3990.537841796875,1.0464931726455688,348
9900,49500,0.18774616718292236,0.0007,142,9899,921.9777221679688,38.875828,-43.86750793457031,2757.31494140625,1.0465909242630005,348
10000,50000,-0.13261568546295166,0.0007,143,9999,-691.3195190429688,68.434494,-43.853843688964844,2042.1927490234375,1.04595148563385,347
