train/actor_loss,time/total_timesteps,train/learning_rate,time/episodes,time/fps,train/critic_loss,time/time_elapsed,train/reward,train/n_updates
5359.600539706197,9928,0.001,4,173,1551602.839003324,57,-20.07314,7446
5001.744322796007,19856,0.001,8,157,294042.8666193468,126,-20.07314,17374
4179.866897718259,29784,0.001,12,152,78630.08624911866,194,-20.07314,27302
3537.9377764041724,39712,0.001,16,150,58653.872061656424,263,-20.07314,37230
3019.3919666914285,49640,0.001,20,149,35375.218976631746,332,-20.07314,47158
